spdep,spscheme,unit,geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,AT,452.87,464.54,477.75,491.20,510.08,528.59,547.73,561.00,574.48,576.38,571.53,565.57,557.45,564.17,574.78,593.04,611.50,620.15,632.32,633.99,635.24,620.17,599.22,578.31,634.84,607.82,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BA,,,93.01,99.92,101.72,94.11,86.47,85.70,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BE,792.96,771.80,733.27,708.20,710.87,680.11,640.71,620.35,574.20,546.97,534.65,515.51,485.93,464.93,473.42,480.98,465.18,469.03,455.24,406.04,398.86,585.19,543.19,530.34,525.07,510.93,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,BG,,94.93,79.63,77.41,75.67,75.30,75.54,74.00,67.82,66.44,65.39,66.94,54.09,51.28,52.72,46.07,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CH,,1075.54,1076.08,1082.03,1096.61,1095.54,1081.72,1103.29,1116.07,1143.96,1146.92,1200.58,1178.72,1294.60,1299.49,1341.06,1328.72,1290.87,1228.92,1165.57,1081.40,1047.73,1014.47,959.69,913.51,867.80,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CY,,136.25,132.73,155.07,158.18,145.49,140.50,142.65,149.95,150.90,154.94,160.82,152.06,147.88,152.85,143.00,156.19,133.19,120.07,106.23,91.02,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,CZ,220.44,207.33,199.19,197.72,197.41,197.35,193.24,197.15,201.10,212.49,217.91,217.42,212.50,214.31,211.04,187.18,183.20,186.83,173.09,165.27,154.76,153.21,146.43,142.51,134.08,119.06,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,DE,702.09 p,682.69,657.90,635.95,577.65,557.24,533.66,523.96,505.25,495.16,488.06,481.39,476.60,463.74,471.05,483.67,499.06,507.70,512.40,509.03,509.08,506.66,499.88,491.11,486.97,449.04,391.70,378.18,364.15,369.39,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,DK,1130.27,1133.41,1118.16,1258.21,1207.17,1260.17,1270.34,1260.80,1249.39,1223.80,1253.51,1235.49,1179.18,1195.14 b,1865.23,1808.58,1711.15,1624.65,1489.82,1418.79,1341.21,1351.71,1275.03,1186.93,1182.53,1167.33,1102.55,1023.61,953.42,928.01,893.83
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EA12,,505.83 p,494.41 p,488.20 p,473.50 p,465.79,461.24,457.06,448.30,442.35,441.20,437.71,425.73,421.86,423.78,427.13,434.59,434.56,430.72,416.52,413.06,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EA19,,492.17 p,481.00 p,474.95 p,460.77 p,453.18,448.64,444.31,435.88,430.21,429.25,425.78,414.06,409.71,411.21,414.02,420.72,420.26,416.31,402.38,398.82,,,,,,,,,,
