spdep,spscheme,unit,geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EE,,299.88,281.80,271.31,264.20,248.11,232.33,225.45,217.70,212.69,209.72,201.39,179.95,148.41,136.04,122.49,111.15,102.04,89.31,77.89,62.82,78.37,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,,189.05 p,173.77 p,179.62 p,184.34,182.70,265.59,258.53,284.97,306.46,313.43,302.84,286.95,275.38,247.47,237.05,230.11,221.22,211.38,199.47,202.22 b,143.16,132.83,122.37,117.66,115.48,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,,297.62 p,293.91 p,292.97 p,293.84 p,290.22,292.23,291.53,290.26,294.10,297.09,299.56,287.89,285.30,279.13,274.03,270.47,262.67,259.72,254.90,255.77,255.03,254.90,233.38,233.87,224.64,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,,,497.43 p,494.85 p,478.32 p,468.34,466.68,463.25,458.44,459.79,460.40,458.17,445.91,441.54,468.65,467.52,472.37,470.27,461.10,446.34,441.34,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU27_2020,,444.79 p,437.33 p,435.49 p,424.74 p,419.47,415.75,412.92,406.09,404.48,404.83,401.01,392.41,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU28,,,426.48 p,424.44 p,411.50 p,402.53,400.59,397.08,393.16,395.25,396.36,393.91,383.50,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,FI,,1065.40,1054.06,1048.80,1090.12,1105.93,1151.05,1164.32,1169.49,1176.46,1198.31,1188.50,1163.24,1105.62,1097.46,1102.13,1105.14,1076.35,1059.14,1046.48,1047.45,1080.42,958.13,971.47,986.63,1052.17,1042.91,1027.35,1016.32,963.74,900.71
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,FR,520.15 p,529.19,526.87,527.43,522.54,516.22,515.47,507.59,500.19,493.58,484.00,477.54,459.13,463.21,462.41,455.03,446.34,431.08,427.00,403.78,399.35,397.06,391.16,385.20,388.28,378.55,374.42,372.06,369.14,364.08,365.04
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,HR,224.79,229.89,232.61,230.70,229.34,240.45,237.21,247.06,252.79,262.91,277.07,273.49,267.25,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,HU,122.15 p,128.67,133.34,137.71,143.76,153.38 b,153.95,150.54,153.96,167.22,178.82,199.85,214.00,216.16,219.62,206.62,197.88,191.82,175.97,159.57,144.86,145.55,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,IE,165.28,161.66,160.04,159.87,156.93,160.06,162.50,176.59,155.76,159.46,169.04,177.76,170.49,163.60,163.76,156.61,146.27,138.70,134.87,125.82,117.44 b,126.50,121.92,122.07,128.28,125.22,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,IS,1029.31,973.36,933.23,893.70,581.30,619.56,602.38,562.04,516.00,484.96,481.27,691.83,692.53,667.63,788.10,736.90,695.56,629.15,586.18,544.56,506.19,625.61,593.05,566.47,521.60,511.98,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,IT,331.20 p,333.50 p,327.27 p,326.99,331.06,330.90,328.53,327.98,326.26,302.68,311.50,309.22,294.02,292.80,284.36,278.09,285.29,278.43,257.68,224.47,216.41,225.97,214.20,220.76,213.79,209.92,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,LT,191.60 p,198.47 p,190.11,175.38,166.26,163.37,158.44,150.90,156.67,152.90,165.05,175.43,170.83,149.83,124.01,110.85,97.76,83.47,73.84,69.82,67.84,57.83,51.63,45.95,50.40,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,LU,2201.46,2102.01,2096.61,2138.53,2105.80,2179.68,2240.53,2248.43,2229.09,2270.92,2239.66,2188.77,2068.92,2073.59,2051.68,2013.21,2034.00,1955.11,1926.20,1870.51,1584.04,1664.54,1275.40,1279.60,1212.40,1182.00,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,LV,177.59,168.11,163.20 p,156.10,152.19,149.67,137.74,123.22,117.81,115.75,115.70,108.21,87.40,74.06,74.10,67.31,64.69,59.92,61.38,60.56,60.07,63.06,60.03,55.87,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ME,,93.03 p,90.28,90.25,87.19,,,,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,MK,,,,58.15,57.15,56.26,,,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,MT,138.14,133.31,138.65,125.09,88.11,91.67,94.23,91.70,89.80,94.42,103.81,109.20,121.18,142.17,132.98,136.95,137.81,129.67,112.35,105.37,105.11,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,NL,,711.47,710.10,715.22,704.87,704.42,697.83,701.72,698.85,719.26,727.76,744.84,747.22,742.00,795.20,850.21,912.67,942.71,934.43,937.59,928.66,921.28,916.63,942.80,943.97,980.57 b,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,NO,,2965.99,2972.71,2994.04,2998.63,3017.45,2809.34,2842.30,2862.85,2848.24,2784.34,2710.66,2656.48,2730.23,2668.60,2651.45,2582.38,2431.07,2267.54,2185.46,2076.04,2062.42,1880.27,1782.46,1729.44,1671.19,1655.30,1659.08,1621.01,1567.34,1429.29
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,PL,,150.66,158.93,166.27,172.29,159.17,159.41,154.63,153.96,157.69,157.10 p,147.64 p,148.83 p,151.09 p,158.48 p,162.01 p,170.16 p,168.47 p,171.21 p,179.13 p,169.39 p,0.00,0.00,0.00,0.00,0.00,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,PT,266.36,272.62,260.09,263.64,265.51,270.49,271.63,287.21,262.43,302.38,310.11,316.54,318.54,342.54,338.13,321.43,334.07,357.99,359.65,353.22,352.55,317.44,314.95,300.25,283.04,270.75,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,RO,,79.24,78.26,73.68,74.69,76.43,74.74,76.40,80.39,91.86,96.80,98.97,89.98,73.29,55.30,48.71,43.40,45.87,36.16,33.39,29.53,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,RS,,51.76,52.15,55.06,56.57,58.21,67.29,66.22,70.82,74.06,80.45,82.53,84.86,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,SE,1108.89 p,1149.27,1191.16,1206.92,1226.50,1276.15,1277.90,1309.27,1308.36,1418.91,1474.59,1560.47,1584.63,1620.93,1620.04,1619.42,1580.11,1501.62,1378.13,1307.23,1264.77,1149.86,1053.13,1025.74,1040.26,1077.01,1044.28,987.81,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,SI,,211.23 p,189.75,194.24,213.53,227.91,236.80,241.83,252.39,276.94,287.86,291.89,297.91,303.39,315.79,308.38,290.06,285.80,295.99,291.12,288.60,278.29,252.43,243.10,227.73,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,SK,191.37,191.62,190.90,192.62,189.87,182.63,182.28,176.60,172.46,169.55,168.07,160.82,161.17,139.26,128.49,121.68,116.29,111.50,110.32,104.38,103.36,93.66,94.04,92.26,82.72,81.54,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,TR,10.96,11.05,12.01,12.05,13.03,10.55,10.06,9.84,9.81 b,9.37,14.93,11.71,8.38 b,12.62,12.04,11.84,11.06,9.85,10.63,9.91,10.24,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,UK,,,353.54 p,350.04,336.29,328.50,315.41,292.82,316.65,330.36,336.82,338.30,330.06,335.37,427.69,409.27,412.43,412.77,415.17,411.07,403.78,399.53,434.58,438.15,439.41,452.54,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,AT,4950.93,4941.16,4967.94,4977.61,5043.38,5090.84,5128.24,5111.87,5103.71,4978.46,4779.90,4637.59,4527.98,4468.78,4430.59,4457.05,4462.02,4418.85,4413.40,4355.67,4246.95,4058.23,3869.15,3723.10,4140.66,3973.66,3612.77,3273.84,2938.53,2710.08,2505.39
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,BA,,353.84,352.20,372.29,374.76,363.24,349.46,348.46,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,BE,10764.05,10302.96,9595.49,9026.88,8843.59,8304.79,7721.30,7387.93,6727.07,6238.42,5825.31,5452.09,5087.11,4661.67,4590.90,4504.49,4210.24,4128.30,3916.83,3425.67,3276.70,4642.93,4226.15,4069.65,4099.24,4015.64,3420.07,3290.93,2388.99,2372.74,2253.33
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,BG,,817.23,671.46,638.25,602.41,593.99,587.70,569.33,528.33,505.30,483.57,487.06,391.20,348.63,333.21,285.43,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,CH,,11311.94,10845.64,11118.53,11300.86,11410.24,9916.80,9883.03,10121.68,10108.60,8974.51,8467.41,7834.28,8051.65,8235.76,8458.81,8267.66,8056.60,7804.33,7157.16,6361.27,5901.37,5603.48,5218.49,5166.54,4916.75,4380.92,3800.62,3185.84,2835.73,2585.17
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,CY,,123.58,117.03,133.36,133.29,124.38,123.72,128.45,136.42,132.28,128.51,126.69,116.09,105.48,104.14,92.33,95.49,78.77,69.26,59.69,49.77,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,CZ,2722.37,2543.51,2355.13,2201.66,2082.16,2046.77,1973.08,2111.15,2211.76,2338.70,2282.48,2162.90,2197.66,1891.23,1758.13,1445.69,1299.11,1277.56,1216.69,1036.21,899.95,831.27,794.29,718.54,649.56,530.66,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,DE,66920.07 p,64098.25,60700.12,57530.93,51186.62,48633.59,45865.13,44319.07,41878.99,40401.71,39912.05,38790.51,38314.21,36735.07,36751.27,37308.28,38138.98,38449.04,38279.30,37467.46,36617.98,36082.57,35037.42,34483.72,34890.23,32513.28,27139.37,25447.90,22498.16,21386.88,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,DK,7229.42,7082.11,6933.95,7701.02,7257.47,7478.05,7479.99,7361.72,7235.67,6908.76,6954.10,6690.64,6221.24,6099.80 b,9281.02,8789.56,8159.67,7615.61,6860.00,6354.20,5831.37,5729.72,5235.27,4781.21,4726.25,4577.67,4112.69,3696.80,3302.09,3114.94,2923.50
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EA12,,182909.95 p,176354.70 p,171070.80 p,163356.02 p,159540.35,156896.34,153911.18,148708.83,144123.90,141382.02,137913.39,133935.18,128618.10,125690.94,123217.68,122200.31,119111.01,114829.48,108128.66,104134.88,102359.87,97777.97,95770.97,95996.65,91171.42,87468.25,85305.08,80862.98,77223.24,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EA18,,185730.01 p,179001.44 p,173640.40 p,165854.74 p,161980.54,159302.84,156250.58,150997.98,146372.44,143571.33,140027.54,135949.44,130300.37,127207.00,124579.95,123450.66,120249.47,115920.25,109137.25,105083.42,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EA19,,186407.17 p,179630.47 p,174206.48 p,166378.47 p,162494.89,159805.69,156731.95,151498.91,146856.40,144082.55,140576.80,136469.52,130711.00,127529.64,124857.28,123690.77,120456.31,116106.61,109308.39,105242.30,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EE,,523.49,475.00,436.06,405.94,375.01,349.31,334.45,313.49,295.90,279.24,260.96,236.07,179.32,151.99,129.85,113.38,100.45,86.60,73.26,55.56,66.79,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EEA,,,254442.43 p,249381.90 p,240336.47 p,238986.38,231797.58,226627.59,223304.48,216937.33,212263.67,203537.29,202890.23,198766.70,202597.21,195506.69,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EL,,1962.90 p,1801.97 p,1861.52 p,1903.91,1912.44,2839.76,2845.88,3229.05,3471.69,3485.80,3402.12,3154.30,2882.14,2494.15,2307.88,2168.59,2008.73,1862.59,1703.31,1685.78 b,1189.63,1050.11,980.15,898.30,824.39,801.52,821.36,797.79,832.77,863.97
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,ES,,15423.28 p,14968.21 p,14645.37 p,14433.31 p,14220.01,14341.94,14332.06,14179.82,14070.55,13837.61,13618.19,13097.13,12332.53,11457.51,10682.16,10032.62,9251.08,8703.66,8200.38,7890.63,7520.42,7295.62,6595.96,6608.43,6065.01,5794.53,5788.57,6061.43,5833.44,5081.69
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EU15,,,222118.57 p,217300.10 p,209193.36 p,207972.54,201542.36,195912.20,192351.24,186719.32,183306.13,177426.18,175617.81,173279.53,178873.53,173128.87,170715.08,165030.83,160594.25,151997.63,147519.38,141532.89,136610.50,133279.58,129639.74,123546.12,119091.24,114152.26,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EU27_2007,,,237906.31 p,232834.96 p,224409.34 p,222962.28,216408.98,210635.31,207154.49,201986.56,198497.26,191618.54,190992.17,186816.52,191256.84,184555.68,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EU27_2020,,219710.53 p,213056.80 p,208731.66 p,200203.86 p,196776.08,194035.33,191529.21,185908.70,181850.32,178546.52,172806.06,170715.04,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,EU28,,,238913.91 p,233821.36 p,225381.44 p,223988.52,217427.11,211710.79,208250.91,203113.52,199687.66,192772.59,192106.11,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,FI,,6781.20,6613.74,6483.85,6672.31,6761.16,6971.28,6926.72,6761.29,6558.53,6426.98,6244.42,5947.55,5416.73,5230.12,5133.96,5057.52,4862.13,4697.92,4527.90,4377.31,4370.09,3783.24,3818.46,3836.57,4109.11,3706.98,3335.42,3670.89,3889.16,3535.97
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,FR,38763.78 p,38216.25,37585.71,36983.04,36242.67,35672.35,35410.14,34533.94,33637.37,32645.03,31372.35,30469.14,29409.75,28756.85,27960.14,26759.64,25550.40,24009.10,23153.20,21389.00,20576.00,19858.50,19328.11,18827.49,19047.71,18119.44,17424.59,16910.55,15898.78,14921.60,14623.59
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,HR,966.23,1001.58,1007.60,986.40,972.10,1026.23,1018.12,1075.47,1096.41,1126.96,1190.41,1154.05,1113.94,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,HU,1274.53 p,1380.98,1396.56,1434.45,1433.80,1518.85 b,1515.01,1509.43,1566.34,1687.68,1788.16,1909.09,2206.64,2116.22,1923.18,1866.15,1699.53,1557.19,1412.44,1135.06,930.43,870.21,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,IE,908.94,872.71,835.16,809.97,777.28,781.62,782.23,838.87,731.78,737.43,770.84,821.57,822.41,757.33,714.00,645.84,578.84,525.25,482.09,419.26,367.65 b,372.48,344.03,345.12,328.06,299.47,259.13,240.36,236.78,220.93,202.68
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,IS,549.61,558.74,538.49,515.23,293.87,274.90,243.73,206.82,182.46,160.83,153.06,199.38,208.75,286.13,312.30,297.95,244.66,213.20,194.19,165.14,168.28,182.55,159.36,144.23,122.65,115.31,107.55,103.48,96.00,84.85,70.50
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,IT,21520.00 p,21708.00 p,21425.00 p,21230.00,21306.00,21292.00,21146.00,20875.00,20337.00,18406.00,18465.00,18045.00,17123.00,16412.00,15541.00,14736.00,14690.00,13888.00,12418.00,10497.00,9857.00,9966.00,9246.78,9408.85,8755.41,7570.04,11197.67,10967.33,12024.06,11623.41,11154.67
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,LT,671.58 p,677.16 p,629.03,566.08,523.73,514.36,502.85,481.37,500.93,483.96,511.22,549.25,520.08,410.63,322.63,277.33,240.11,206.84,186.36,171.15,158.88,123.11,105.98,87.82,77.89,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,LU,1651.24,1538.35,1475.35,1446.40,1356.80,1363.22,1353.04,1312.27,1250.55,1214.32,1135.40,1064.60,989.41,943.15,895.59,842.41,809.87,746.38,702.88,661.51,538.00,542.00,394.87,386.51,368.86,355.15,315.30,285.19,253.16,245.34,206.17
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,LV,424.11,401.44,380.87 p,354.92,338.49,332.02,308.05,275.59,265.40,253.28,242.68,239.44,208.44,155.17,138.36,114.49,106.91,96.61,103.91,101.72,99.70,90.40,79.75,71.36,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,ME,,66.08 p,64.10,62.84,59.47,,,,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,MK,,,,136.15,131.80,130.12,,,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,MT,83.10,77.40,75.87,65.37,44.30,44.59,43.97,41.64,39.70,40.27,43.03,43.91,47.32,53.17,48.87,48.79,47.66,43.43,38.48,35.72,34.16,29.14,25.68,23.56,21.43,16.72,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,NL,,13996.00,13487.00,13180.00,12717.00,12605.00,12430.00,12350.00,12076.00,12180.00,12092.00,12071.00,12104.00,11737.00,12255.00,12740.00,13398.00,13591.00,13073.00,12540.00,11902.00,11354.00,10912.00,10982.64,11047.73,11505.12 b,11795.73,13121.98,12404.13,11777.58,11142.33
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,NO,,16091.18,15997.63,16031.71,15633.26,15749.20,15144.87,15785.46,15967.52,14789.94,13613.35,11719.38,11689.31,11664.05,11028.08,10653.06,9728.22,9375.39,8968.03,7860.82,7145.02,6666.19,5791.82,5583.79,5138.60,4807.40,4566.98,4534.68,4449.42,4201.73,3715.09
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,PL,,6109.34,6343.19,6519.26,6454.37,6237.04,6293.73,6097.96,6068.03,6103.48,5976.50 p,5062.07 p,6108.89 p,5513.40 p,5473.39 p,5327.41 p,4869.48 p,4756.50 p,5473.74 p,5853.08 p,4895.01 p,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,PT,3027.97,3068.88,2899.01,2895.23,2873.16,2903.32,2907.29,3077.56,2796.21,3221.76,3278.78,3297.15,3358.33,3514.85,3370.67,3099.98,3103.22,3233.14,3126.61,2941.51,2798.87,2403.02,2290.49,2149.31,1975.45,1821.12,2000.59,1821.64,1690.29,1409.30,1181.09
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,RO,,1830.06,1745.63,1605.56,1620.79,1638.55,1587.75,1614.48,1638.72,1899.59,1959.88,1907.85,1935.64,1574.61,1056.69,862.55,640.62,647.51,524.44,492.06,423.11,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,RS,,434.60,430.93,438.87,433.98,452.08,530.97,535.44,542.48,591.67,586.58,619.42,683.61,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,SE,12583.26 p,12538.55,12972.81,13438.57,13402.30,13741.70,13774.25,14457.72,14064.52,14423.46,13828.86,12855.61,14070.33,14411.84,13990.10,13652.58,13323.32,12484.27,11051.07,10084.82,10367.66,8890.98,7886.32,7859.48,7935.18,7355.32,6995.85,6411.04,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,SI,,483.54 p,423.75,423.47,457.20,487.00,507.32,519.85,533.64,577.19,589.70,586.41,584.12,560.87,559.42,530.88,488.47,475.93,482.88,457.84,441.31,417.00,370.71,343.21,311.49,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,SK,1236.98,1210.62,1174.22,1156.42,1119.49,1077.18,1074.14,1039.42,1000.49,949.63,906.15,856.75,822.22,628.27,513.29,445.93,398.44,343.26,309.63,280.36,268.04,217.11,222.19,213.63,179.78,168.00,0.00,0.00,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,TR,566.16,634.10,660.33,791.93,937.39,776.82,704.65,724.62,735.53 b,637.01,1091.77,730.71,556.82 b,797.45,696.22,663.82,534.07,444.38,451.98,391.70,523.88,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_EUR,UK,,,25857.11 p,25089.70,25177.58,27212.44,23391.77,20181.58,22342.21,21263.19,21141.15,19966.53,21391.07,24149.79,29911.48,27469.04,27031.78,25819.94,27853.70,27429.95,27185.47,24552.31,25710.94,24867.92,20981.65,20441.72,20514.45,18739.34,17061.34,15595.46,12549.84
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,AT,4950.93,4941.16,4967.94,4977.61,5043.38,5090.84,5128.24,5111.87,5103.71,4978.46,4779.90,4637.59,4527.98,4468.78,4430.59,4457.05,4462.02,4418.85,4413.40,4355.67,4246.95,4058.23,3895.63,3740.35,4042.62,3806.77,3554.81,3241.37,3036.04,2842.14,2629.12
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,BA,,692.04,688.84,728.14,732.96,710.44,683.49,681.52,,,,,,,,,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,BE,10764.05,10302.96,9595.49,9026.88,8843.59,8304.79,7721.30,7387.93,6727.07,6238.42,5825.31,5452.09,5087.11,4661.67,4590.90,4504.49,4210.24,4128.30,3916.83,3425.67,3276.70,4642.93,4255.57,4089.16,3993.42,3837.65,3362.13,3301.65,2463.21,2483.52,2369.84
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,BG,,1598.33,1313.25,1248.29,1178.19,1161.74,1149.43,1113.49,1033.31,988.27,945.77,952.59,765.11,681.86,651.70,558.24,,,,,,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,CH,,12583.41,12526.72,12360.47,12320.20,12185.00,12044.94,12167.00,12199.67,12459.86,12387.52,12785.78,12436.13,13226.44,12954.03,13096.77,12763.61,12255.70,11448.94,10810.89,9910.23,9443.97,9088.84,8579.20,8100.62,7599.83,7102.78,6575.83,5791.22,5026.33,4555.58
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,CY,,123.58,117.03,133.36,133.29,124.38,123.72,128.45,136.42,132.28,128.51,126.69,116.09,105.00,102.45,91.00,94.93,78.61,68.08,58.73,48.81,,,,,,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,CZ,72020.27,65291.91,60401.99,57960.81,56289.11,55833.81,54330.84,54847.57,55623.58,57508.57,57710.29,57176.15,54822.77,52511.99,49828.90,43055.46,41429.80,40685.16,37478.88,35301.75,32037.20,30660.41,28633.54,25817.02,22382.03,18411.89,,,,,
SNONTARGETNOREROUTE,TOTAL,MIO_NAC,DE,66920.07 p,64098.25,60700.12,57530.93,51186.62,48633.59,45865.13,44319.07,41878.99,40401.71,39912.05,38790.51,38314.21,36735.07,36751.27,37308.28,38138.98,38449.04,38279.30,37467.46,36617.98,36082.57,35275.65,34634.40,34064.47,31148.79,26704.98,25194.91,23239.88,22424.95,
