unit,hlth_pb,age,sex,time,EU28,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IS,CH,UK,TR
PC,PB1040,Y15-24,F,2011,34.3,19.5 u,,22.6 u,48.1,41.8,,,,27.7,30.7 u,,11.5 u,,,,23.7 u,,,41.1 u,47.3,13.2 u,,,,,33.6,40.2,70.5,62.3,44.1,22.0
PC,PB1040,Y15-24,M,2011,33.5,24.4 u,,19.2 u,39.4,43.8,,,,23.1,39.3 u,,14.3,25.3 u,,,32.9 u,,,43.3 u,52.2,17.7 u,,,,,38.4,32.0,53.5,69.3,35.7,39.2
PC,PB1040,Y15-24,T,2011,33.9,22.6,,20.9 u,44.2,42.9,25.3 u,12.8,,25.4,34.0,,13.1,26.5 u,,,28 u,,,42.1,49.8,15.8,21.7,,20.3 u,,36.2,36.7,63.9,65.4,40.2,30.7
PC,PB1040,Y15-64,F,2011,43.9,36.6,29.9,34.2,44.5,47.4,52.5,27.7,28.6,39.3,52.7,28.4,38.1,41.8,52.6,42.9,56.5,23.4,25.4 u,39.6,54.9,31.3,48.3,28.6,44.3,29.5,61.6,64.3,65.0,64.9,45.1,26.5
PC,PB1040,Y15-64,M,2011,51.3,45.0,31.7,43.3,49.5,55.3,45.7,31.8,44.1,50.8,60.8,37.6,54.7,51.6,48.2,37.1,69.7,24.0,44.3,47.0,65.8,36.8,54.6,36.0,49.9,34.5,59.9,69.0,69.5,74.4,50.5,61.3
PC,PB1040,Y15-64,T,2011,47.3,40.7,30.7,38.6,46.7,51.5,49.5,29.8,35.5,44.3,56.2,33.0,45.6,46.4,50.8,40.4,62.5,23.7,34.4,42.7,60.3,33.9,51.0,31.8,47.0,31.9,60.8,66.2,66.9,69.0,47.6,41.1
PC,PB1040,Y20-64,F,2011,44.6,37.3,30.2,34.5,44.7,48.4,53.7,28.7,28.8,39.7,53.9,28.5,38.4,42.3,53.1,43.6,57.6,23.5,25.9 u,39.8,55.5,31.8,49.1,28.7,44.7,29.9,62.6,66.2,64.6,65.8,45.6,26.8
PC,PB1040,Y20-64,M,2011,52.2,46.6,31.7,43.8,50.0,56.4,47.8,33.0,44.8,51.6,61.8,37.5,55.4,52.9,50.1,37.9,71.7,24.4,45.0,47.5,66.8,37.5,55.9,36.3,50.4,35.3,61.0,73.2,71.1,75.5,51.4,62.7
PC,PB1040,Y20-64,T,2011,48.1,41.8,30.9,39.0,47.0,52.5,51.1,30.9,35.9,44.9,57.3,33.0,46.1,47.1,51.9,41.2,63.9,24.0,35.0,43.0,61.1,34.5,52.0,32.0,47.5,32.4,61.9,69.0,67.3,70.1,48.3,41.7
PC,PB1040,Y25-54,F,2011,56.5,48.0,45.2,49.7,49.9,56.2,63.8,33.6,40.0,50.5,67.2,45.0,52.6,54.2,68.5,56.4,69.2,34.4,41.7 u,48.7,71.3,49.8,59.2,40.4,66.8,42.3,75.2,71.9,65.4,72.8,52.6,30.3
PC,PB1040,Y25-54,M,2011,64.1,59.6,36.1,53.8,61.2,67.3,55.6,40.9,53.2,59.8,77.9,42.3,69.3,59.0,60.8,44.7,86.3,36.7,61.3 u,53.7,82.3,48.6,65.1,47.9,67.3,45.4,74.0,77.0,71.4,82.1,58.0,71.8
PC,PB1040,Y25-54,T,2011,60.0,53.4,41.0,51.7,54.7,61.8,60.0,37.2,46.3,54.7,71.8,43.6,60.3,56.5,65.1,51.2,76.9,35.5,51.0,50.7,76.7,49.2,61.8,43.6,67.1,43.8,74.6,73.9,67.9,76.9,55.1,48.0
PC,PB1040,Y55-64,F,2011,28.2,19.6,19.9,20.4,33.1,34.7,42.3,20.5,19.4,25.0,32.6,16.1 u,20.3,29.3,38.0,31.1,30.3,15.7,,24.8,28.1,16.9,36.9,20.3,17.5,15.9,47.9,59.4,59.6,52.3,33.5,19.5
PC,PB1040,Y55-64,M,2011,36.3,28.1,28.5,34.9,30.9,39.3,37.6,22.8,36.6,38.6,36.5,33.5 u,36.2,48.1,33.4,30.4,36.2,15.2,,38.4,39.4,27.6,44.0,28.7,29.4,23.2,45.0,69.3,76.3,61.8,42.5,41.5
PC,PB1040,Y55-64,T,2011,31.8,23.8,23.4,27.3,32.1,37.1,40.3,21.7,26.4,30.4,34.3,24.3,27.0,36.9,36.3,30.8,33.0,15.5,17.3 u,30.8,33.6,21.9,39.8,23.9,23.2,19.1,46.6,63.4,67.0,56.2,37.7,27.8
PC,PB1041,Y15-24,F,2011,31.1,23.6,19.6,19.8,62.2,41.3,28.8,31.9,12.9,24.0,26.3,13.9 u,15.4,30.7,22.6,16.8,18.4,16.5,36.4,66.0,48.4,20.8,25.6,21.6,26.5,14.9,42.6,41.0,77.6,62.1,51.1,21.4
PC,PB1041,Y15-24,M,2011,35.8,26.7,25.3,29.3,57.7,43.9,33.3,27.9,20.6,23.9,33.4,26.1,23.2,32.7,28.7,19.9,21.6,20.4,46.7,63.9,58.7,30.4,29.1,28.6,35.4,26.1,40.7,40.8,65.9,63.4,52.7,43.5
PC,PB1041,Y15-24,T,2011,33.5,25.1,22.5,24.6,59.9,42.6,31.0,29.9,16.7,24.0,29.8,20.2,19.4,31.6,25.7,18.4,20.0,18.4,41.7,64.9,53.5,25.7,27.4,25.2,31.2,20.6,41.7,40.9,71.3,62.8,52.0,32.2
PC,PB1041,Y15-64,F,2011,60.7,61.0,59.2,59.6,76.3,66.7,65.6,57.1,47.5,54.5,60.9,49.5,48.2,65.4,62.3,63.5,57.0,55.3,42.3,75.7,70.1,56.6,64.5,56.8,65.3,55.5,70.9,73.8,84.3,75.4,70.3,29.5
PC,PB1041,Y15-64,M,2011,73.0,71.7,64.3,77.1,79.8,77.7,71.8,64.6,69.3,66.3,71.1,62.4,69.6,76.8,62.9,62.8,72.1,66.9,75.3,84.3,81.2,71.1,70.9,70.1,71.4,69.6,75.4,77.4,83.7,87.3,80.4,71.2
PC,PB1041,Y15-64,T,2011,66.9,66.4,61.8,68.5,78.1,72.1,68.6,60.9,58.5,60.5,66.1,55.8,58.9,70.9,62.6,63.2,64.9,61.1,59.2,80.1,75.6,63.9,67.8,63.5,68.4,62.6,73.2,75.7,84.0,81.6,75.4,51.0
PC,PB1041,Y20-64,F,2011,65.2,67.0,64.2,64.9,79.0,71.2,71.5,61.9,51.5,57.7,67.4,54.6,52.0,71.8,69.0,71.3,63.2,61.0,45.5,77.9,74.7,62.3,70.3,61.5,70.5,61.3,76.9,80.5,85.6,78.3,73.4,32.2
PC,PB1041,Y20-64,M,2011,78.8,78.7,69.8,83.9,83.6,83.3,78.9,70.6,74.9,70.4,78.6,68.7,75.3,83.9,69.9,71.2,79.2,73.8,81.3,87.6,85.5,78.3,77.2,76.2,76.9,77.0,82.0,84.4,86.1,90.9,84.8,78.2
PC,PB1041,Y20-64,T,2011,72.1,72.9,67.1,74.5,81.4,77.2,75.1,66.2,63.3,64.2,73.1,61.5,63.7,77.6,69.5,71.2,71.6,67.3,63.9,82.9,80.1,70.3,73.8,68.9,73.8,69.2,79.5,82.6,85.9,84.8,79.2,55.9
PC,PB1041,Y25-54,F,2011,73.4,78.8,74.2,76.1,84.7,77.4,77.1,66.6,59.4,64.3,78.7,68.1,60.5,79.2,76.5,81.7,74.0,70.3,53.2,84.3,83.5,74.2,78.4,71.6,85.4,73.4,82.2,85.8,86.7,81.3,78.7,34.4
PC,PB1041,Y25-54,M,2011,86.7,89.8,77.5,93.3,89.3,88.9,85.8,75.8,82.9,76.3,89.9,78.4,85.8,89.8,76.1,79.4,91.8,84.0,91.7,93.5,92.6,87.5,85.0,85.7,87.4,85.7,88.9,90.4,89.3,94.4,90.2,85.6
PC,PB1041,Y25-54,T,2011,80.1,84.4,75.9,84.9,87.1,83.2,81.4,71.2,71.3,70.4,84.5,73.1,73.2,84.2,76.3,80.6,83.2,77.2,72.9,89.1,88.0,80.9,81.7,78.8,86.4,79.6,85.7,88.3,88.1,88.0,84.5,60.9
PC,PB1041,Y55-64,F,2011,44.6,38.7,47.3,41.6,63.4,55.8,69.4,46.6,31.6,38.6,41.6,30.9,29.9,48.0,60.6,56.1,31.8,43.1,13.8,55.0,36.3,33.2,47.0,39.8,25.6,37.0,67.1,73.9,82.7,64.5,58.5,19.0
PC,PB1041,Y55-64,M,2011,61.6,54.4,57.9,66.4,72.1,74.9,70.2,63.1,58.7,60.4,45.6,56.0,50.4,75.8,59.7,62.4,50.4,53.1,53.9,73.6,56.5,58.9,58.2,58.6,45.6,61.8,67.3,77.6,85.2,85.6,74.2,47.5
PC,PB1041,Y55-64,T,2011,53.0,46.4,52.5,53.4,67.9,64.9,69.7,54.8,45.3,49.2,43.6,42.6,40.3,62.5,60.2,59.0,41.8,47.8,33.9,64.7,46.1,45.4,52.8,49.0,35.7,48.9,67.2,75.9,84.0,75.8,66.3,35.3
PC,PB1070,Y15-24,F,2011,30.2,21.2 u,,16.4 u,47.0,,,17.5,,21.7,33 u,,,,,,,,,39.9 u,50.5 u,8.9 u,,,23.8 u,,37.2,39.7,67.2,64.6,37.4,20.5
PC,PB1070,Y15-24,M,2011,27.0,18.6 u,,25.8 u,34.8,,,,,15.0,,,13 u,26.9 u,,,,,,39.7 u,53.6 u,16.4 u,,,36.2 u,,38.5,29.2,59.1,62.4,27.0,40.0
PC,PB1070,Y15-24,T,2011,28.7,19.7 u,,21.4,41.4,37.0,,13.6,,18.1,33.7,,10.2,26.1 u,,,18.9 u,,,39.8,52.1,13.2 u,18.4,,30 u,19.3 u,37.8,35.4,64.1,63.5,32.3,30.6
PC,PB1070,Y15-64,F,2011,36.0,32.3,16.1,32.0,40.5,34.6,35.9,21.2,24.5,28.8,57.3,26.4,31.0,35.1,42.5,34.8,45.2,18.6,25.1,37.7,43.5,23.8,42.5,22.1,41.7,27.2,51.7,59.7,65.7,60.1,34.7,27.0
PC,PB1070,Y15-64,M,2011,40.7,34.7,19.9,37.4,42.8,37.1,30.8,21.9,35.7,40.8,62.4,37.0,44.6,48.6,38.0,29.7,52.7,17.6,35.7,41.9,53.0,28.7,46.1,26.5,46.0,31.5,49.3,64.1,68.5,71.1,37.6,58.2
PC,PB1070,Y15-64,T,2011,38.1,33.4,17.8,34.5,41.4,35.8,33.6,21.6,29.8,33.8,59.6,31.6,37.0,41.4,40.7,32.5,48.3,18.1,29.9,39.4,48.2,26.2,44.0,23.9,43.9,29.2,50.6,61.5,66.8,65.0,36.0,40.1
PC,PB1070,Y20-64,F,2011,36.5,32.8,16.4,32.4,40.6,35.0,36.4,21.5,24.6,29.1,58.6,26.5,31.5,35.3,43.3,35.2,46.6,18.8,25.4,37.9,43.7,24.2,43.2,22.2,42.2,27.4,52.6,61.7,65.9,60.9,34.9,27.3
PC,PB1070,Y20-64,M,2011,41.4,35.5,19.9,38.0,43.4,37.5,31.8,22.4,36.0,41.6,63.8,37.3,45.2,49.3,39.4,30.2,54.4,17.9,36.4,42.3,53.3,29.2,47.1,26.6,46.8,32.1,50.0,67.5,68.9,73.1,38.2,59.4
PC,PB1070,Y20-64,T,2011,38.7,34.0,18.0,35.1,41.8,36.2,34.3,22.0,30.1,34.3,61.0,31.8,37.6,41.9,41.8,32.9,49.8,18.4,30.4,39.7,48.4,26.7,44.8,24.1,44.5,29.5,51.4,64.0,67.2,66.4,36.4,40.6
PC,PB1070,Y25-54,F,2011,46.8,42.0,25.0,44.0,46.2,41.9,44.4,23.1,33.8,38.9,67.8,40.1 u,43.0,45.2,57.5,45.2,58.3,27.2,39.6,45.8,61.5,38.3,54.2,30.8,64.8,40.9,66.8,66.0,68.7,67.8,40.5,31.0
PC,PB1070,Y25-54,M,2011,51.3,46.1,20.0,44.7,52.4,45.7,39.3,27.2,40.6,50.6,72.7,42.3 u,58.5,55.0,43.2,33.2,72.2,28.8,45.1 u,48.3,72.2,38.0,55.3,34.6,65.0,40.5,65.3,72.7,71.5,78.3,44.2,67.6
PC,PB1070,Y25-54,T,2011,48.8,43.7,22.5,44.3,48.7,43.8,41.9,25.1,37.3,43.8,70.0,41.3,49.9,49.9,51.6,39.5,63.8,27.9,42.0,46.8,66.6,38.2,54.7,32.4,64.9,40.7,66.1,68.7,69.9,72.5,42.2,46.4
PC,PB1070,Y55-64,F,2011,22.2,16.4,11.1,19.2,28.1,25.3,28.8,18.6,17.8,15.3,39.8,16 u,16.4,24.7,29.2,25.2,20.6,12.0,,23.4,19.0,13.3,31.0,17.0,14.4 u,12.4,35.8,55.0,56.9,42.7,22.8,19.5
PC,PB1070,Y55-64,M,2011,28.4,22.5,20.3,30.8,28.3,26.0,20.1 u,16.8,32.4,28.5,42.3,31.7 u,28.2,44.5,34.2,27.3,22.8,9.0,28.2 u,33.8,30.2,21.2,37.2,22.0,23.8,22.5,31.8,61.0,67.8,59.8,30.2,39.9
PC,PB1070,Y55-64,T,2011,25.0,19.4,14.9,24.8,28.2,25.6,25.4,17.6,24.3,20.4,40.9,23.3,21.5,33.1,31.0,26.0,21.6,10.6,18.4 u,28.0,24.7,17.1,33.4,19.0,19.1,16.9,34.0,57.4,61.3,50.2,26.5,27.4
PC,PB1071,Y15-24,F,2011,31.2,23.5,19.5,19.9,62.4,40.7,29.1,31.8,13.0,24.3,26.3,13.8 u,15.4,30.8,22.6,16.7,19.0,16.5,37.2,66.0,48.2,20.9,26.1,21.6,26.4,14.9,42.4,41.4,78.9,62.1,51.5,21.5
PC,PB1071,Y15-24,M,2011,36.0,26.9,25.3,29.2,58.2,44.1,32.6,27.9,20.6,24.2,34.0,26.0,23.2,32.6,28.7,20.0,22.4,20.3,46.6,63.9,58.3,30.4,29.1,28.6,35.1,26.1,40.7,41.0,65.7,64.7,53.3,43.4
