unit,hlth_pb,age,sex,time,EU28,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IS,CH,UK,TR
PC,PB1071,Y15-24,T,2011,33.6,25.2,22.5,24.7,60.2,42.4,30.9,29.9,16.7,24.3,30.1,20.2,19.4,31.6,25.7,18.4,20.7,18.4,42.1,64.9,53.2,25.8,27.6,25.1,31.0,20.6,41.5,41.2,71.7,63.4,52.4,32.2
PC,PB1071,Y15-64,F,2011,61.5,61.8,59.7,60.3,78.5,66.8,67.9,58.2,47.7,56.4,62.9,48.8,48.6,66.5,63.2,64.2,59.5,55.2,43.0,76.0,70.8,56.6,66.6,58.1,67.0,56.3,72.8,74.9,85.4,76.7,70.8,29.4
PC,PB1071,Y15-64,M,2011,73.8,72.6,64.6,78.0,81.4,78.0,73.1,66.2,70.0,67.4,73.0,61.4,70.0,77.5,62.9,63.6,74.2,66.7,77.0,84.5,82.0,71.3,72.5,71.2,73.4,70.4,76.7,78.1,85.0,88.0,81.1,71.7
PC,PB1071,Y15-64,T,2011,67.7,67.3,62.1,69.3,80.0,72.4,70.4,62.2,58.9,62.0,68.0,55.0,59.4,71.7,63.1,63.9,67.2,60.9,60.5,80.4,76.4,63.9,69.6,64.8,70.3,63.4,74.8,76.6,85.2,82.5,76.0,51.1
PC,PB1071,Y20-64,F,2011,66.1,68.0,64.6,65.7,81.5,71.7,73.9,63.1,51.7,59.8,69.1,53.6,52.4,73.1,69.4,72.0,65.4,60.7,46.5,78.2,75.1,62.0,72.7,63.1,72.5,62.3,78.7,81.5,86.8,79.7,73.9,32.0
PC,PB1071,Y20-64,M,2011,79.6,79.9,70.0,85.0,85.4,84.0,80.3,72.5,75.7,71.7,80.3,67.2,75.6,84.8,69.7,72.1,81.1,73.5,83.3,87.9,86.4,78.4,79.0,77.5,79.2,77.9,83.2,85.2,87.5,91.3,85.4,78.7
PC,PB1071,Y20-64,T,2011,72.9,74.0,67.3,75.5,83.5,77.8,77.0,67.8,63.8,65.9,74.7,60.3,64.0,78.7,69.6,72.0,73.6,67.1,65.5,83.2,80.7,70.2,76.0,70.4,76.0,70.2,81.0,83.4,87.2,85.7,79.7,56.1
PC,PB1071,Y25-54,F,2011,74.3,80.0,74.6,77.2,86.8,77.8,78.9,67.9,59.6,65.8,80.3,67.8,61.1,80.1,77.4,82.6,76.0,70.5,53.8,84.9,83.8,74.5,79.8,72.5,86.5,73.9,83.5,86.9,87.6,82.6,79.6,34.2
PC,PB1071,Y25-54,M,2011,87.4,90.8,77.7,94.4,91.1,89.4,87.0,77.4,83.6,77.2,91.4,77.2,86.1,90.5,76.7,80.6,92.9,84.1,93.5,93.7,92.9,87.8,86.3,86.4,88.5,86.5,89.5,91.0,90.4,95.0,90.8,86.2
PC,PB1071,Y25-54,T,2011,80.9,85.6,76.2,86.1,89.1,83.6,82.9,72.6,71.7,71.6,85.9,72.4,73.6,85.0,77.1,81.6,84.9,77.3,74.3,89.4,88.4,81.2,83.1,79.5,87.5,80.3,86.6,89.1,89.0,89.0,85.3,61.1
PC,PB1071,Y55-64,F,2011,46.1,39.7,48.1,42.2,68.4,56.7,75.5,48.3,32.0,43.5,45.5,29.2,30.3,50.8,60.0,57.1,35.8,42.0,13.4 u,54.9,40.2,32.8,54.0,44.4,29.4,39.8,71.5,75.4,85.0,68.4,58.2,19.0
PC,PB1071,Y55-64,M,2011,63.4,56.2,58.4,67.8,74.6,76.4,74.8,68.1,60.2,64.0,50.7,53.8,51.3,78.3,55.2,62.9,53.1,52.4,56.5,74.7,60.7,59.1,62.5,63.5,53.6,63.8,71.5,79.3,89.8,85.7,75.1,48.2
PC,PB1071,Y55-64,T,2011,54.5,47.9,53.1,54.5,71.6,66.2,75.2,58.0,46.1,53.6,48.0,40.7,40.8,65.1,57.8,59.7,45.1,46.8,35.1,65.1,49.9,45.0,58.5,53.9,41.3,51.4,71.5,77.5,87.6,77.5,66.4,35.3
