unit,hlth_pb,age,sex,time\geo,EU28 ,BE ,BG ,CZ ,DK ,DE ,EE ,IE ,EL ,ES ,FR ,HR ,IT ,CY ,LV ,LT ,LU ,HU ,MT ,NL ,AT ,PL ,PT ,RO ,SI ,SK ,FI ,SE ,IS ,CH ,UK ,TR 
PC,PB1040,TOTAL,F,2011,12.0 ,11.4 ,13.6 u,17.1 ,10.4 ,12.0 ,14.6 ,16.0 ,16.2 ,23.1 ,13.8 ,15.5 u,7.5 ,10.3 u,14.0 ,21.6 ,6.1 ,18.6 ,: u,7 u,5.9 ,11.0 ,14.6 ,6.7 ,9 u,18.6 ,7.6 ,9.3 ,7.8 ,6.1 ,9.3 ,6.5 
PC,PB1040,TOTAL,M,2011,12.2 ,9.0 ,15.1 u,14.5 ,11.3 ,12.4 ,23.2 ,19.5 ,13.3 ,23.6 ,10.5 ,16.9 u,8.6 ,10.1 u,22.4 ,26.5 ,3.6 u,20.2 ,: u,10.4 u,6.1 ,12.0 ,14.2 ,9.6 ,10.7 u,19.4 ,10.8 ,9.9 ,12.2 ,6.1 ,12.0 ,8.1 
PC,PB1040,TOTAL,T,2011,12.1 ,10.1 ,14.3 ,15.7 ,10.8 ,12.2 ,18.4 ,17.9 ,14.6 ,23.3 ,12.3 ,16.3 u,8.1 ,10.2 ,17.5 ,23.6 ,4.9 ,19.4 ,: u,8.6 ,6.0 ,11.5 ,14.4 ,8.1 ,9.9 ,19.0 ,9.1 ,9.6 ,9.8 ,6.1 ,10.6 ,7.5 
PC,PB1040,Y15-24,F,2011,21.9 ,: u,: u,: u,: u,: u,: u,: u,: u,38.5 u,: u,: u,48.7 u,: u,: u,: u,: u,: u,: u,14.7 u,: u,: u,: u,: u,: u,: u,33.4 u,28.3 ,: u,7.8 u,23.1 ,14.8 
PC,PB1040,Y15-24,M,2011,25.5 ,: u,: u,37.9 u,: u,: u,: u,53.1 ,: u,51.7 ,: u,: u,: u,: u,: u,: u,: u,: u,: u,13.4 u,: u,31 u,: u,: u,: u,: u,36.1 ,33.3 ,: u,11.2 u,32.2 ,14.2 
PC,PB1040,Y15-24,T,2011,23.7 ,19.6 u,: u,32.5 u,16.4 u,: u,: u,50.9 ,: u,45.3 ,26.5 u,: u,39.0 ,: u,: u,: u,: u,: u,: u,14.1 u,: u,30.7 u,: u,: u,: u,: u,35.0 ,30.3 ,22.1 ,9.4 ,27.2 ,14.4 
PC,PB1040,Y25-34,F,2011,17.0 ,18.1 u,: u,26.7 u,: u,: u,: u,: u,35.2 u,20.5 ,22.3 u,: u,13.7 ,: u,: u,: u,: u,: u,: u,5.9 u,: u,10.9 u,19.4 ,: u,: u,: u,7 u,13.1 ,: u,4.7 u,12.5 ,14.0 
PC,PB1040,Y25-34,M,2011,13.9 ,15.1 u,: u,17.2 u,: u,: u,: u,: u,: u,37.1 ,: u,: u,10.7 ,: u,: u,: u,: u,: u,: u,21.2 u,: u,12.5 u,: u,: u,14.2 u,47 u,11.8 ,13.3 u,: u,: u,14.0 ,9.2 
PC,PB1040,Y25-34,T,2011,15.4 ,16.6 ,: u,21.3 u,12.2 u,13.8 ,: u,18.0 ,26.8 u,27.9 ,16.9 ,: u,12.0 ,19.8 u,: u,: u,: u,22.4 u,: u,12.4 u,6.9 u,11.8 u,18.8 ,: u,13.3 u,40.9 ,9.5 ,13.2 ,: u,4.5 u,13.3 ,10.7 
PC,PB1040,Y25-64,F,2011,11.5 ,11.1 ,13.7 u,16.8 ,10.4 ,12.2 ,14.4 ,13.7 ,15.6 ,22.6 ,13.2 ,15 u,7.0 ,9.8 u,13.3 ,21.4 ,4.6 u,18.4 ,: u,6.3 u,5.6 ,10.7 ,14.5 ,6.3 ,8.6 u,19.0 ,6.5 ,7.5 ,: u,5.8 ,7.9 ,6.1 
PC,PB1040,Y25-64,M,2011,11.5 ,8.6 ,14.5 u,14.0 ,10.0 ,12.5 ,22.0 ,17.3 ,12.8 ,22.7 ,9.8 ,15.5 u,8.3 ,8.7 u,22.9 ,26.1 ,3.4 u,19.3 ,: u,10.1 u,5.7 ,11.4 ,13.7 ,8.8 ,10.5 u,18.3 ,9.0 ,7.9 ,: u,5.3 ,10.4 ,7.8 
PC,PB1040,Y25-64,T,2011,11.5 ,9.7 ,14.1 ,15.3 ,10.2 ,12.4 ,17.7 ,15.7 ,14.1 ,22.6 ,11.7 ,15.3 u,7.7 ,9.3 ,17.4 ,23.3 ,4.0 ,18.8 ,: u,8.1 ,5.7 ,11.0 ,14.2 ,7.5 ,9.6 ,18.7 ,7.7 ,7.6 ,6.5 ,5.6 ,9.2 ,7.1 
PC,PB1040,Y35-44,F,2011,13.1 ,8.9 u,: u,19.7 u,12.6 u,: u,: u,: u,21.6 u,24.7 ,17.3 ,: u,8.1 ,: u,: u,: u,: u,25.6 ,: u,6.1 u,8 u,13.9 u,17.6 ,: u,8 u,20.4 u,8.3 ,7.5 u,: u,5.3 u,9.9 ,7.7 
PC,PB1040,Y35-44,M,2011,12.3 ,8.4 u,: u,12.8 u,: u,12.3 ,: u,17.3 ,13.2 u,19.1 ,12.9 u,35.7 u,10.2 ,: u,: u,: u,: u,24.0 ,: u,12.7 u,: u,11.4 u,12.2 ,: u,12.1 u,: u,11.1 ,: u,: u,6.7 u,10.6 ,7.3 
PC,PB1040,Y35-44,T,2011,12.7 ,8.7 u,: u,16.1 ,11.1 ,10.9 ,19.6 u,15.5 ,17.1 u,21.8 ,15.3 ,24.2 u,9.3 ,15.7 u,15.2 u,24.6 u,4 u,24.9 ,: u,9 u,6.3 u,12.7 ,14.9 ,10.5 u,9.8 u,17.4 ,9.6 ,6.9 ,: u,6.0 ,10.3 ,7.4 
PC,PB1040,Y45-54,F,2011,10.5 ,9.1 u,: u,14.9 ,9.9 u,13.4 ,19.3 u,14.5 ,16.3 u,24.3 ,9.3 ,15 u,6.1 ,: u,: u,21.3 u,: u,20.8 ,: u,6.9 u,4 u,11.0 ,13.8 ,8.8 u,9.9 u,19.2 ,5.8 ,7.1 ,: u,6.7 ,7.0 ,4.3 
PC,PB1040,Y45-54,M,2011,10.8 ,6.9 u,: u,19.1 ,: u,11.9 ,19.2 u,14.4 ,10.8 u,22.8 ,8.7 u,: u,7.6 ,: u,16.9 u,25.7 u,: u,19.7 ,: u,7.1 u,5 u,13.1 ,10.6 ,10 u,7.9 u,15.4 ,7.0 ,8.0 ,: u,6.6 u,9.5 ,8.1 
PC,PB1040,Y45-54,T,2011,10.6 ,8.0 ,13.3 u,16.9 ,8.3 ,12.6 ,19.3 ,14.4 ,13.4 u,23.5 ,9.0 ,13 u,6.8 ,7.6 u,13.8 ,23.1 ,4.5 u,20.3 ,: u,7 u,4.5 u,12.0 ,12.4 ,9.4 ,8.9 u,17.3 ,6.3 ,7.5 ,: u,6.6 ,8.2 ,6.6 
PC,PB1040,Y55-64,F,2011,8.8 ,11.6 u,: u,14.8 u,: u,: u,: u,: u,: u,19.8 ,10 u,: u,4.4 u,: u,19.6 u,20.1 u,: u,11.2 ,: u,6 u,: u,7.9 u,11.4 ,: u,: u,: u,6.1 ,5.2 u,: u,5.8 u,5.3 ,1.3 
PC,PB1040,Y55-64,M,2011,10.8 ,7 u,: u,9.5 u,15.7 u,15.0 ,24 u,19.3 ,13 u,18.5 ,: u,11.1 u,6.3 ,: u,26.8 u,: u,: u,15.2 ,: u,7 u,: u,9.4 ,16.8 ,6.4 u,11.9 u,14.6 u,8.5 ,6.5 u,: u,2.9 u,9.6 ,6.3 
PC,PB1040,Y55-64,T,2011,9.8 ,9 u,11.7 u,11.6 ,10.3 u,12.6 ,15 u,15.9 ,10.1 u,19.1 ,9.0 ,12.1 u,5.5 ,: u,22.2 ,20.1 ,: u,13.0 ,: u,6.6 u,6.3 u,8.8 ,13.9 ,3.7 u,9 u,13.7 ,7.2 ,5.8 ,: u,4.5 ,7.6 ,4.2 
PC,PB1041,TOTAL,F,2011,9.8 ,6.1 ,9.9 ,7.4 ,6.7 ,6.1 ,11.0 ,10.7 ,20.6 ,22.5 ,9.3 ,13.4 ,9.3 ,6.8 ,14.5 ,11.7 ,6.7 ,10.3 ,8.4 ,4.1 ,4.0 ,10.2 ,12.6 ,7.2 ,7.3 ,12.5 ,6.9 ,7.2 ,7.2 ,4.2 ,7.1 ,10.6 
PC,PB1041,TOTAL,M,2011,9.5 ,6.1 ,12.4 ,5.4 ,7.5 ,6.7 ,12.0 ,18.1 ,13.9 ,21.5 ,8.2 ,13.7 ,7.0 ,7.6 ,20.3 ,18.4 ,4.2 ,10.3 ,6.8 ,4.0 ,3.6 ,8.8 ,12.4 ,7.6 ,7.7 ,13.2 ,8.1 ,7.4 ,9.1 ,3.5 ,8.5 ,8.3 
PC,PB1041,TOTAL,T,2011,9.6 ,6.1 ,11.2 ,6.3 ,7.1 ,6.4 ,11.5 ,14.8 ,16.7 ,21.9 ,8.7 ,13.6 ,8.0 ,7.2 ,17.4 ,15.1 ,5.3 ,10.3 ,7.3 ,4.1 ,3.8 ,9.4 ,12.5 ,7.5 ,7.5 ,12.9 ,7.5 ,7.3 ,8.2 ,3.8 ,7.9 ,8.9 
