unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,M,CY,,11.3,12.1,16.2,16.5,19.0,23.2,23.7,22.2,22.0,16.0,18.7
PC,NONE,Y16-24,M,CZ,2.5,2.7,4.4,6.1,5.4,9.8,5.5,7.9,10.1,10.8,7.6,10.2
PC,NONE,Y16-24,M,DE,5.4,6.2 b,1.8,2.9,2.6,3.1,4.2,4.1,4.7,3.7,4.6,5.1
PC,NONE,Y16-24,M,DK,0.0,2.0,2.2,2.6,3.4,2.1,2.8,3.6,4.4,3.1,2.1,2.7
PC,NONE,Y16-24,M,EA,,6.9,5.2,5.8 e,6.2 e,7.1 e,8.4 e,8.6 e,8.5 e,8.5 e,7.2 e,7.3 e
PC,NONE,Y16-24,M,EA18,,6.9,5.2,5.7,6.2,7.1,8.3,8.6,8.6,8.6,7.4,7.5
PC,NONE,Y16-24,M,EA19,,6.9,5.2,5.8,6.2,7.1,8.4,8.6,8.7,8.7,7.6,7.7
PC,NONE,Y16-24,M,EE,1.2,2.4,3.4,3.9,3.2,3.7,3.7,6.9,9.5,11.1,11.3,9.4
PC,NONE,Y16-24,M,EL,,21.9,19.2,21.5,27.5,31.7,31.1,31.3,27.0,29.4,19.6,13.5
PC,NONE,Y16-24,M,ES,9.1,8.8,6.1,5.4,5.5,7.7,8.3,8.5,7.0,8.4,5.3,6.6
PC,NONE,Y16-24,M,EU,,,5.9 e,6.4,7.3,8.7,9.8,10.8,11.6,11.5,9.9,10.0
PC,NONE,Y16-24,M,EU27_2007,,,5.9 e,6.4,7.2,8.6,9.7,10.8,11.5,11.4,9.9,10.0
PC,NONE,Y16-24,M,EU27_2020,,7.3,5.8 e,6.4 e,7.6 e,8.8 e,9.9 e,10.7 e,11.5 e,11.5 e,10.4 e,10.7 e
PC,NONE,Y16-24,M,EU28,,,5.9 e,6.4,7.3,8.7,9.8,10.8,11.6,11.5,9.9,10.0
PC,NONE,Y16-24,M,FI,0.3,4.7,3.8,3.2,1.6,2.2,4.0,4.0,3.0,2.4,2.3,3.4
PC,NONE,Y16-24,M,FR,,6.2 b,6.3,5.3,5.3,5.5,7.1,6.4,7.1,7.4,6.6,8.4
PC,NONE,Y16-24,M,HR,5.3,4.6,5.0,7.0,9.9,13.0,15.1,14.3,16.5,16.2,15.0,14.9
PC,NONE,Y16-24,M,HU,,8.0,9.1,9.0,17.8,22.0,23.8,27.5,34.7,30.6,28.8,25.9
PC,NONE,Y16-24,M,IE,2.9,4.7 b,7.2,9.4,7.6,8.9,11.3,12.9,10.2,12.9,9.8,4.5
PC,NONE,Y16-24,M,IS,,,,0.0,0.5,0.5,0.0,0.0,1.4,0.4,3.1,0.0
PC,NONE,Y16-24,M,IT,6.6 p,7.7,7.3,8.9,11.3,12.5,14.7,14.8,15.1,15.6,12.0,9.0
PC,NONE,Y16-24,M,LT,,7.7,7.6,15.8,12.2,14.1,11.9,12.0,13.4,22.7,22.2,23.4
PC,NONE,Y16-24,M,LU,,2.5 b,2.7,1.7,1.3,1.7,4.2,2.3,1.3,1.5,2.2,0.6
PC,NONE,Y16-24,M,LV,6.1,8.5,8.1,9.4,10.9,14.5,18.4,17.7,25.3,26.4,35.3,28.0
PC,NONE,Y16-24,M,ME,,15.2,11.7,13.7,12.1,19.6,17.9,13.3,10.8,,,
