unit,lev_limit,lev_satis,age,sex,geo\time,2012,2007
PC_POP,NONE,GOOD,Y16-24,F,AT,37.9,45.5
PC_POP,NONE,GOOD,Y16-24,F,BE,50.2,48.7
PC_POP,NONE,GOOD,Y16-24,F,BG,70.0,56.2
PC_POP,NONE,GOOD,Y16-24,F,CH,39.7,38.6
PC_POP,NONE,GOOD,Y16-24,F,CY,62.9,62.2
PC_POP,NONE,GOOD,Y16-24,F,CZ,68.6 u,73.2
PC_POP,NONE,GOOD,Y16-24,F,DE,57.2,37.1
PC_POP,NONE,GOOD,Y16-24,F,DK,39.5,33.8
PC_POP,NONE,GOOD,Y16-24,F,EE,62.3,54.2
PC_POP,NONE,GOOD,Y16-24,F,EL,66.8,67.5
PC_POP,NONE,GOOD,Y16-24,F,ES,62.6,66.2
PC_POP,NONE,GOOD,Y16-24,F,EU27_2007,56.9,52.1
PC_POP,NONE,GOOD,Y16-24,F,EU28,57.1,:
PC_POP,NONE,GOOD,Y16-24,F,FI,52.2,50.2
PC_POP,NONE,GOOD,Y16-24,F,FR,40.9,57.0
PC_POP,NONE,GOOD,Y16-24,F,HR,71.2,:
PC_POP,NONE,GOOD,Y16-24,F,HU,66.1,49.5
PC_POP,NONE,GOOD,Y16-24,F,IE,47.4,42.4
PC_POP,NONE,GOOD,Y16-24,F,IS,41.0,35.5
PC_POP,NONE,GOOD,Y16-24,F,IT,71.6,66.2
PC_POP,NONE,GOOD,Y16-24,F,LT,67.5,55.1
PC_POP,NONE,GOOD,Y16-24,F,LU,39.9,45.7
PC_POP,NONE,GOOD,Y16-24,F,LV,66.5,64.2
PC_POP,NONE,GOOD,Y16-24,F,MT,58.9,66.2
PC_POP,NONE,GOOD,Y16-24,F,NL,39.5,32.1
PC_POP,NONE,GOOD,Y16-24,F,NO,50.6,49.8
PC_POP,NONE,GOOD,Y16-24,F,PL,63.3,70.2
PC_POP,NONE,GOOD,Y16-24,F,PT,70.6,57.7
PC_POP,NONE,GOOD,Y16-24,F,RO,79.6,17.0
PC_POP,NONE,GOOD,Y16-24,F,SE,34.8,46.1
PC_POP,NONE,GOOD,Y16-24,F,SI,59.9,53.2
PC_POP,NONE,GOOD,Y16-24,F,SK,72.5,59.7
PC_POP,NONE,GOOD,Y16-24,F,TR,:,48.3
PC_POP,NONE,GOOD,Y16-24,F,UK,45.9,43.2
PC_POP,NONE,GOOD,Y16-24,M,AT,42.2,48.1
PC_POP,NONE,GOOD,Y16-24,M,BE,48.6,52.5
PC_POP,NONE,GOOD,Y16-24,M,BG,71.2,51.9
PC_POP,NONE,GOOD,Y16-24,M,CH,42.4,33.6
PC_POP,NONE,GOOD,Y16-24,M,CY,66.1,64.9
PC_POP,NONE,GOOD,Y16-24,M,CZ,69.5 u,68.6
PC_POP,NONE,GOOD,Y16-24,M,DE,53.1,36.9
PC_POP,NONE,GOOD,Y16-24,M,DK,34.1,31.9
PC_POP,NONE,GOOD,Y16-24,M,EE,65.9,57.4
PC_POP,NONE,GOOD,Y16-24,M,EL,69.0,68.2
PC_POP,NONE,GOOD,Y16-24,M,ES,62.4,67.2
PC_POP,NONE,GOOD,Y16-24,M,EU27_2007,56.8,51.4
PC_POP,NONE,GOOD,Y16-24,M,EU28,57.0,:
PC_POP,NONE,GOOD,Y16-24,M,FI,55.9,60.0
PC_POP,NONE,GOOD,Y16-24,M,FR,42.6,58.8
PC_POP,NONE,GOOD,Y16-24,M,HR,73.3,:
PC_POP,NONE,GOOD,Y16-24,M,HU,65.0,47.8
PC_POP,NONE,GOOD,Y16-24,M,IE,45.9,42.4
PC_POP,NONE,GOOD,Y16-24,M,IS,41.1,27.7
PC_POP,NONE,GOOD,Y16-24,M,IT,72.3,64.8
PC_POP,NONE,GOOD,Y16-24,M,LT,70.7,53.2
PC_POP,NONE,GOOD,Y16-24,M,LU,38.9,37.5
PC_POP,NONE,GOOD,Y16-24,M,LV,68.6,63.1
PC_POP,NONE,GOOD,Y16-24,M,MT,60.6,70.6
PC_POP,NONE,GOOD,Y16-24,M,NL,33.4,28.4
PC_POP,NONE,GOOD,Y16-24,M,NO,46.6,50.1
PC_POP,NONE,GOOD,Y16-24,M,PL,64.5,70.7
PC_POP,NONE,GOOD,Y16-24,M,PT,71.1,57.7
PC_POP,NONE,GOOD,Y16-24,M,RO,82.1,17.8
PC_POP,NONE,GOOD,Y16-24,M,SE,38.2,47.7
PC_POP,NONE,GOOD,Y16-24,M,SI,58.8,57.1
