unit,hlth_pb,wstatus,sex,time\geo,BE ,BG ,CZ ,DK ,DE ,EE ,IE ,EL ,ES ,FR ,HR ,IT ,CY ,LV ,LT ,LU ,HU ,MT ,NL ,AT ,PL ,PT ,RO ,SI ,SK ,FI ,SE ,IS ,CH ,UK ,TR 
PC,PB1041,NEMP,F,2011,7.7 ,12.5 ,4.6 ,8.8 u,13.9 ,8.3 u,10.2 ,9.0 ,17.7 ,8.6 ,: u,12.6 ,3.8 u,9.2 u,4.2 u,: u,9.5 ,: u,6 u,8.4 u,3.2 ,11.4 ,13.2 ,2.5 u,5.0 ,7.5 ,3.7 u,: u,7.3 u,20.4 ,45.0 
PC,PB1041,NEMP,M,2011,9.5 ,11.4 ,4.2 ,9.5 ,13.9 ,8.7 u,14.5 ,8.6 ,22.7 ,9.7 ,: u,14.6 ,5.2 u,12.6 ,7.7 ,: u,8.1 ,: u,5.7 u,10.7 u,5.5 ,14.9 ,10.6 ,4 u,4.8 ,7.7 ,5.0 ,: u,3.6 u,17.7 ,18.1 
PC,PB1041,NEMP,T,2011,8.5 ,11.9 ,4.4 ,9.2 ,13.9 ,8.5 ,12.4 ,8.8 ,20.2 ,9.1 ,3 u,13.5 ,4.4 ,10.8 ,5.9 ,2.7 u,8.9 ,15.7 u,5.9 u,9.4 ,4.2 ,13.1 ,11.9 ,3.2 u,4.9 ,7.6 ,4.4 ,19.3 ,5.4 ,19.1 ,35.3 
PC,PB1041,POP,F,2011,7.3 ,11.4 ,4.3 ,6.5 ,9.9 ,8.6 u,7.9 ,9.8 ,21.7 ,8.6 ,3.2 u,14.1 ,7.8 ,9.7 ,4.4 u,4.3 u,9.5 ,18.0 ,5.9 u,6.8 ,3.2 ,17.6 ,16.4 ,1.8 u,4.5 ,7.5 ,3.3 ,12.7 ,5.9 ,14.0 ,44.9 
PC,PB1041,POP,M,2011,13.7 ,10.6 ,5.1 ,10.0 ,11.0 ,12.1 ,12.3 ,15.4 ,28.6 ,11.6 ,3.6 u,20.2 ,13.3 ,16.7 ,8.6 ,6.6 ,10.8 ,26.5 ,9.0 ,8.8 ,6.6 ,28.0 ,18.3 ,4.3 u,5.2 ,8.5 ,5.7 ,23.5 ,4.5 ,16.1 ,36.4 
PC,PB1041,POP,T,2011,10.4 ,11.0 ,4.7 ,8.3 ,10.4 ,10.4 ,10.1 ,12.6 ,25.2 ,10.1 ,3.4 u,17.2 ,10.2 ,13.2 ,6.5 ,5.5 ,10.1 ,22.5 ,7.5 ,7.8 ,4.9 ,22.9 ,17.4 ,3.1 u,4.8 ,8.0 ,4.6 ,18.5 ,5.2 ,15.1 ,40.8 
PC,PB1070,EMP,F,2011,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,11.4 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,50.5 
PC,PB1070,EMP,M,2011,57.6 u,: u,35.1 u,: u,: u,: u,: u,: u,60.9 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,26.2 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,17 u,21.0 ,63.9 
PC,PB1070,EMP,T,2011,48.4 u,: u,25.5 u,: u,: u,: u,: u,: u,36.7 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,17.7 u,: u,: u,: u,: u,: u,: u,: u,: u,30.8 ,9.2 u,16.0 ,59.3 
PC,PB1070,NEMP,F,2011,: u,: u,33.6 u,: u,: u,: u,38.0 ,: u,49.1 ,: u,: u,32.1 ,: u,: u,: u,: u,59.7 u,: u,26.8 u,: u,27.5 u,: u,68.7 u,: u,: u,20.1 u,: u,: u,36.3 u,42.4 ,67.8 
PC,PB1070,NEMP,M,2011,50.7 u,: u,41.1 u,33.9 u,: u,: u,38.3 ,: u,39.2 ,: u,: u,44.9 ,: u,: u,: u,: u,37.9 u,: u,42.4 u,: u,28.9 u,50.9 ,72.5 ,: u,: u,: u,: u,: u,24 u,39.2 ,67.5 
PC,PB1070,NEMP,T,2011,37.9 u,81.3 u,37.4 ,24.2 u,: u,: u,38.2 ,44.4 u,43.5 ,: u,: u,39.2 ,25.7 u,: u,: u,: u,47.0 ,: u,33.4 u,: u,28.3 ,36.1 ,70.9 ,: u,25.7 u,20.8 ,11.3 u,: u,30.6 u,40.7 ,67.7 
PC,PB1070,POP,F,2011,24.1 u,: u,28.4 u,: u,: u,: u,31.9 ,: u,40.3 ,: u,: u,28.8 ,: u,: u,: u,: u,51.7 u,: u,20.1 u,: u,24.4 u,: u,71 u,: u,: u,13.7 u,8.7 u,31.9 ,11 u,30.2 ,63.4 
PC,PB1070,POP,M,2011,52.5 u,: u,39.2 u,27.3 u,: u,: u,35.5 ,: u,43.3 ,: u,: u,44.9 ,28.7 u,: u,: u,: u,38.1 u,: u,35.2 u,: u,27.2 u,53.8 ,71.6 ,: u,35 u,20 u,: u,: u,18.8 ,33.7 ,65.7 
PC,PB1070,POP,T,2011,40.7 ,73.2 u,34.2 ,20.1 ,41.7 ,: u,33.9 ,41.2 u,42.0 ,: u,: u,37.9 ,27.4 u,: u,47.7 u,: u,44.1 ,: u,26.5 u,: u,26.1 ,38.4 ,71.3 ,: u,27.4 u,16.4 ,9.9 ,33.3 ,14.5 ,31.9 ,64.5 
PC,PB1071,EMP,F,2011,6.1 u,8.2 u,3.3 u,5.2 ,5.9 ,: u,5.0 ,13.2 u,31.7 ,8.8 u,: u,20.0 ,12.9 ,: u,: u,: u,9.3 ,20.9 u,6 u,6.3 u,3.3 u,29.3 ,24.9 ,: u,: u,7.6 ,3.1 u,12.7 ,5.3 ,9.3 ,45.4 
PC,PB1071,EMP,M,2011,20.5 ,9 u,5.6 ,10.4 ,8.4 ,16.9 u,8.7 ,32.1 ,43.1 ,13.8 ,: u,32.3 ,21.4 ,23.3 ,11.9 u,16 u,17.5 ,32.4 ,10.5 ,8.3 ,8.1 ,47.1 ,31.9 ,4.5 u,5.7 ,10.3 ,6.8 ,25.5 ,5.3 ,15.0 ,51.5 
PC,PB1071,EMP,T,2011,13.9 ,8.6 ,4.7 ,7.8 ,7.2 ,13.5 ,6.7 ,24.7 ,37.4 ,11.6 ,4.4 u,27.5 ,16.9 ,17.9 ,8.8 u,12.8 ,13.9 ,27.5 ,8.2 ,7.3 ,6.2 ,38.9 ,28.9 ,2.9 u,4.4 ,9.0 ,5.1 ,19.1 ,5.3 ,12.2 ,49.3 
PC,PB1071,NEMP,F,2011,7.3 ,12.6 ,4.2 ,7.7 u,13.4 ,7.9 u,10.0 ,9.0 ,17.0 ,8.2 ,: u,12.7 ,3.8 u,10.0 ,4.2 u,: u,9.4 ,: u,5.5 u,9.7 u,3.2 ,11.5 ,13.1 ,2.8 u,5.1 ,6.6 ,3.4 u,: u,6.9 u,19.8 ,44.8 
PC,PB1071,NEMP,M,2011,8.5 ,11.4 ,3.9 ,8.4 u,13.8 ,9 u,14.3 ,8.6 ,22.5 ,10.1 ,3.5 u,14.6 ,5.3 u,13.1 ,7.8 ,: u,8.4 ,: u,5.7 u,11.5 u,5.7 ,14.0 ,10.4 ,3.9 u,4.5 ,8.2 ,5.1 ,: u,3.1 u,17.0 ,17.9 
PC,PB1071,NEMP,T,2011,7.9 ,12.0 ,4.1 ,8.0 ,13.6 ,8.4 ,12.2 ,8.8 ,19.8 ,9.0 ,3.2 u,13.6 ,4.4 ,11.4 ,6.0 ,2.5 u,8.9 ,14.6 u,5.6 u,10.5 ,4.3 ,12.8 ,11.8 ,3.4 u,4.8 ,7.4 ,4.3 ,17.4 ,4.9 ,18.4 ,35.1 
PC,PB1071,POP,F,2011,6.9 ,11.5 ,4.0 ,6.0 ,9.5 ,8.6 u,7.8 ,9.8 ,21.5 ,8.4 ,3.2 u,14.2 ,7.8 ,10.2 ,4.4 u,3.9 u,9.4 ,17.3 ,5.9 u,7.7 ,3.2 ,17.9 ,16.3 ,2 u,4.4 ,7.2 ,3.3 ,13.3 ,5.8 ,13.6 ,45.0 
PC,PB1071,POP,M,2011,13.1 ,10.6 ,4.6 ,9.7 ,10.7 ,12.3 ,12.1 ,15.5 ,28.6 ,11.9 ,3.8 u,20.3 ,13.3 ,17.1 ,8.9 ,6.9 ,11.0 ,26.1 ,9.1 ,9.3 ,6.7 ,27.1 ,18.2 ,4.1 u,5.0 ,9.4 ,6.0 ,23.2 ,4.7 ,15.7 ,36.1 
PC,PB1071,POP,T,2011,9.9 ,11.0 ,4.3 ,7.9 ,10.1 ,10.4 ,9.9 ,12.7 ,25.1 ,10.1 ,3.5 u,17.3 ,10.2 ,13.6 ,6.7 ,5.4 ,10.2 ,22.0 ,7.5 ,8.5 ,5.0 ,22.6 ,17.3 ,3.2 u,4.7 ,8.3 ,4.7 ,18.7 ,5.2 ,14.7 ,40.8 
PC,TOTAL,EMP,F,2011,6.9 u,8.2 u,3.4 u,5.9 ,6.9 ,: u,5.0 ,13.2 u,31.4 ,9.2 u,: u,19.6 ,12.8 ,: u,: u,: u,9.2 ,20.6 u,6.2 u,6.4 u,3.3 u,29.2 ,25.3 ,: u,: u,7.5 ,3.4 ,16.4 ,4.9 ,9.5 ,45.6 
PC,TOTAL,EMP,M,2011,21.6 ,8.9 u,6.3 ,10.6 ,9.3 ,17.9 u,8.8 ,32.0 ,43.3 ,14.1 ,: u,32.2 ,22.2 ,23.8 ,13.3 u,16.8 u,17.6 ,32.8 ,11.0 ,8.3 ,8.3 ,47.8 ,32.1 ,4.6 u,6.3 ,10.8 ,7.0 ,27.5 ,6.6 ,15.2 ,52.0 
PC,TOTAL,EMP,T,2011,14.9 ,8.6 ,5.2 ,8.2 ,8.2 ,14.0 ,6.8 ,24.6 ,37.4 ,11.8 ,4.3 u,27.3 ,17.3 ,18.1 ,9.6 u,13.3 ,13.9 ,27.7 ,8.6 ,7.4 ,6.3 ,39.2 ,29.2 ,3 u,4.9 ,9.1 ,5.3 ,21.6 ,5.8 ,12.4 ,49.8 
PC,TOTAL,NEMP,F,2011,7.6 ,14.1 ,5.0 ,8.8 u,14.8 ,8.4 u,10.9 ,9.3 ,18.0 ,9.5 ,: u,12.9 ,4.5 u,10.3 ,5.3 u,: u,10.4 ,: u,8.3 u,10.7 ,3.9 ,12.6 ,14.2 ,3.1 u,5.3 ,8.2 ,4.5 ,: u,10.8 ,22.0 ,45.9 
PC,TOTAL,NEMP,M,2011,10.6 ,12.6 ,5.1 ,11.9 ,14.1 ,10.3 u,15.2 ,9.4 ,23.1 ,11.0 ,3.7 u,15.4 ,6.9 u,13.4 ,9.6 ,3.8 u,9.3 ,: u,8.9 u,12.8 u,6.7 ,16.4 ,12.3 ,4.6 u,5.4 ,9.3 ,5.6 ,21.2 ,5.3 u,19.3 ,20.7 
PC,TOTAL,NEMP,T,2011,9.1 ,13.4 ,5.1 ,10.5 ,14.5 ,9.3 ,13.1 ,9.3 ,20.6 ,10.2 ,3.3 u,14.1 ,5.5 ,11.7 ,7.5 ,3.5 u,9.9 ,16.8 u,8.6 u,11.6 ,5.2 ,14.5 ,13.3 ,3.8 u,5.3 ,8.7 ,5.1 ,24.1 ,8.0 ,20.7 ,36.8 
PC,TOTAL,POP,F,2011,7.4 ,12.6 ,4.6 ,6.9 ,10.6 ,8.8 ,8.3 ,10.1 ,22.0 ,9.4 ,3.1 u,14.3 ,8.1 ,10.4 ,5.3 u,4.8 u,10.1 ,18.1 ,6.8 ,8.2 ,3.8 ,18.4 ,17.1 ,2.2 u,4.7 ,7.8 ,3.9 ,19.1 ,6.4 ,14.8 ,45.8 
PC,TOTAL,POP,M,2011,14.7 ,11.4 ,5.6 ,11.1 ,11.4 ,13.4 ,12.8 ,16.0 ,29.0 ,12.5 ,4 u,20.8 ,14.4 ,17.5 ,10.6 ,7.7 ,11.6 ,27.2 ,10.3 ,9.8 ,7.4 ,28.6 ,19.4 ,4.6 u,5.7 ,10.1 ,6.3 ,25.5 ,6.2 ,16.9 ,37.7 
PC,TOTAL,POP,T,2011,11.0 ,12.0 ,5.1 ,9.0 ,11.0 ,11.1 ,10.5 ,13.0 ,25.6 ,10.9 ,3.6 u,17.6 ,10.9 ,13.9 ,8.0 ,6.3 ,10.9 ,22.9 ,8.6 ,9.0 ,5.6 ,23.6 ,18.3 ,3.5 u,5.2 ,8.9 ,5.2 ,22.3 ,6.3 ,15.8 ,41.9 
