unit,barrier,age,sex,time\geo,EU27_2007 ,BE ,BG ,CZ ,DK ,DE ,EE ,EL ,ES ,FR ,IT ,CY ,LV ,LT ,LU ,HU ,MT ,NL ,AT ,PL ,PT ,RO ,SI ,SK ,FI ,SE ,EEA ,IS ,NO ,UK 
THS,PTP_LD1,Y_GE65,M,2012,3914.2 e,80.4 ,107.2 ,58.2 ,33.9 ,911.4 ,10.3 ,131.9 ,324.2 ,385.3 ,478.7 ,4.3 ,17.6 ,21.0 ,3.0 ,93.1 ,3.6 ,127.9 ,88.5 ,220.2 ,82.4 ,163.7 ,18.8 ,22.4 ,43.3 ,89.1 ,3940.1 e,2.4 ,23.5 ,393.9 
THS,PTP_LD1,Y_GE65,T,2012,9357.7 e,181.9 ,256.6 ,157.2 ,95.8 ,1933.8 ,35.4 ,272.7 ,783.9 ,856.3 ,1172.8 ,12.2 ,57.3 ,76.7 ,6.7 ,203.2 ,8.4 ,262.8 ,238.6 ,780.5 ,203.4 ,370.6 ,43.9 ,104.6 ,96.7 ,197.1 ,9422.8 e,4.5 ,60.7 ,948.6 
THS,PTP_LD2-3,Y15-44,F,2012,2273.1 e,70.8 ,19.4 u,16.0 u,50.1 ,462.5 ,4.4 u,22.4 u,232.4 ,248.9 ,108.6 u,: u,8.5 ,11.6 ,4.2 u,36.6 ,: u,178.9 ,25.1 u,141.8 ,16.5 u,: u,6.0 u,14.2 u,29.0 u,50.7 ,2349.8 e,2.9 u,73.8 ,493.1 
THS,PTP_LD2-3,Y15-44,M,2012,1781.9 e,43.9 ,12.9 u,30.3 u,39.1 ,512.1 ,4.3 u,19.6 u,187.4 ,193.3 ,76.3 u,: u,9.3 ,10.1 ,2.6 u,45.1 ,: u,99.1 ,15.6 u,112.7 ,9.9 u,: u,7.6 u,20.6 u,29.8 u,39.2 ,1821.5 e,1.3 u,38.2 ,237.8 
THS,PTP_LD2-3,Y15-44,T,2012,4055.0 e,114.7 ,32.4 u,46.4 u,89.2 ,974.5 ,8.8 u,42.0 u,419.7 ,442.2 ,184.9 u,: u,17.8 ,21.7 ,6.8 u,81.6 ,: u,278.0 ,40.8 u,254.5 ,26.4 u,: u,13.6 u,34.8 u,58.8 u,89.9 ,4171.3 e,4.3 u,112.0 ,730.9 
THS,PTP_LD2-3,Y45-64,F,2012,4052.6 e,106.8 ,64.1 ,52.2 ,60.0 ,944.1 ,16.0 ,83.1 ,374.9 ,491.0 ,223.8 ,7.8 u,25.6 ,32.2 ,5.0 ,84.5 ,1.9 u,188.7 ,42.5 ,344.7 ,60.3 ,186.1 ,17.9 ,88.4 ,43.6 ,89.8 ,4116.7 e,3.9 ,60.2 ,417.7 
THS,PTP_LD2-3,Y45-64,M,2012,3312.1 e,46.1 ,62.3 ,46.8 ,40.0 ,828.0 ,11.3 ,54.1 ,271.0 ,408.5 ,105.9 ,6.1 u,20.5 ,32.7 ,2.8 ,89.6 ,1.7 u,129.4 ,79.6 ,337.1 ,54.2 ,149.9 ,16.6 ,62.4 ,43.1 ,48.5 ,3356.0 e,1.7 ,42.2 ,363.8 
THS,PTP_LD2-3,Y45-64,T,2012,7364.7 e,152.9 ,126.5 ,99.0 ,100.0 ,1772.1 ,27.4 ,137.2 ,645.9 ,899.4 ,329.7 ,14.0 u,46.1 ,64.9 ,7.8 ,174.1 ,3.6 u,318.1 ,122.1 ,681.8 ,114.5 ,336.0 ,34.5 ,150.8 ,86.7 ,138.3 ,7472.7 e,5.6 ,102.3 ,781.5 
THS,PTP_LD2-3,Y_GE15,F,2012,12341.3 e,237.3 ,178.9 ,200.1 ,156.9 ,2491.3 ,43.4 ,312.7 ,1324.0 ,1187.9 ,1395.0 ,18.0 ,78.4 ,114.0 ,13.5 ,295.1 ,6.1 ,465.3 ,152.0 ,951.3 ,207.9 ,457.3 ,52.6 ,169.9 ,132.9 ,217.8 ,12518.4 e,9.6 ,167.5 ,1481.6 
THS,PTP_LD2-3,Y_GE15,M,2012,8683.9 e,142.2 ,133.6 ,162.3 ,108.8 ,2048.8 ,22.4 ,184.6 ,835.9 ,883.9 ,790.6 ,14.3 ,51.5 ,66.9 ,8.6 ,210.5 ,4.5 ,310.6 ,149.1 ,690.6 ,148.0 ,368.5 ,42.2 ,106.8 ,109.6 ,128.0 ,8794.3 e,3.9 ,106.4 ,960.9 
THS,PTP_LD2-3,Y_GE15,T,2012,21025.2 e,379.5 ,312.5 ,362.4 ,265.7 ,4540.2 ,65.9 ,497.3 ,2159.9 ,2071.8 ,2185.5 ,32.3 ,129.9 ,181.0 ,22.2 ,505.6 ,10.7 ,775.9 ,301.1 ,1641.9 ,355.9 ,825.8 ,94.8 ,276.7 ,242.6 ,345.8 ,21312.7 e,13.5 ,274.0 ,2442.5 
THS,PTP_LD2-3,Y_GE65,F,2012,6015.6 e,59.7 ,95.3 ,131.9 ,46.9 ,1084.8 ,22.9 ,207.2 ,716.7 ,448.0 ,1062.6 ,9.3 ,44.3 ,70.3 ,4.4 ,174.1 ,3.5 ,97.7 ,84.3 ,464.8 ,131.1 ,251.6 ,28.7 ,67.3 ,60.3 ,77.4 ,6052.0 e,2.8 u,33.6 ,570.7 
THS,PTP_LD2-3,Y_GE65,M,2012,3589.9 e,52.2 ,58.4 ,85.1 ,29.7 ,708.8 ,6.8 ,111.0 ,377.5 ,282.2 ,608.3 ,5.5 ,21.7 ,24.1 ,3.2 ,75.8 ,2.2 ,82.1 ,53.9 ,240.8 ,83.9 ,198.5 ,18.0 ,23.8 ,36.8 ,40.3 ,3616.7 e,0.9 u,26.0 ,359.3 
THS,PTP_LD2-3,Y_GE65,T,2012,9605.5 e,111.9 ,153.7 ,217.0 ,76.6 ,1793.5 ,29.7 ,318.2 ,1094.3 ,730.2 ,1670.9 ,14.8 ,65.9 ,94.4 ,7.6 ,249.9 ,5.7 ,179.8 ,138.2 ,705.6 ,215.0 ,450.2 ,46.7 ,91.1 ,97.1 ,117.7 ,9668.7 e,3.6 u,59.6 ,930.0 
THS,PTP_LD_GE4,Y15-44,F,2012,2832.8 e,92.8 ,17.4 u,34.5 u,54.4 ,547.1 ,4.0 u,7.3 u,248.6 ,276.2 ,145.0 ,3.1 u,4.7 ,12.1 u,1.7 u,50.6 ,: u,163.6 ,19.8 u,131.8 ,22.8 u,46.5 u,7.9 u,8.9 u,28.8 u,65.3 ,2913.5 e,2.1 u,78.6 ,837.2 
THS,PTP_LD_GE4,Y15-44,M,2012,2177.2 e,63.7 ,21.7 u,14.1 u,34.2 ,314.7 ,3.2 u,21.7 u,158.8 ,232.7 ,152.4 ,3.0 u,4.6 ,9.5 u,1.9 u,45.4 ,: u,62.5 ,20.1 u,163.6 ,7.7 u,56.2 u,8.6 u,20.3 u,18.3 u,24.9 ,2222.9 e,0.8 u,44.9 ,712.1 
THS,PTP_LD_GE4,Y15-44,T,2012,5010.0 e,156.5 ,39.1 u,48.6 u,88.6 ,861.8 ,7.2 u,29.0 u,407.4 ,508.8 ,297.5 ,6.0 u,9.3 ,21.6 u,3.6 u,96.0 ,: u,226.1 ,39.9 u,295.4 ,30.5 u,102.7 u,16.5 u,29.2 u,47.1 u,90.2 ,5136.4 e,2.9 u,123.4 ,1549.3 
THS,PTP_LD_GE4,Y45-64,F,2012,5154.1 e,130.3 ,70.4 ,80.8 ,83.1 ,882.3 ,14.1 ,64.2 ,463.2 ,570.8 ,262.0 ,3.6 u,17.8 ,41.1 ,4.0 ,188.8 ,2.3 u,192.9 ,56.5 ,414.3 ,63.5 ,256.9 ,17.0 ,58.2 ,55.6 ,63.9 ,5236.1 e,3.2 u,78.8 ,1096.6 
THS,PTP_LD_GE4,Y45-64,M,2012,4065.4 e,63.0 ,68.7 ,57.9 ,67.5 ,793.6 ,15.0 ,50.0 ,364.7 ,388.7 ,151.6 ,6.6 u,13.3 ,21.3 ,3.6 ,152.9 ,1.7 u,103.2 ,34.1 ,360.8 ,56.2 ,208.6 ,14.3 ,47.7 ,27.6 ,33.1 ,4106.9 e,0.9 u,40.7 ,959.7 
THS,PTP_LD_GE4,Y45-64,T,2012,9219.5 e,193.2 ,139.2 ,138.7 ,150.6 ,1675.9 ,29.1 ,114.2 ,827.9 ,959.5 ,413.6 ,10.3 u,31.1 ,62.4 ,7.7 ,341.8 ,4.0 u,296.0 ,90.6 ,775.1 ,119.6 ,465.5 ,31.3 ,105.8 ,83.2 ,96.9 ,9343.0 e,4.1 u,119.4 ,2056.3 
THS,PTP_LD_GE4,Y_GE15,F,2012,16029.4 e,327.9 ,271.8 ,340.6 ,195.1 ,2770.6 ,46.4 ,372.2 ,1534.3 ,1345.6 ,1886.7 ,16.3 ,88.4 ,132.6 ,8.9 ,586.1 ,6.8 ,442.8 ,163.5 ,1402.3 ,220.3 ,854.8 ,69.9 ,114.6 ,126.3 ,162.5 ,16223.8 e,6.1 ,188.4 ,2542.2 
THS,PTP_LD_GE4,Y_GE15,M,2012,10039.2 e,166.7 ,184.6 ,195.2 ,136.5 ,1732.4 ,23.9 ,209.8 ,844.5 ,909.2 ,1024.0 ,17.8 ,37.6 ,59.3 ,6.6 ,329.2 ,4.6 ,199.5 ,99.6 ,788.4 ,139.3 ,640.7 ,35.5 ,82.2 ,66.8 ,81.8 ,10137.3 e,1.8 ,96.3 ,2023.6 
THS,PTP_LD_GE4,Y_GE15,T,2012,26068.5 e,494.5 ,456.4 ,535.8 ,331.6 ,4503.0 ,70.2 ,582.0 ,2378.8 ,2254.8 ,2910.7 ,34.0 ,126.0 ,191.9 ,15.5 ,915.4 ,11.3 ,642.3 ,263.1 ,2190.7 ,359.6 ,1495.5 ,105.3 ,196.8 ,193.1 ,244.3 ,26361.1 e,7.9 ,284.6 ,4565.8 
THS,PTP_LD_GE4,Y_GE65,F,2012,8042.4 e,104.8 ,184.0 ,225.3 ,57.6 ,1341.2 ,28.2 ,300.8 ,822.5 ,498.6 ,1479.7 ,9.6 ,65.8 ,79.4 ,3.2 u,346.7 ,3.7 ,86.4 ,87.2 ,856.2 ,134.0 ,551.4 ,45.0 ,47.5 ,42.0 ,33.3 u,8074.3 e,: u,31.0 u,608.5 
THS,PTP_LD_GE4,Y_GE65,M,2012,3796.6 e,40.1 ,94.2 ,123.2 ,34.9 ,624.1 ,5.7 ,138.0 ,320.9 ,287.8 ,719.9 ,8.2 ,19.8 ,28.5 ,1.0 u,130.9 ,1.5 ,33.9 ,45.4 ,264.1 ,75.5 ,376.0 ,12.5 ,14.2 ,20.8 ,23.9 u,3807.5 e,: u,10.7 u,351.8 
THS,PTP_LD_GE4,Y_GE65,T,2012,11839.0 e,144.8 ,278.1 ,348.5 ,92.4 ,1965.3 ,33.8 ,438.8 ,1143.5 ,786.5 ,2199.6 ,17.8 ,85.6 ,107.8 ,4.3 u,477.5 ,5.3 ,120.2 ,132.6 ,1120.2 ,209.5 ,927.4 ,57.5 ,61.7 ,62.8 ,57.2 u,11881.7 e,: u,41.8 u,960.2 
THS,TOTAL,Y15-44,F,2012,8879.6 e,308.1 ,83.3 ,102.2 ,169.3 ,1888.5 ,19.4 ,98.2 ,798.0 ,849.5 ,514.7 ,10.2 ,31.5 ,47.6 ,11.6 ,179.3 ,3.7 ,532.8 ,107.0 ,506.2 ,95.9 ,125.4 ,27.3 ,64.1 ,94.4 ,233.6 ,9106.1 e,9.0 ,217.5 ,1977.7 
THS,TOTAL,Y15-44,M,2012,7427.6 e,239.5 ,80.1 ,82.0 ,144.9 ,1775.2 ,17.8 ,88.5 ,561.0 ,742.1 ,506.4 ,10.3 ,26.2 ,48.5 ,10.5 ,176.5 ,3.1 ,299.6 ,107.7 ,445.5 ,55.0 ,125.8 ,28.1 ,73.6 ,92.1 ,151.2 ,7569.5 e,6.1 ,135.8 ,1536.4 
THS,TOTAL,Y15-44,T,2012,16307.2 e,547.5 ,163.4 ,184.2 ,314.2 ,3663.7 ,37.2 ,186.7 ,1359.1 ,1591.6 ,1021.1 ,20.5 ,57.7 ,96.1 ,22.1 ,355.9 ,6.8 ,832.3 ,214.7 ,951.7 ,150.9 ,251.2 ,55.4 ,137.7 ,186.5 ,384.8 ,16675.6 e,15.1 ,353.3 ,3514.1 
THS,TOTAL,Y45-64,F,2012,14259.2 e,385.2 ,277.4 ,204.9 ,190.5 ,2813.9 ,52.8 ,280.9 ,1204.3 ,1612.9 ,842.6 ,18.8 ,84.1 ,121.6 ,13.8 ,433.0 ,8.7 ,583.2 ,216.7 ,1217.7 ,234.5 ,670.3 ,56.7 ,243.3 ,163.6 ,253.3 ,14460.9 e,11.6 ,190.1 ,2074.6 
THS,TOTAL,Y45-64,M,2012,11662.0 e,182.1 ,240.3 ,160.3 ,149.9 ,2613.6 ,36.0 ,189.4 ,966.1 ,1227.9 ,492.6 ,20.2 ,54.7 ,88.9 ,13.9 ,353.3 ,7.2 ,416.7 ,221.8 ,1029.4 ,211.2 ,594.0 ,60.1 ,175.6 ,160.8 ,155.0 ,11785.2 e,5.1 ,118.0 ,1841.0 
THS,TOTAL,Y45-64,T,2012,25921.2 e,567.3 ,517.7 ,365.2 ,340.3 ,5427.5 ,88.8 ,470.3 ,2170.4 ,2840.8 ,1335.2 ,38.9 ,138.8 ,210.5 ,27.6 ,786.3 ,15.9 ,1000.0 ,438.5 ,2247.1 ,445.7 ,1264.3 ,116.7 ,419.0 ,324.4 ,408.3 ,26246.0 e,16.7 ,308.1 ,3915.6 
THS,TOTAL,Y_GE15,F,2012,42640.3 e,959.2 ,789.5 ,763.4 ,526.1 ,8150.7 ,148.5 ,1027.8 ,4001.3 ,3880.1 ,4593.6 ,55.7 ,265.4 ,374.5 ,36.8 ,1243.1 ,24.4 ,1435.0 ,645.4 ,3605.2 ,716.5 ,1805.6 ,182.7 ,504.5 ,413.7 ,705.5 ,43175.9 e,26.2 ,509.3 ,5786.1 
THS,TOTAL,Y_GE15,M,2012,30390.2 e,594.2 ,580.1 ,508.7 ,393.2 ,6633.1 ,76.6 ,658.8 ,2549.8 ,2925.3 ,2805.9 ,48.5 ,139.9 ,211.0 ,31.6 ,829.7 ,17.7 ,960.2 ,517.3 ,2200.0 ,508.0 ,1458.0 ,137.5 ,309.6 ,353.8 ,459.5 ,30719.0 e,14.6 ,314.1 ,4482.4 
THS,TOTAL,Y_GE15,T,2012,73030.6 e,1553.4 ,1369.5 ,1272.1 ,919.3 ,14783.8 ,225.1 ,1686.6 ,6551.1 ,6805.4 ,7399.5 ,104.1 ,405.4 ,585.5 ,68.3 ,2072.8 ,42.1 ,2395.1 ,1162.7 ,5805.1 ,1224.5 ,3263.6 ,320.3 ,814.1 ,767.5 ,1165.0 ,73894.9 e,40.8 ,823.5 ,10268.5 
THS,TOTAL,Y_GE65,F,2012,19501.5 e,265.9 ,428.8 ,456.3 ,166.3 ,3448.3 ,76.3 ,648.7 ,1999.0 ,1417.7 ,3236.4 ,26.7 ,149.8 ,205.3 ,11.4 ,630.8 ,12.0 ,319.0 ,321.7 ,1881.2 ,386.1 ,1010.0 ,98.8 ,197.1 ,155.7 ,218.6 ,19608.9 e,5.7 ,101.8 ,1733.8 
THS,TOTAL,Y_GE65,M,2012,11300.6 e,172.6 ,259.7 ,266.5 ,98.5 ,2244.3 ,22.8 ,381.0 ,1022.7 ,955.3 ,1806.9 ,18.0 ,59.0 ,73.6 ,7.2 ,299.8 ,7.4 ,243.9 ,187.8 ,725.1 ,241.8 ,738.2 ,49.3 ,60.4 ,100.9 ,153.3 ,11364.3 e,3.4 ,60.3 ,1105.0 
THS,TOTAL,Y_GE65,T,2012,30802.1 e,438.6 ,688.4 ,722.7 ,264.8 ,5692.6 ,99.0 ,1029.7 ,3021.6 ,2373.0 ,5043.2 ,44.7 ,208.8 ,278.9 ,18.6 ,930.6 ,19.4 ,562.9 ,509.5 ,2606.3 ,627.9 ,1748.2 ,148.1 ,257.4 ,256.6 ,371.9 ,30973.2 e,9.0 ,162.1 ,2838.8 
