unit,barrier,age,sex,time\geo,EU27_2007 ,BE ,BG ,CZ ,DK ,DE ,EE ,EL ,ES ,FR ,IT ,CY ,LV ,LT ,LU ,HU ,MT ,NL ,AT ,PL ,PT ,RO ,SI ,SK ,FI ,SE ,EEA ,IS ,NO ,UK 
THS,PTP_LD1,Y15-44,F,2012,3773.7 e,144.4 ,46.5 ,51.7 ,64.9 ,878.9 ,11.0 ,68.6 ,317.0 ,324.4 ,261.1 ,6.2 u,18.3 ,23.9 ,5.8 ,92.1 ,2.2 u,190.2 ,62.0 ,232.6 ,56.6 ,59.3 u,13.4 ,41.0 ,36.6 ,117.6 ,3842.9 e,4.0 ,65.2 ,647.4 
THS,PTP_LD1,Y15-44,M,2012,3468.5 e,132.0 ,45.4 ,37.6 ,71.6 ,948.4 ,10.3 ,47.2 ,214.8 ,316.2 ,277.7 ,4.7 u,12.3 ,28.8 ,5.9 ,86.1 ,1.2 u,138.0 ,72.0 ,169.2 ,37.4 ,49.6 u,11.9 ,32.7 ,44.0 ,87.1 ,3525.1 e,4.0 ,52.7 ,586.5 
THS,PTP_LD1,Y15-44,T,2012,7242.2 e,276.4 ,91.9 ,89.2 ,136.5 ,1827.3 ,21.3 ,115.8 ,531.9 ,640.6 ,538.7 ,10.9 u,30.6 ,52.8 ,11.7 ,178.2 ,3.4 u,328.2 ,134.0 ,401.8 ,94.0 ,108.9 u,25.3 ,73.7 ,80.6 ,204.7 ,7368.0 e,8.0 ,117.8 ,1233.9 
THS,PTP_LD1,Y45-64,F,2012,5052.4 e,148.2 ,142.8 ,71.9 ,47.3 ,987.5 ,22.6 ,133.5 ,366.2 ,551.2 ,356.8 ,7.3 ,40.6 ,48.3 ,4.8 ,159.7 ,4.6 ,201.7 ,117.7 ,458.7 ,110.8 ,227.3 ,21.7 ,96.8 ,64.5 ,99.6 ,5108.1 e,4.5 ,51.1 ,560.3 
THS,PTP_LD1,Y45-64,M,2012,4284.5 e,73.0 ,109.2 ,55.6 ,42.4 ,992.0 ,9.7 ,85.3 ,330.4 ,430.7 ,235.1 ,7.4 ,21.0 ,34.9 ,7.4 ,110.7 ,3.7 ,184.1 ,108.2 ,331.5 ,100.9 ,235.5 ,29.2 ,65.6 ,90.1 ,73.5 ,4322.3 e,2.5 ,35.2 ,517.5 
THS,PTP_LD1,Y45-64,T,2012,9337.0 e,221.2 ,252.1 ,127.5 ,89.7 ,1979.5 ,32.3 ,218.9 ,696.7 ,981.9 ,591.8 ,14.7 ,61.6 ,83.2 ,12.2 ,270.4 ,8.3 ,385.8 ,225.9 ,790.2 ,211.6 ,462.8 ,50.9 ,162.3 ,154.5 ,173.1 ,9430.3 e,7.0 ,86.4 ,1077.8 
THS,PTP_LD1,Y_GE15,F,2012,14269.7 e,394.1 ,338.8 ,222.7 ,174.1 ,2888.8 ,58.7 ,342.9 ,1143.0 ,1346.6 ,1311.9 ,21.4 ,98.7 ,127.9 ,14.3 ,361.9 ,11.5 ,526.8 ,329.9 ,1251.6 ,288.4 ,493.5 ,60.2 ,220.0 ,154.5 ,325.1 ,14433.7 e,10.6 ,153.4 ,1762.3 
THS,PTP_LD1,Y_GE15,M,2012,11667.2 e,285.3 ,261.8 ,151.3 ,147.9 ,2851.8 ,30.3 ,264.4 ,869.4 ,1132.2 ,991.4 ,16.4 ,50.8 ,84.7 ,16.3 ,289.9 ,8.6 ,450.0 ,268.6 ,721.0 ,220.7 ,448.8 ,59.9 ,120.6 ,177.3 ,249.7 ,11787.4 e,8.9 ,111.4 ,1497.9 
THS,PTP_LD1,Y_GE15,T,2012,25936.8 e,679.4 ,600.6 ,374.0 ,321.9 ,5740.6 ,89.0 ,607.3 ,2012.4 ,2478.8 ,2303.3 ,37.8 ,149.5 ,212.6 ,30.6 ,651.8 ,20.1 ,976.9 ,598.5 ,1972.5 ,509.1 ,942.3 ,120.1 ,340.6 ,331.8 ,574.9 ,26221.1 e,19.4 ,264.9 ,3260.2 
THS,PTP_LD1,Y_GE65,F,2012,5443.5 e,101.5 ,149.5 ,99.1 ,61.9 ,1022.4 ,25.1 ,140.8 ,459.7 ,471.0 ,694.1 ,7.9 ,39.7 ,55.7 ,3.7 ,110.0 ,4.8 ,134.9 ,150.1 ,560.3 ,121.0 ,206.9 ,25.1 ,82.2 ,53.4 ,108.0 ,5482.7 e,2.1 ,37.1 ,554.7 
