unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,F,AL,:,58.8,63.4,63.8,63.0,:,:,:,:,:,:,:
PC,NONE,Y16-24,F,AT,14.5,12.0,14.6,11.8,12.8,16.1,16.9,20.1,21.6,17.7,21.2,22.9
PC,NONE,Y16-24,F,BE,20.0,23.2,20.9 b,24.3,27.1,28.7,27.1,26.7,26.3,28.7,27.3,27.6
PC,NONE,Y16-24,F,BG,42.9,35.7,27.0,17.1,52.4,58.7,58.4,44.0,63.2,74.2,75.0,61.7
PC,NONE,Y16-24,F,CH,:,7.6,9.6,8.6,7.9,9.8,9.6,12.6,9.7,8.1,9.8,8.7
PC,NONE,Y16-24,F,CY,:,53.9,57.8,61.5,62.0,58.0,57.9,70.0,66.9,63.2,56.4,56.6
PC,NONE,Y16-24,F,CZ,16.0,21.7,29.6,24.3,26.8,37.1,37.0,36.7,39.6,50.4,46.2,43.6
PC,NONE,Y16-24,F,DE,16.1,18.0 b,13.3,12.6,15.7,21.7,19.3,19.5,22.8,21.8,26.0,29.6
PC,NONE,Y16-24,F,DK,11.4,10.6,10.2,16.0,15.7,15.2,20.7,20.1,20.5,20.1,12.2,12.6
PC,NONE,Y16-24,F,EA,:,29.3,26.9,29.4 e,30.2 e,33.6 e,34.1 e,35.9 e,39.4 e,38.2 e,37.2 e,38.0 e
PC,NONE,Y16-24,F,EA18,:,29.3,26.8,29.3,30.1,33.4,34.0,35.9,39.5,38.4,37.4,38.3
PC,NONE,Y16-24,F,EA19,:,29.3,26.9,29.4,30.2,33.6,34.1,36.0,39.5,38.5,37.5,38.6
PC,NONE,Y16-24,F,EE,17.6,18.3,23.3,23.9,24.3,27.2,28.0,29.2,43.0,43.7,51.5,56.2
PC,NONE,Y16-24,F,EL,:,58.0,50.3,54.8,53.9,62.7,61.4,60.3,59.4,62.0,57.1,54.4
PC,NONE,Y16-24,F,ES,37.1,37.5,35.3,41.3,39.9,47.9,48.1,52.5,55.2,53.0,46.1,49.9
PC,NONE,Y16-24,F,EU,:,:,28.8 e,30.7,32.5,36.4,38.0,40.6,45.1,45.0,43.0,43.5
PC,NONE,Y16-24,F,EU27_2007,:,:,28.6 e,30.5,32.3,36.1,37.7,40.2,44.8,44.8,42.9,43.4
PC,NONE,Y16-24,F,EU27_2020,:,30.5,28.5 e,30.7 e,32.8 e,36.1 e,37.3 e,39.8 e,44.5 e,44.3 e,43.3 e,43.8 e
