unit,lev_limit,age,sex,geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,M,SE,2.9,2.4,3.8,2.8,4.7,3.3,1.9,3.9,2.2,3.2,6.1
PC,NONE,Y16-24,M,SI,5.3,5.4,8.0,8.5,9.6,6.7,6.5,6.2,12.4,9.2,16.6
PC,NONE,Y16-24,M,SK,4.6,6.0,6.0,7.3,5.1,6.0,4.6,5.5,6.0,4.6,3.6
PC,NONE,Y16-24,M,TR,32.2,33.8,33.2,33.0,36.2,35.8,35.4,36.4,38.2,36.5,39.1
PC,NONE,Y16-24,M,UK,,,3.8,1.4 b,2.9,3.9,5.0,5.5,4.2,4.1,7.0
PC,NONE,Y16-24,M,XK,,,21.4,,,,,,,,
PC,NONE,Y16-24,T,AL,19.2,26.7,30.2,26.4,,,,,,,
PC,NONE,Y16-24,T,AT,4.9,6.2,4.7,6.7,5.4,7.0,4.6,5.8,3.9,5.9,6.3
PC,NONE,Y16-24,T,BE,4.1,2.9 b,3.4,4.5,3.5 b,0.7,1.5,2.1,0.5,1.7,3.0
PC,NONE,Y16-24,T,BG,14.8,16.6,16.7,18.2,18.2,19.1,17.7,17.6,17.9,20.2,20.4
PC,NONE,Y16-24,T,CH,1.9,2.4,6.5,3.1,2.8,3.0,2.5,3.1,3.4,3.9,1.6
PC,NONE,Y16-24,T,CY,3.5,2.6,1.8,2.4,3.9,0.6,2.9,3.5,2.6,3.8,4.3
PC,NONE,Y16-24,T,CZ,5.1,2.4,3.8,4.5,3.9,4.0,3.1,5.4,6.3,8.1,6.2
PC,NONE,Y16-24,T,DE,3.4 b,3.2,3.5,2.5,2.8,2.9,3.2,2.7,3.6,3.7,3.7
PC,NONE,Y16-24,T,DK,5.3,7.5,7.9,4.5,3.5,5.5,4.9,8.0,5.4,5.8,2.6
PC,NONE,Y16-24,T,EA,6.9,5.1 e,5.1 e,4.5 e,5.8 e,5.8 e,5.8 e,5.6 e,5.5 e,5.8 e,6.0 e
PC,NONE,Y16-24,T,EA18,6.9,5.1 e,5.1,4.4,5.7,5.7,5.8,5.7,5.6,6.0,6.2
PC,NONE,Y16-24,T,EA19,6.9,5.1 e,5.1,4.5,5.8,5.8,5.9,5.8,5.7,6.0,6.3
PC,NONE,Y16-24,T,EE,2.5,4.6,3.6,5.4,5.1,4.4,4.8,7.4,6.8,7.0,15.3
PC,NONE,Y16-24,T,EL,9.4,11.4,10.2,10.1,10.8,11.5,10.4,11.7,11.8,11.2,11.5
PC,NONE,Y16-24,T,ES,5.7,3.0,3.0,1.3,2.7,2.6,2.5,3.1,2.1,3.3,3.1
PC,NONE,Y16-24,T,EU,,6.3 e,6.3,6.0,7.3,7.5,7.8,7.8,7.9,8.3,9.1
PC,NONE,Y16-24,T,EU27_2007,,6.3 e,6.3,6.0,7.3,7.5,7.8,7.8,7.8,8.3,9.1
PC,NONE,Y16-24,T,EU27_2020,8.1 e,6.6 e,6.6 e,6.7 e,8.0 e,8.1 e,8.2 e,8.4 e,8.4 e,8.8 e,9.4 e
PC,NONE,Y16-24,T,EU28,,6.3 e,6.3,6.0,7.3,7.5,7.8,7.8,7.9,8.3,9.1
PC,NONE,Y16-24,T,FI,2.9,0.7,2.3,1.3,1.8,2.2,1.0,1.4,0.9,1.4,0.8
PC,NONE,Y16-24,T,FR,7.6 b,4.0,6.3,3.3,6.0,3.4,4.5,4.4,4.9,4.7,6.4
PC,NONE,Y16-24,T,HR,6.7,7.5,8.8,9.6,8.6,10.4,9.4,13.0,14.9,13.6,11.9
PC,NONE,Y16-24,T,HU,11.5,10.8,10.4,22.9,22.7,22.2,25.0,24.2,22.5,20.7,23.2
PC,NONE,Y16-24,T,IE,1.9 b,2.8,1.8,1.3,1.9,1.5,3.1,3.9,1.5,1.7,0.6
PC,NONE,Y16-24,T,IS,,,1.1,1.7,1.2,2.8,1.0,2.6,1.9,2.2,1.2
PC,NONE,Y16-24,T,IT,11.9,7.5,7.3,9.5,12.0,15.2,15.0,13.0,13.4,13.8,11.7
PC,NONE,Y16-24,T,LT,10.7,9.2,9.5,12.2,13.3,12.6,13.5,13.3,12.3,11.4,19.5
PC,NONE,Y16-24,T,LU,0.9 b,1.6,3.3,3.6,2.8,2.6,2.2,2.3,3.6,3.1,3.4
PC,NONE,Y16-24,T,LV,15.0,17.1,19.1,23.2,21.6,21.7,23.3,24.3,22.7,23.2,25.6
PC,NONE,Y16-24,T,ME,18.8,22.2,22.2,20.4,21.7,27.0,24.5,26.9,,,
PC,NONE,Y16-24,T,MK,11.3,12.0,12.1,12.9,12.7,10.3,14.3,13.4,14.5,16.0,
PC,NONE,Y16-24,T,MT,1.6,2.1,1.7,2.5,1.8,1.3,3.3,2.7,1.8,2.8,2.3
PC,NONE,Y16-24,T,NL,3.8,2.6,2.0,2.5,3.8,5.1,1.3,2.2,2.3,2.1,2.1
PC,NONE,Y16-24,T,NO,2.8,4.3,2.8,2.1,2.5,1.6,3.2,3.7,2.1,4.2,4.0
PC,NONE,Y16-24,T,PL,,9.2,10.5,11.8,12.2,12.5,10.6,12.4,12.5,13.0,15.2
PC,NONE,Y16-24,T,PT,6.8,7.4,8.3,7.6,9.1,7.9,9.4,10.2,6.5,6.8,8.9
PC,NONE,Y16-24,T,RO,22.1,22.6,23.2,25.9,30.5,32.1,31.0,30.4,31.6,34.2,34.8
PC,NONE,Y16-24,T,RS,9.4,19.3,14.3,18.6,19.7,19.7,22.8,22.0,,,
PC,NONE,Y16-24,T,SE,3.0,3.9,3.2,2.6,4.0,3.9,2.6,3.8,3.1,4.3,4.9
PC,NONE,Y16-24,T,SI,5.4,6.9,6.5,8.1,9.3,7.7,8.9,8.6,12.3,11.4,18.6
PC,NONE,Y16-24,T,SK,4.4,6.4,5.9,8.3,7.1,6.1,4.5,5.7,5.7,5.0,4.1
PC,NONE,Y16-24,T,TR,31.4,33.1,32.6,32.9,36.1,34.8,34.5,35.7,37.4,35.7,37.2
PC,NONE,Y16-24,T,UK,,,3.8,1.4 b,2.9,3.8,4.9,4.4,4.8,4.4,7.0
PC,NONE,Y16-24,T,XK,,,22.7,,,,,,,,
PC,NONE,Y16-29,F,AL,17.5,25.3,27.7,21.8,,,,,,,
PC,NONE,Y16-29,F,AT,5.0,5.4,3.1,6.9,5.8,6.5,4.1,6.1,5.5,5.2,6.4
PC,NONE,Y16-29,F,BE,3.0,2.4 b,2.9,3.8,2.8 b,0.6,1.4,1.1,0.5,1.3,2.2
PC,NONE,Y16-29,F,BG,14.4,14.8,16.1,17.5,17.3,17.2,15.3,15.5,17.6,20.7,19.5
PC,NONE,Y16-29,F,CH,1.9,1.4,5.4,2.7,3.3,2.7,1.7,2.0,2.9,2.9,1.8
PC,NONE,Y16-29,F,CY,2.9,2.2,2.6,1.4,2.9,0.5,1.6,2.1,1.7,2.9,2.0
PC,NONE,Y16-29,F,CZ,3.8,2.5,3.3,3.5,3.6,2.7,3.6,4.9,4.1,5.8,5.6
PC,NONE,Y16-29,F,DE,3.6 b,3.0,4.5,4.0,4.1,3.5,3.0,3.2,3.7,4.5,4.2
PC,NONE,Y16-29,F,DK,3.9,7.6,5.2,4.0,2.4,5.8,4.5,3.9,5.6,3.8,3.7
PC,NONE,Y16-29,F,EA,6.7,4.6 e,4.6 e,4.4 e,5.8 e,5.6 e,5.2 e,5.0 e,4.9 e,5.6 e,5.3 e
PC,NONE,Y16-29,F,EA18,6.7,4.6 e,4.6,4.4,5.8,5.6,5.2,5.1,5.0,5.7,5.5
PC,NONE,Y16-29,F,EA19,6.7,4.6 e,4.6,4.4,5.8,5.6,5.3,5.2,5.0,5.7,5.6
PC,NONE,Y16-29,F,EE,2.6,4.1,3.0,3.6,3.5,4.1,5.3,5.7,5.5,5.5,12.4
PC,NONE,Y16-29,F,EL,9.3,10.0,9.0,9.9,11.1,11.6,10.3,9.5,9.2,10.2,11.9
PC,NONE,Y16-29,F,ES,5.7,2.3,2.5,1.5,3.1,2.6,2.4,2.7,1.8,3.4,2.5
PC,NONE,Y16-29,F,EU,,5.6 e,5.6,5.7,7.0,7.1,7.0,6.9,7.2,7.8,8.1
PC,NONE,Y16-29,F,EU27_2007,,5.6 e,5.6,5.7,7.0,7.0,7.0,6.9,7.1,7.8,8.1
PC,NONE,Y16-29,F,EU27_2020,7.6 e,5.9 e,5.9 e,6.4 e,7.6 e,7.6 e,7.4 e,7.7 e,7.7 e,8.4 e,8.5 e
PC,NONE,Y16-29,F,EU28,,5.6 e,5.6,5.7,7.0,7.1,7.0,6.9,7.2,7.8,8.1
PC,NONE,Y16-29,F,FI,2.8,1.1,2.4,1.6,2.1,0.9,0.8,1.1,1.1,1.8,1.6
PC,NONE,Y16-29,F,FR,8.2 b,3.6,5.0,3.3,5.0,3.5,4.0,3.3,3.3,3.7,4.6
PC,NONE,Y16-29,F,HR,5.8,6.7,7.8,9.0,7.8,9.4,9.1,12.8,14.6,14.2,13.7
PC,NONE,Y16-29,F,HU,10.8,11.0,9.9,21.4,21.2,21.5,23.6,23.0,22.2,20.0,23.1
PC,NONE,Y16-29,F,IE,1.6 b,2.4,1.5,1.1,2.7,2.3,2.4,3.7,1.4,1.1,0.5
PC,NONE,Y16-29,F,IS,,,1.4,1.5,2.0,4.4,1.7,3.8,4.5,3.5,2.2
PC,NONE,Y16-29,F,IT,10.8,6.9,5.4,7.5,11.4,13.4,12.4,11.9,12.3,12.8,10.3
PC,NONE,Y16-29,F,LT,9.4,8.9,6.6,10.7,10.1,11.5,13.6,10.8,7.9,7.4,16.8
PC,NONE,Y16-29,F,LU,2.4 b,2.2,2.9,4.4,2.6,2.4,2.5,3.3,2.1,1.8,2.3
PC,NONE,Y16-29,F,LV,12.5,15.5,16.4,17.9,17.2,17.7,20.7,18.9,19.7,20.5,23.0
PC,NONE,Y16-29,F,ME,18.4,20.3,20.7,17.4,19.9,28.8,23.7,26.5,,,
PC,NONE,Y16-29,F,MK,10.3,10.3,10.4,12.8,12.1,8.9,10.6,11.3,13.6,16.1,
PC,NONE,Y16-29,F,MT,1.3,2.1,1.4,2.3,1.9,1.6,2.1,1.9,1.5,2.6,2.2
PC,NONE,Y16-29,F,NL,3.5,3.0,3.0,2.3,3.7,5.6,1.6,0.7,1.9,2.2,1.3
PC,NONE,Y16-29,F,NO,3.1,3.0,1.8,2.0,2.8,2.0,1.8,3.6,2.5,4.8,4.5
PC,NONE,Y16-29,F,PL,,8.4,8.6,10.9,11.2,11.1,9.7,12.0,12.8,13.2,16.0
PC,NONE,Y16-29,F,PT,5.4,5.8,8.3,6.5,8.4,8.0,8.7,9.2,4.2,4.8,7.3
PC,NONE,Y16-29,F,RO,18.7,19.2,21.5,22.0,25.2,26.3,26.9,28.4,29.4,29.8,29.1
PC,NONE,Y16-29,F,RS,9.5,17.8,12.6,16.4,17.3,19.1,19.4,20.0,,,
PC,NONE,Y16-29,F,SE,3.8,5.0,2.7,3.8,2.7,4.2,3.1,3.3,3.9,5.4,3.0
PC,NONE,Y16-29,F,SI,4.8,7.2,5.0,5.9,7.5,7.6,10.1,10.0,11.9,10.9,18.2
PC,NONE,Y16-29,F,SK,3.7,5.3,5.4,7.6,6.9,5.4,4.8,5.3,5.7,5.4,4.2
PC,NONE,Y16-29,F,TR,26.0,27.6,27.6,28.1,29.9,29.3,28.8,30.1,31.0,30.4,30.6
PC,NONE,Y16-29,F,UK,,,2.8,1.2 b,3.0,3.5,4.6,2.5,4.0,3.7,5.5
PC,NONE,Y16-29,F,XK,,,22.8,,,,,,,,
PC,NONE,Y16-29,M,AL,19.0,25.8,30.4,29.4,,,,,,,
PC,NONE,Y16-29,M,AT,4.9,5.2,4.2,5.9,5.5,7.0,5.0,4.5,3.5,6.4,4.8
PC,NONE,Y16-29,M,BE,3.1,2.3 b,2.6,3.7,3.1 b,0.7,1.2,2.1,0.5,1.3,2.8
PC,NONE,Y16-29,M,BG,16.4,17.2,18.0,18.3,18.1,18.7,17.6,17.1,15.4,18.5,18.5
PC,NONE,Y16-29,M,CH,2.9,3.6,4.4,3.2,1.7,2.4,2.4,2.5,2.8,3.0,1.0
PC,NONE,Y16-29,M,CY,3.3,2.2,1.1,2.0,3.0,0.7,2.8,2.9,2.2,3.0,4.9
PC,NONE,Y16-29,M,CZ,3.0,2.3,4.4,3.3,2.1,2.7,1.4,3.4,4.3,6.3,6.6
PC,NONE,Y16-29,M,DE,2.5 b,2.7,3.0,2.3,2.8,3.0,3.1,2.9,2.6,3.1,3.1
PC,NONE,Y16-29,M,DK,7.4,8.1,11.4,7.0,4.3,4.7,5.3,8.1,5.8,5.4,2.3
PC,NONE,Y16-29,M,EA,5.9,4.8 e,4.8 e,4.3 e,5.3 e,5.7 e,5.7 e,5.1 e,5.1 e,5.6 e,5.3 e
PC,NONE,Y16-29,M,EA18,5.9,4.8 e,4.8,4.3,5.2,5.6,5.7,5.2,5.2,5.7,5.5
PC,NONE,Y16-29,M,EA19,5.9,4.8 e,4.8,4.3,5.3,5.7,5.7,5.3,5.2,5.7,5.6
PC,NONE,Y16-29,M,EE,1.5,3.3,3.3,4.8,4.6,3.5,3.7,7.5,5.2,5.2,13.3
PC,NONE,Y16-29,M,EL,8.5,10.3,8.7,9.1,9.2,11.1,9.0,11.2,12.7,11.7,10.3
PC,NONE,Y16-29,M,ES,5.1,2.9,2.9,1.9,2.1,2.1,2.4,3.1,2.1,3.2,2.8
PC,NONE,Y16-29,M,EU,,5.9 e,5.9,5.8,7.0,7.1,7.4,7.4,7.1,7.6,8.1
PC,NONE,Y16-29,M,EU27_2007,,5.9 e,5.9,5.8,6.9,7.1,7.4,7.4,7.0,7.6,8.1
PC,NONE,Y16-29,M,EU27_2020,7.2 e,6.3 e,6.3 e,6.5 e,7.5 e,7.8 e,7.9 e,7.8 e,7.6 e,8.2 e,8.5 e
PC,NONE,Y16-29,M,EU28,,5.9 e,5.9,5.8,7.0,7.1,7.4,7.4,7.1,7.6,8.1
PC,NONE,Y16-29,M,FI,2.4,1.6,1.8,1.8,1.1,1.6,1.1,0.9,1.3,1.0,0.6
PC,NONE,Y16-29,M,FR,5.8 b,3.8,5.4,3.2,4.8,3.4,3.6,3.0,4.9,4.6,5.4
PC,NONE,Y16-29,M,HR,6.2,7.5,7.5,8.0,10.1,10.3,10.0,10.1,12.6,9.0,10.9
PC,NONE,Y16-29,M,HU,10.4,8.7,8.8,20.5,22.5,19.6,23.3,23.1,21.6,19.5,21.2
PC,NONE,Y16-29,M,IE,1.8 b,2.9,2.0,1.1,0.5,0.9,2.8,3.2,1.5,1.5,0.5
PC,NONE,Y16-29,M,IS,,,2.1,2.4,2.5,2.8,2.0,2.0,1.3,2.4,0.6
PC,NONE,Y16-29,M,IT,10.8,7.8,8.4,9.5,12.4,16.0,15.6,12.4,12.4,13.8,11.1
PC,NONE,Y16-29,M,LT,7.2,8.0,9.2,11.1,13.1,10.0,10.7,10.2,11.2,9.9,17.1
PC,NONE,Y16-29,M,LU,0.4 b,2.2,3.1,2.8,1.6,1.5,2.2,1.6,4.7,4.2,3.7
PC,NONE,Y16-29,M,LV,13.9,12.6,17.7,20.0,18.8,18.1,21.6,22.4,19.7,21.4,25.9
PC,NONE,Y16-29,M,ME,19.5,21.9,21.4,17.8,21.0,24.6,22.2,25.0,,,
PC,NONE,Y16-29,M,MK,10.4,10.2,12.2,11.2,12.2,9.5,12.5,14.6,15.0,14.8,
PC,NONE,Y16-29,M,MT,1.4,1.5,1.8,1.9,2.1,1.3,2.4,2.1,1.1,1.8,1.4
PC,NONE,Y16-29,M,NL,2.8,1.6,2.1,3.7,2.3,2.9,1.3,3.3,2.2,0.8,1.8
PC,NONE,Y16-29,M,NO,2.5,3.3,2.9,1.6,1.2,1.3,2.6,3.4,2.5,3.1,1.9
PC,NONE,Y16-29,M,PL,,7.6,9.8,10.3,11.7,11.1,9.7,11.2,11.2,12.9,14.3
PC,NONE,Y16-29,M,PT,7.1,7.0,6.7,6.6,8.8,7.5,9.7,9.0,6.0,6.1,7.2
PC,NONE,Y16-29,M,RO,20.4,19.8,21.1,26.0,27.7,29.6,29.4,29.7,29.4,31.8,33.4
PC,NONE,Y16-29,M,RS,10.2,17.5,13.5,16.2,20.8,18.1,22.7,20.4,,,
PC,NONE,Y16-29,M,SE,3.3,3.4,3.3,3.6,4.5,3.7,2.3,3.3,2.1,3.2,4.8
PC,NONE,Y16-29,M,SI,4.4,6.5,7.3,7.2,8.6,7.8,7.7,6.7,10.9,9.5,16.3
PC,NONE,Y16-29,M,SK,5.1,5.3,5.2,5.6,5.0,5.4,4.7,5.1,5.3,4.7,3.8
PC,NONE,Y16-29,M,TR,27.8,29.3,28.9,29.2,31.6,30.9,30.7,31.5,32.2,31.8,33.2
PC,NONE,Y16-29,M,UK,,,3.1,1.2 b,3.6,2.9,4.5,5.0,3.9,3.2,5.7
PC,NONE,Y16-29,M,XK,,,21.2,,,,,,,,
PC,NONE,Y16-29,T,AL,18.3,25.6,29.1,25.9,,,,,,,
PC,NONE,Y16-29,T,AT,4.9,5.3,3.7,6.4,5.6,6.8,4.6,5.3,4.4,5.8,5.6
PC,NONE,Y16-29,T,BE,3.0,2.4 b,2.8,3.7,2.9 b,0.6,1.3,1.6,0.5,1.3,2.5
PC,NONE,Y16-29,T,BG,15.4,16.0,17.1,17.9,17.7,18.0,16.4,16.3,16.5,19.5,18.9
PC,NONE,Y16-29,T,CH,2.4,2.5,4.9,2.9,2.4,2.5,2.1,2.3,2.9,3.0,1.4
