unit,lev_limit,age,sex,geo,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,F,AL,18.7,25.7,28.2,21.9,,,,,,,
PC,NONE,Y16-24,F,AT,5.2,5.7,4.7,7.8,5.9,7.0,4.0,6.7,4.1,5.4,6.8
PC,NONE,Y16-24,F,BE,3.9,2.9 b,3.7,4.6,3.6 b,0.6,1.6,1.0,0.5,1.5,2.6
PC,NONE,Y16-24,F,BG,14.3,16.9,16.9,17.9,18.0,19.3,16.5,16.4,17.9,21.2,20.6
PC,NONE,Y16-24,F,CH,1.7,1.7,7.9,3.2,3.9,3.0,2.0,2.5,4.6,4.7,2.3
PC,NONE,Y16-24,F,CY,3.8,2.0,2.4,2.0,3.7,0.6,1.8,3.2,2.7,3.3,2.5
PC,NONE,Y16-24,F,CZ,5.1,3.0,2.8,3.9,4.9,4.2,4.3,5.4,5.8,6.9,5.4
PC,NONE,Y16-24,F,DE,3.7 b,3.1,3.9,3.2,3.2,2.8,3.1,3.7,4.4,4.3,4.2
PC,NONE,Y16-24,F,DK,2.3,6.6,4.0,4.2,3.4,6.4,4.0,4.5,3.7,4.4,2.8
PC,NONE,Y16-24,F,EA,7.5,5.0 e,5.0 e,4.6 e,6.2 e,5.7 e,5.6 e,5.8 e,5.3 e,5.9 e,5.9 e
PC,NONE,Y16-24,F,EA18,7.4,5.0 e,5.0,4.5,6.1,5.6,5.6,6.0,5.4,6.0,6.1
PC,NONE,Y16-24,F,EA19,7.5,5.0 e,5.0,4.6,6.2,5.7,5.7,6.1,5.5,6.0,6.3
PC,NONE,Y16-24,F,EE,3.2,5.3,3.3,4.0,4.0,4.5,5.3,6.3,7.2,6.9,14.1
PC,NONE,Y16-24,F,EL,9.6,11.1,10.6,10.7,12.2,12.3,11.2,10.8,10.1,11.5,13.2
PC,NONE,Y16-24,F,ES,6.6,2.5,3.0,1.3,2.9,2.7,2.4,3.5,1.9,2.9,3.2
PC,NONE,Y16-24,F,EU,,6.2 e,6.2,6.0,7.4,7.5,7.5,7.8,7.9,8.5,9.1
PC,NONE,Y16-24,F,EU27_2007,,6.1 e,6.1,5.9,7.4,7.5,7.5,7.8,7.9,8.5,9.1
PC,NONE,Y16-24,F,EU27_2020,8.4 e,6.5 e,6.5 e,6.6 e,8.2 e,8.1 e,8.0 e,8.6 e,8.3 e,9.1 e,9.4 e
PC,NONE,Y16-24,F,EU28,,6.2 e,6.2,6.0,7.4,7.5,7.5,7.8,7.9,8.5,9.1
PC,NONE,Y16-24,F,FI,3.6,0.6,3.6,1.5,1.9,1.5,0.8,1.6,0.9,1.4,1.4
PC,NONE,Y16-24,F,FR,9.0 b,4.1,6.2,3.8,5.9,3.5,4.6,4.8,3.6,4.6,5.7
PC,NONE,Y16-24,F,HR,7.0,7.7,9.9,10.8,8.2,9.4,8.5,13.4,15.1,14.9,13.8
PC,NONE,Y16-24,F,HU,11.7,13.1,11.5,23.2,22.5,23.0,25.8,24.4,22.1,20.6,24.0
PC,NONE,Y16-24,F,IE,2.2 b,3.2,1.8,1.6,3.4,2.5,3.0,4.0,1.6,1.2,0.6
PC,NONE,Y16-24,F,IS,,,0.7,2.3,0.7,4.6,0.4,2.8,2.9,2.3,1.6
PC,NONE,Y16-24,F,IT,11.7,7.7,5.9,7.8,12.1,13.6,13.4,12.4,12.9,13.2,11.0
PC,NONE,Y16-24,F,LT,12.8,9.6,7.0,11.4,12.1,14.4,14.9,14.9,9.8,9.5,19.8
PC,NONE,Y16-24,F,LU,1.7 b,1.6,3.9,4.1,3.5,3.6,2.9,3.6,2.1,1.6,2.5
PC,NONE,Y16-24,F,LV,15.2,18.9,18.4,21.8,20.4,20.7,24.3,22.2,23.3,22.9,23.1
PC,NONE,Y16-24,F,ME,18.8,21.6,22.9,20.0,21.3,30.0,25.9,28.9,,,
PC,NONE,Y16-24,F,MK,11.4,12.2,11.1,13.6,12.5,9.9,13.4,11.4,13.5,15.6,
PC,NONE,Y16-24,F,MT,2.2,2.6,1.7,2.8,1.9,1.5,2.9,2.5,2.1,3.8,3.3
PC,NONE,Y16-24,F,NL,4.4,3.2,2.0,2.5,5.1,7.6,1.5,0.8,2.2,3.2,1.8
PC,NONE,Y16-24,F,NO,3.1,4.1,2.1,2.2,3.5,1.5,2.9,4.1,2.1,6.3,5.8
PC,NONE,Y16-24,F,PL,,9.8,9.5,11.5,11.6,11.9,9.9,11.9,13.4,13.6,16.0
PC,NONE,Y16-24,F,PT,6.2,6.3,8.7,7.4,8.7,8.0,8.9,10.3,5.6,6.4,9.1
PC,NONE,Y16-24,F,RO,20.6,22.0,23.5,23.3,30.0,31.1,29.5,31.5,31.5,34.4,33.1
PC,NONE,Y16-24,F,RS,8.6,19.8,13.9,19.3,17.8,20.0,20.5,22.4,,,
PC,NONE,Y16-24,F,SE,3.2,5.5,2.6,2.3,3.3,4.6,3.5,3.7,4.1,5.5,3.6
PC,NONE,Y16-24,F,SI,5.5,8.6,4.8,7.5,8.9,8.8,11.5,11.2,12.3,13.7,20.8
PC,NONE,Y16-24,F,SK,4.1,6.9,5.8,9.5,9.3,6.2,4.3,5.8,5.4,5.4,4.6
PC,NONE,Y16-24,F,TR,30.6,32.3,31.9,32.8,36.1,33.9,33.5,35.1,36.7,34.9,35.4
PC,NONE,Y16-24,F,UK,,,3.7,1.4 b,3.0,3.6,4.9,3.1,5.4,4.7,7.0
PC,NONE,Y16-24,F,XK,,,24.1,,,,,,,,
PC,NONE,Y16-24,M,AL,19.7,27.8,32.2,30.6,,,,,,,
PC,NONE,Y16-24,M,AT,4.6,6.7,4.7,5.8,4.9,7.0,5.1,5.0,3.9,6.4,5.9
PC,NONE,Y16-24,M,BE,4.4,2.9 b,3.2,4.4,3.5 b,0.9,1.5,3.0,0.4,1.8,3.4
PC,NONE,Y16-24,M,BG,15.3,16.3,16.6,18.5,18.4,18.9,18.8,18.7,17.9,19.2,20.1
PC,NONE,Y16-24,M,CH,2.2,3.2,5.2,3.1,1.8,2.9,3.0,3.5,2.4,3.2,1.1
PC,NONE,Y16-24,M,CY,3.2,3.2,1.2,2.7,4.1,0.7,4.0,3.8,2.6,4.4,6.1
PC,NONE,Y16-24,M,CZ,5.2,1.8,4.9,5.1,2.7,3.8,2.0,5.3,6.7,9.3,7.0
PC,NONE,Y16-24,M,DE,3.1 b,3.3,3.2,1.9,2.4,3.0,3.3,1.8,2.9,3.3,3.3
PC,NONE,Y16-24,M,DK,7.9,8.3,11.4,4.8,3.7,4.8,5.8,11.3,7.0,6.9,2.3
PC,NONE,Y16-24,M,EA,6.4,5.2 e,5.2 e,4.4 e,5.5 e,5.8 e,6.1 e,5.3 e,5.7 e,5.8 e,6.0 e
PC,NONE,Y16-24,M,EA18,6.4,5.2 e,5.2,4.3,5.4,5.8,6.1,5.4,5.8,6.0,6.2
PC,NONE,Y16-24,M,EA19,6.4,5.2 e,5.2,4.4,5.5,5.8,6.1,5.5,5.9,6.0,6.4
PC,NONE,Y16-24,M,EE,1.8,3.9,3.8,6.9,6.1,4.4,4.3,8.5,6.4,7.0,16.4
PC,NONE,Y16-24,M,EL,9.2,11.7,9.7,9.5,9.5,10.6,9.7,12.5,13.5,10.9,9.9
PC,NONE,Y16-24,M,ES,4.9,3.5,3.0,1.3,2.5,2.5,2.6,2.8,2.4,3.6,3.1
PC,NONE,Y16-24,M,EU,,6.4 e,6.4,6.0,7.2,7.6,8.0,7.8,7.9,8.0,9.1
PC,NONE,Y16-24,M,EU27_2007,,6.4 e,6.4,6.0,7.2,7.6,8.0,7.8,7.8,8.0,9.1
PC,NONE,Y16-24,M,EU27_2020,7.9 e,6.8 e,6.8 e,6.7 e,7.8 e,8.2 e,8.4 e,8.2 e,8.4 e,8.6 e,9.4 e
PC,NONE,Y16-24,M,EU28,,6.4 e,6.4,6.0,7.2,7.6,8.0,7.8,7.9,8.0,9.1
PC,NONE,Y16-24,M,FI,2.3,0.7,1.2,1.2,1.6,2.8,1.3,1.2,0.9,1.3,0.2
PC,NONE,Y16-24,M,FR,6.3 b,3.9,6.4,2.9,6.0,3.3,4.3,3.9,6.1,4.8,7.0
PC,NONE,Y16-24,M,HR,6.3,7.2,7.7,8.4,9.0,11.3,10.3,12.6,14.7,11.7,9.4
PC,NONE,Y16-24,M,HU,11.3,8.4,9.4,22.7,22.8,21.4,24.2,24.0,23.0,20.8,22.3
PC,NONE,Y16-24,M,IE,1.6 b,2.4,1.9,1.1,0.5,0.5,3.1,3.8,1.4,2.2,0.6
PC,NONE,Y16-24,M,IS,,,1.4,1.1,1.6,1.1,1.5,2.4,0.9,2.1,0.9
PC,NONE,Y16-24,M,IT,12.1,7.4,8.7,11.0,11.9,16.8,16.5,13.5,13.7,14.3,12.5
PC,NONE,Y16-24,M,LT,8.8,8.8,11.8,12.9,14.6,10.7,12.3,11.8,14.7,13.3,19.1
PC,NONE,Y16-24,M,LU,0.2 b,1.5,2.7,3.0,2.2,1.8,1.5,1.1,5.0,4.3,4.2
PC,NONE,Y16-24,M,LV,14.9,15.4,19.8,24.5,22.6,22.8,22.4,26.3,22.1,23.5,28.0
PC,NONE,Y16-24,M,ME,18.8,22.7,21.7,20.7,22.1,24.3,23.1,24.9,,,
PC,NONE,Y16-24,M,MK,11.2,11.8,13.0,12.3,12.8,10.6,15.2,15.3,15.4,16.3,
PC,NONE,Y16-24,M,MT,1.1,1.8,1.7,2.2,1.7,1.2,3.6,3.0,1.5,1.8,1.4
PC,NONE,Y16-24,M,NL,3.2,2.0,1.9,2.5,2.7,2.6,1.2,3.4,2.4,1.0,2.4
PC,NONE,Y16-24,M,NO,2.5,4.6,3.4,2.0,1.6,1.6,3.4,3.3,2.1,2.1,2.5
PC,NONE,Y16-24,M,PL,,8.6,11.4,12.2,12.9,13.1,11.2,12.9,11.6,12.3,14.4
PC,NONE,Y16-24,M,PT,7.5,8.3,7.9,7.8,9.6,7.8,9.8,10.0,7.4,7.2,8.7
PC,NONE,Y16-24,M,RO,23.4,23.3,22.9,28.2,31.1,32.9,32.4,29.3,31.7,34.0,36.4
PC,NONE,Y16-24,M,RS,10.2,18.8,14.7,17.8,21.6,19.4,25.0,21.5,,,
