unit,barrier,age,sex,time\geo,EU27_2007,BE,BG,CZ,DK,DE,EE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,EEA,IS,NO,UK
THS,ACS_BLD,Y_GE65,M,2012,4766.7 e,50.0,101.3,136.9,41.8,778.0,5.9,158.2,439.5,401.7,830.6,9.7,18.3,36.1,2.7,144.8,3.1,86.2,63.3,314.7,118.4,451.2,20.5,25.3,30.5,30.8,4788.1 e,0.6 u,20.8,467.2
THS,ACS_BLD,Y_GE65,T,2012,14852.4 e,170.7,312.2,384.8,120.2,2580.3,37.8,542.0,1447.7,1069.6,2617.8,24.1,77.7,138.1,7.9,553.4,7.8,208.6,180.1,1341.4,300.0,1117.7,79.7,90.6,96.3,69.7,14916.8 e,2.4 u,61.9,1276.3
THS,EDUC_TNG,Y15-44,F,2012,2603.6 e,66.9,16.4 u,25.3 u,58.3,657.9,: u,: u,252.6,306.9,117.0 u,: u,5.3,11.5,2.2 u,29.3,: u,136.5,21.1 u,134.3,17.1 u,19.9 u,5.8 u,12.3 u,26.4 u,58.0,2673.9 e,2.1 u,68.2,608.1
THS,EDUC_TNG,Y15-44,M,2012,1939.1 e,66.2,13.3 u,13.3 u,38.9,500.6,: u,: u,128.6,227.3,46.2 u,: u,6.0,10.7,2.0 u,35.6,: u,69.3,19.3 u,151.9,8.4 u,45.3 u,5.7 u,21.1 u,16.3 u,26.6,1983.2 e,1.2 u,42.9,466.8
THS,EDUC_TNG,Y15-44,T,2012,4542.7 e,133.1,29.8 u,38.6 u,97.2,1158.5,: u,: u,381.3,534.2,163.2 u,: u,11.3,22.3,4.2 u,65.0,: u,205.9,40.4 u,286.2,25.5 u,65.2 u,11.5 u,33.3 u,42.7 u,84.5,4657.2 e,3.4 u,111.1,1074.9
THS,EDUC_TNG,Y45-64,F,2012,4649.9 e,130.7,21.3,25.7 u,88.3,1125.3,9.5,23.1 u,505.0,631.9,92.6 u,3.9 u,12.7,33.2,5.1,74.8,1.2 u,206.8,50.4,302.1,36.6,99.6,12.6,64.0,30.5,74.2,4752.9 e,3.1 u,100.0,988.7
THS,EDUC_TNG,Y45-64,M,2012,3590.3 e,55.8,33.6,18.4 u,63.2,936.6,8.7,19.5 u,309.3,454.4,70.8 u,3.0 u,10.9,19.5,3.9,51.7,1.5 u,106.0,66.3,312.4,25.8,113.6,11.7,29.3,36.6,30.0,3641.9 e,0.8 u,50.8,797.9
THS,EDUC_TNG,Y45-64,T,2012,8240.2 e,186.5,54.8,44.0 u,151.5,2062.0,18.3,42.5 u,814.4,1086.3,163.4 u,6.9 u,23.6,52.7,9.0,126.4,2.7 u,312.8,116.8,614.5,62.5,213.2,24.3,93.3,67.1,104.3,8394.8 e,3.9 u,150.7,1786.6
THS,EDUC_TNG,Y_GE15,F,2012,11055.4 e,266.0,70.9,108.9,178.0,2675.4,18.0,70.1,944.8,1393.1,601.9,12.2,36.9,71.0,10.5,209.2,3.6,406.3,121.4,1024.1,96.8,239.2,45.9,113.0,83.5,163.5,11264.1 e,5.9,202.9,2091.2
THS,EDUC_TNG,Y_GE15,M,2012,7629.8 e,167.3,62.8,67.5,130.7,2000.3,15.1,59.7,516.6,988.4,306.0,8.2,24.3,43.3,7.9,135.5,3.3,208.7,123.3,631.0,67.8,261.1,26.3,58.2,66.2,75.3,7733.7 e,2.2,101.6,1574.8
THS,EDUC_TNG,Y_GE15,T,2012,18685.2 e,433.3,133.8,176.4,308.8,4675.7,33.1,129.9,1461.4,2381.5,907.9,20.4,61.3,114.4,18.4,344.7,7.0,615.0,244.7,1655.1,164.6,500.3,72.1,171.2,149.7,238.8,18997.8 e,8.0,304.5,3666.0
THS,EDUC_TNG,Y_GE65,F,2012,3801.9 e,68.4,33.2,58.0,31.4,892.2,6.3 u,38.6,187.1,454.3,392.3,5.2,19.0,26.3,3.1 u,105.1,1.7 u,62.9,49.8,587.7,43.1,119.7,27.5,36.8,26.5 u,31.3 u,3837.3 e,: u,34.8 u,494.4
THS,EDUC_TNG,Y_GE65,M,2012,2100.4 e,45.3,15.9,35.8,28.7,563.1,3.2 u,26.5,78.6,306.6,189.0,3.5,7.4,13.1,2.0 u,48.2,0.9 u,33.5,37.7,166.7,33.6,102.2,8.9,7.8,13.3 u,18.7 u,2108.5 e,: u,7.9 u,310.1
THS,EDUC_TNG,Y_GE65,T,2012,5902.3 e,113.7,49.2,93.8,60.1,1455.3,9.6 u,65.1,265.7,760.9,581.3,8.7,26.4,39.5,5.2 u,153.3,2.5 u,96.4,87.5,754.4,76.7,221.9,36.4,44.6,39.8 u,50.0 u,5945.8 e,: u,42.7 u,804.5
THS,EMP,Y15-44,F,2012,4104.5 e,113.6,29.8,56.0,94.6,882.6,6.4 u,19.3 u,360.3,416.1,160.6,3.8 u,10.3,20.8,3.3 u,67.7,: u,259.4,40.0,243.6,37.6,49.8,10.7,17.8,52.3,110.1,4252.6 e,3.2 u,144.9,1037.4
THS,EMP,Y15-44,M,2012,3418.3 e,106.2,33.1,30.5,62.3,636.6,5.1 u,24.2 u,309.9,383.1,191.1,3.6 u,11.4,22.8,3.5 u,92.2,: u,143.0,38.3,255.9,25.6,55.6,17.0,34.0,30.0,58.5,3506.8 e,1.3 u,87.2,844.1
THS,EMP,Y15-44,T,2012,7522.8 e,219.8,62.9,86.5,156.9,1519.2,11.6 u,43.5 u,670.1,799.2,351.7,7.4 u,21.7,43.6,6.8 u,159.9,: u,402.3,78.4,499.5,63.2,105.4,27.8,51.7,82.3,168.7,7759.4 e,4.5 u,232.0,1881.5
THS,EMP,Y45-64,F,2012,7696.3 e,214.2,97.6,116.7,129.2,1435.7,23.2,69.4,807.9,879.7,268.0,9.3,42.8,73.4,6.1,231.9,: u,383.1,82.6,664.9,128.8,280.5,18.1,58.3,112.1,167.3,7849.9 e,7.3,146.3,1395.1
THS,EMP,Y45-64,M,2012,6413.6 e,110.4,104.6,91.2,103.0,1195.9,19.2,65.8,663.1,646.4,176.5,9.0,35.5,62.0,6.0,216.0,: u,235.9,79.0,697.1,131.4,237.9,22.0,63.9,96.1,79.6,6501.9 e,3.0,85.3,1264.6
THS,EMP,Y45-64,T,2012,14109.9 e,324.6,202.3,208.0,232.2,2631.6,42.4,135.2,1471.0,1526.1,444.5,18.3,78.3,135.4,12.2,447.9,: u,619.1,161.6,1362.0,260.2,518.5,40.1,122.1,208.3,246.9,14351.8 e,10.3,231.6,2659.7
THS,EMP,Y_GE15,F,2012,16006.8 e,425.6,183.8,263.6,272.9,3278.5,31.0,167.2,1483.5,1358.9,865.5,18.1,101.1,142.3,11.9,472.0,0.5 u,720.7,230.2,1407.3,254.0,550.8,34.0,76.9,191.4,355.9,16359.4 e,11.6,340.9,3109.2
THS,EMP,Y_GE15,M,2012,12166.3 e,262.6,180.9,182.9,200.1,2322.9,24.6,143.3,1189.6,1040.2,625.2,16.6,66.2,105.3,11.3,406.8,2.3 u,408.5,191.2,1116.5,211.9,484.4,41.2,97.8,151.1,188.4,12373.6 e,5.0,202.3,2494.6
THS,EMP,Y_GE15,T,2012,28173.2 e,688.2,364.7,446.5,473.0,5601.4,55.7,310.5,2673.1,2399.2,1490.7,34.7,167.2,247.5,23.2,878.8,2.8 u,1129.2,421.4,2523.9,465.9,1035.3,75.2,174.7,342.5,544.3,28732.9 e,16.6,543.2,5603.8
THS,EMP,Y_GE65,F,2012,4206.1 e,97.8,56.4,90.8,49.1,960.1,: u,78.5,315.4,: u,436.9,5.1,47.9,48.0,2.5 u,172.4,0,78.2,107.5,498.8,87.5,220.5,5.1 u,: u,27.0,78.5,4256.9 e,1.1 u,49.7,676.7
THS,EMP,Y_GE65,M,2012,2334.4 e,46.0,43.2,61.2,34.8,490.5,: u,53.3,216.6,: u,257.5,4.0,19.3,20.5,1.8 u,98.6,0,29.5,73.8,163.5,54.9,190.9,2.2 u,0,25.0,50.2,2364.8 e,0.6 u,29.8,385.9
THS,EMP,Y_GE65,T,2012,6540.4 e,143.8,99.5,152.0,83.9,1450.6,: u,131.8,532.0,: u,694.4,9.1,67.2,68.5,4.3 u,271.0,0,107.7,181.4,662.3,142.5,411.4,7.4 u,: u,51.9,128.8,6621.7 e,1.8 u,79.5,1062.5
THS,LEIS,Y15-44,F,2012,4908.7 e,202.6,22.6 u,58.8,104.4,1040.9,7.3,17.9 u,424.4,506.8,182.0,4.5 u,10.6,19.1,7.2,50.0,1.4 u,363.8,49.8,221.8,28.8 u,61.5,14.4,33.2,55.9,140.8,5062.3 e,6.1,147.6,1278.1
THS,LEIS,Y15-44,M,2012,4188.7 e,147.9,24.8 u,61.0,88.8,871.5,10.3,29.5 u,350.2,455.7,251.0,5.1 u,10.3,15.3,6.2,55.5,1.5 u,191.8,43.9,231.3,22.8 u,70.8,15.7,43.0,56.2,99.0,4282.5 e,3.7,90.1,1029.8
THS,LEIS,Y15-44,T,2012,9097.4 e,350.4,47.4 u,119.8,193.3,1912.3,17.6,47.4 u,774.6,962.5,433.0,9.6 u,20.9,34.4,13.4,105.5,2.9 u,555.6,93.7,453.1,51.6 u,132.3,30.1,76.1,112.1,239.8,9344.8 e,9.8,237.7,2308.0
THS,LEIS,Y45-64,F,2012,8407.5 e,243.1,78.0,119.3,144.3,1778.1,23.6,109.5,771.8,1013.9,409.7,8.3,27.5,52.6,9.3,176.2,3.5,379.1,110.6,512.4,78.0,314.4,31.1,126.3,114.5,167.5,8542.9 e,5.9,129.6,1604.8
THS,LEIS,Y45-64,M,2012,7226.2 e,112.1,77.6,108.4,108.1,1750.7,22.8,87.6,657.7,869.6,250.6,12.5,23.0,29.1,8.5,160.6,3.2,249.3,131.2,489.3,76.2,245.1,34.1,108.7,87.7,121.8,7308.4 e,2.4,79.8,1400.8
THS,LEIS,Y45-64,T,2012,15633.7 e,355.2,155.6,227.7,252.4,3528.8,46.4,197.1,1429.4,1883.5,660.3,20.8,50.4,81.7,17.8,336.8,6.7,628.4,241.8,1001.7,154.2,559.5,65.3,235.0,202.2,289.3,15851.4 e,8.4,209.3,3005.6
THS,LEIS,Y_GE15,F,2012,25734.8 e,628.3,280.0,497.0,353.8,5400.0,79.0,496.3,2760.0,2514.3,2473.5,25.9,124.4,195.5,24.6,607.6,10.4,924.3,345.9,1742.5,300.5,855.5,111.7,270.4,276.5,453.6,26082.5 e,14.6,333.2,3983.3
THS,LEIS,Y_GE15,M,2012,18743.6 e,367.3,201.8,360.6,267.2,4364.2,44.7,315.5,1762.2,2004.9,1548.9,28.4,67.0,86.6,19.0,375.9,7.8,576.4,297.8,1097.5,219.1,683.9,83.6,181.4,218.5,329.6,18954.3 e,7.9,202.8,3233.7
THS,LEIS,Y_GE15,T,2012,44478.4 e,995.6,481.8,857.7,621.1,9764.3,123.7,811.8,4522.2,4519.1,4022.3,54.3,191.4,282.1,43.6,983.6,18.1,1500.8,643.7,2840.0,519.6,1539.4,195.2,451.8,495.0,783.2,45036.9 e,22.5,535.9,7217.0
THS,LEIS,Y_GE65,F,2012,12418.6 e,182.6,179.5,318.9,105.1,2581.1,48.1,368.9,1563.9,993.5,1881.7,13.1,86.3,123.8,8.1,381.5,5.5,181.4,185.5,1008.3,193.7,479.5,66.1,110.9,106.1,145.3,12477.3 e,2.6,56.0,1100.4
THS,LEIS,Y_GE65,M,2012,7328.7 e,107.4,99.3,191.3,70.3,1742.1,11.6,198.4,754.3,679.6,1047.3,10.8,33.8,42.2,4.4,159.8,3.0,135.4,122.7,376.9,120.2,368.0,33.7,29.7,74.7,108.8,7363.4 e,1.8,32.9,803.1
THS,LEIS,Y_GE65,T,2012,19747.3 e,290.0,278.8,510.2,175.4,4323.2,59.7,567.3,2318.2,1673.2,2929.0,23.9,120.1,166.0,12.4,541.3,8.5,316.7,308.2,1385.2,313.8,847.6,99.8,140.6,180.7,254.1,19840.7 e,4.4,89.0,1903.4
THS,MOB,Y15-44,F,2012,4130.2 e,141.0,21.4 u,33.8 u,71.9,860.0,8.5,33.2,479.1,351.6,267.7,3.1 u,7.7,15.0,5.7,74.0,1.3 u,200.0,37.8,181.5,34.8 u,49.7,9.1 u,11.8 u,38.5,73.6,4226.2 e,3.0 u,93.0,1118.6
THS,MOB,Y15-44,M,2012,2920.8 e,95.3,24.5 u,15.4 u,62.5,649.4,6.3,40.5,262.5,244.0,165.4,2.9 u,8.3,11.9,3.8,69.5,1.8 u,85.4,41.4,147.9,10.0 u,64.6,9.3 u,30.4 u,35.9,37.3,2981.3 e,0.9 u,59.6,794.5
THS,MOB,Y15-44,T,2012,7051.0 e,236.3,45.9 u,49.2 u,134.4,1509.3,14.8,73.7,741.6,595.5,433.2,6.0 u,16.1,26.9,9.5,143.5,3.0 u,285.4,79.2,329.4,44.8 u,114.4,18.4 u,42.2 u,74.3,110.9,7207.5 e,3.9 u,152.6,1913.1
THS,MOB,Y45-64,F,2012,6888.3 e,183.0,97.9,97.7,97.8,1407.0,25.8,140.3,612.8,694.0,397.0,6.9,27.0,47.5,6.0,244.9,4.5,217.7,80.3,566.1,83.7,399.6,27.1,90.9,57.7,64.7,6977.4 e,4.3,84.8,1210.6
THS,MOB,Y45-64,M,2012,5128.9 e,77.5,82.3,72.6,73.7,1272.0,21.2,77.0,422.8,430.6,249.9,8.2,18.5,24.9,4.3,173.7,3.0,140.0,56.0,433.2,76.3,297.7,18.4,65.8,34.5,35.0,5178.2 e,1.3,48.0,959.7
THS,MOB,Y45-64,T,2012,12017.2 e,260.6,180.2,170.3,171.5,2679.0,47.0,217.3,1035.5,1124.5,646.9,15.2,45.5,72.4,10.3,418.6,7.5,357.8,136.2,999.3,160.0,697.2,45.5,156.7,92.2,99.6,12155.6 e,5.6,132.8,2170.4
THS,MOB,Y_GE15,F,2012,24084.5 e,475.7,371.5,470.7,276.3,4428.3,86.7,679.2,2547.5,1879.6,3192.8,28.4,129.9,193.6,17.1,820.0,12.3,553.4,280.2,1949.9,362.1,1229.9,106.4,216.8,190.9,203.2,24325.8 e,10.0,231.3,3382.2
THS,MOB,Y_GE15,M,2012,14540.0 e,244.6,239.4,269.0,192.3,3024.5,40.9,352.5,1286.0,1152.9,1703.9,23.2,59.6,81.9,10.7,440.9,8.2,314.3,184.0,1010.3,221.7,926.2,58.7,128.9,118.5,106.9,14677.8 e,3.1,134.6,2340.1
THS,MOB,Y_GE15,T,2012,38624.5 e,720.4,610.9,739.7,468.7,7452.8,127.5,1031.7,3833.4,3032.5,4896.7,51.6,189.4,275.5,27.8,1260.8,20.5,867.7,464.1,2960.2,583.7,2156.1,165.1,345.7,309.5,310.1,39003.5 e,13.1,365.9,5722.2
THS,MOB,Y_GE65,F,2012,13066.0 e,151.7,252.2,339.3,106.7,2161.3,52.4,505.7,1455.7,834.1,2528.1,18.4,95.1,131.1,5.5,501.1,6.5,135.7,162.0,1202.4,243.5,780.6,70.2,114.1,94.8,64.9,13122.2 e,2.7 u,53.5,1052.9
THS,MOB,Y_GE65,M,2012,6490.4 e,71.8,132.6,180.9,56.1,1103.1,13.4,235.0,600.7,478.4,1288.6,12.1,32.7,45.0,2.6,197.6,3.5,88.8,86.6,429.2,135.4,563.9,31.0,32.8,48.2,34.6,6518.2 e,0.9 u,27.0,585.9
THS,MOB,Y_GE65,T,2012,19556.3 e,223.5,384.8,520.2,162.7,3264.4,65.8,740.7,2056.3,1312.4,3816.7,30.5,127.9,176.2,8.1,698.7,10.0,224.5,248.7,1631.6,378.9,1344.5,101.2,146.8,142.9,99.5,19640.4 e,3.6 u,80.5,1638.8
THS,PERC_DCRIM,Y15-44,F,2012,3043.0 e,102.2,15.3 u,25.5 u,55.9,633.2,6.4 u,19.0 u,227.5,317.1,137.7,3.0 u,5.5,10.9,2.3 u,56.5,: u,158.2,26.8 u,142.6,35.9 u,30.2 u,8.6 u,13.6 u,29.8 u,94.6,3143.5 e,3.7,96.8,883.9
THS,PERC_DCRIM,Y15-44,M,2012,2381.1 e,64.7,17.9 u,20.1 u,30.6,477.5,4.1 u,28.7 u,134.4,280.5,162.7,4.2 u,8.6,10.9,3.0 u,56.7,: u,73.5,19.0 u,143.6,14.9 u,47.2 u,4.2 u,15.7 u,29.0 u,45.4,2424.0 e,2.4,40.5,682.7
THS,PERC_DCRIM,Y15-44,T,2012,5424.0 e,166.9,33.2 u,45.6 u,86.6,1110.7,10.6 u,47.6 u,361.9,597.6,300.4,7.2 u,14.0,21.8,5.3 u,113.2,: u,231.7,45.7 u,286.2,50.9 u,77.4 u,12.8 u,29.4 u,58.7 u,140.1,5567.5 e,6.2,137.3,1566.5
THS,PERC_DCRIM,Y45-64,F,2012,3202.1 e,89.9,28.3,52.1,55.5,610.4,4.0 u,30.5,253.5,435.3,123.0 u,2.9 u,10.8,23.2,4.2,92.2,: u,144.3,57.5,252.3,18.9 u,68.7,10.0 u,41.5,37.2,69.5,3250.8 e,2.9 u,45.8,685.7
THS,PERC_DCRIM,Y45-64,M,2012,2733.8 e,44.9,33.1,40.9,45.6,519.5,5.2 u,34.1,180.1,305.6,83.8 u,4.2 u,6.2,11.1,3.2,69.7,: u,82.0,27.4,241.7,52.7 u,64.1,8.2 u,44.1,28.2,37.1,2764.9 e,1.3 u,29.8,760.1
THS,PERC_DCRIM,Y45-64,T,2012,5935.9 e,134.8,61.4,93.1,101.1,1129.8,9.2 u,64.6,433.6,740.9,206.9 u,7.0 u,17.0,34.3,7.4,162.0,: u,226.4,85.0,493.9,71.6 u,132.8,18.2 u,85.6,65.4,106.6,6015.6 e,4.2 u,75.5,1445.8
THS,PERC_DCRIM,Y_GE15,F,2012,8239.6 e,230.9,69.0,127.5,130.3,1820.1,14.7,80.8,664.9,869.4,456.2,6.9,24.1,46.7,8.9,207.8,1.8 u,337.0,114.6,571.9,65.3,225.3,27.1,64.5,78.9,184.0,8396.2 e,7.4,149.2,1810.9
THS,PERC_DCRIM,Y_GE15,M,2012,6250.6 e,130.3,62.7,107.7,92.9,1186.3,10.9,83.6,414.8,697.8,436.2,8.8,15.7,28.9,7.1,155.4,2.0 u,176.6,57.9,434.9,73.4,213.4,14.7,63.4,64.3,105.6,6327.7 e,4.0,73.1,1605.5
THS,PERC_DCRIM,Y_GE15,T,2012,14490.2 e,361.2,131.6,235.2,223.2,3006.4,25.6,164.4,1079.7,1567.1,892.5,15.7,39.8,75.6,16.0,363.2,3.8 u,513.6,172.6,1006.8,138.6,438.7,41.8,127.9,143.1,289.7,14723.9 e,11.3,222.3,3416.4
THS,PERC_DCRIM,Y_GE65,F,2012,1994.6 e,38.8 u,25.4 u,49.9,18.9 u,576.5,4.2 u,31.4 u,183.9,116.9,195.5,: u,7.9 u,12.6 u,2.4 u,59.1,: u,34.5 u,30.3 u,177.1,10.4 u,126.4,8.5 u,: u,11.9 u,19.9 u,2002.0 e,: u,: u,241.4
THS,PERC_DCRIM,Y_GE65,M,2012,1135.7 e,20.6 u,11.6 u,46.6,16.7 u,189.3,1.6 u,20.7 u,100.3,111.7,189.7,: u,0.9 u,6.8 u,0.9 u,29.0,: u,21.1 u,11.5 u,49.7,5.7 u,102.1,2.3 u,: u,7.1 u,23.1 u,1138.7 e,: u,: u,162.7
THS,PERC_DCRIM,Y_GE65,T,2012,3130.3 e,59.4 u,37.0 u,96.5,35.6 u,765.8,5.8 u,52.1 u,284.2,228.6,385.2,: u,8.7 u,19.5 u,3.3 u,88.1,: u,55.6 u,41.9 u,226.7,16.1 u,228.5,10.7 u,: u,19.0 u,43.0 u,3140.8 e,: u,: u,404.1
THS,P_ESS,Y15-44,F,2012,1555.6 e,33.7 u,63.0,42.2 u,33.6,152.7,6.3 u,43.7,56.8 u,103.6,191.7,4.2 u,16.9,24.6,: u,100.2,1.2 u,61.5 u,21.9 u,167.8,19.8 u,92.4,7.3 u,19.5 u,24.1 u,: u,1572.0 e,1.3 u,: u,244.1
THS,P_ESS,Y15-44,M,2012,1168.1 e,27.9 u,62.4,16.7 u,14.5,143.6,3.2 u,42.2,53.7 u,75.7,175.9,3.5 u,10.9,14.6,0,81.6,0.9 u,36.7 u,5.4 u,125.1,11.8 u,80.9,5.4 u,15.6 u,5.1 u,: u,1177.4 e,0.8 u,: u,151.3
THS,P_ESS,Y15-44,T,2012,2723.7 e,61.6 u,125.4,58.9 u,48.1,296.3,9.5 u,85.9,110.5 u,179.3,367.5,7.8 u,27.7,39.2,: u,181.8,2.1 u,98.2 u,27.3 u,292.9,31.6 u,173.3,12.7 u,35.1 u,29.2 u,: u,2749.4 e,2.2 u,: u,395.4
THS,P_ESS,Y45-64,F,2012,3675.0 e,62.8,221.0,67.1,22.2 u,361.6,25.0,149.6,108.5,190.7,398.1,7.2 u,45.3,54.3,: u,267.4,4.4,85.9,48.5 u,505.1,111.5,465.6,18.7,107.8,30.0 u,: u,3689.3 e,2.8 u,: u,301.5
THS,P_ESS,Y45-64,M,2012,2693.2 e,13.6,170.4,41.7,19.3 u,326.9,14.9,110.1,84.6,115.1,185.4,7.0 u,28.7,36.4,: u,242.3,2.6,48.2,27.5 u,415.2,78.8,412.0,16.5,57.4,12.8 u,: u,2696.6 e,0.9 u,: u,221.6
THS,P_ESS,Y45-64,T,2012,6368.2 e,76.4,391.4,108.8,41.5 u,688.6,40.0,259.7,193.1,305.8,583.5,14.2 u,73.9,90.7,: u,509.7,7.0,134.1,76.0 u,920.3,190.3,877.6,35.2,165.2,42.8 u,: u,6386.0 e,3.7 u,: u,523.1
THS,P_ESS,Y_GE15,F,2012,10008.2 e,119.7,606.9,269.1,68.2,850.8,70.7,515.9,335.6,443.6,1626.9,19.2,138.8,151.5,: u,673.9,11.5,191.5,93.2,1346.0,265.1,1199.8,48.3,185.2,62.1,47.2 u,10042.6 e,4.9,29.4 u,666.2
THS,P_ESS,Y_GE15,M,2012,6547.6 e,53.5,439.0,167.9,41.6,646.5,28.7,376.1,231.8,268.0,979.6,17.8,69.2,79.3,: u,462.0,6.8,100.0,48.1,815.2,179.1,921.9,28.7,95.3,22.2,12.2 u,6560.7 e,1.9,11.2 u,457.0
THS,P_ESS,Y_GE15,T,2012,16555.9 e,173.2,1045.9,437.0,109.8,1497.2,99.4,892.0,567.4,711.6,2606.4,37.1,208.1,230.8,: u,1136.0,18.3,291.5,141.4,2161.2,444.1,2121.6,77.1,280.5,84.3,59.4 u,16603.3 e,6.9,40.6 u,1123.2
THS,P_ESS,Y_GE65,F,2012,4777.6 e,23.2 u,322.8,159.8,12.4 u,336.5,39.4,322.5,170.4,149.2,1037.1,7.9,76.7,72.7,: u,306.3,6.0,44.0 u,22.9 u,673.1,133.7,641.7,22.4,57.9,: u,: u,4781.2 e,: u,: u,120.6
THS,P_ESS,Y_GE65,M,2012,2686.4 e,12.0 u,206.2,109.5,7.8 u,176.0,10.6,223.8,93.5,77.3,618.3,7.2,29.7,28.3,0,138.2,3.2,15.1 u,15.2 u,275.0,88.5,429.0,6.8,22.3,: u,: u,2686.7 e,: u,0,84.1
THS,P_ESS,Y_GE65,T,2012,7464.0 e,35.2 u,529.0,269.2,20.2 u,512.4,50.0,546.4,263.8,226.5,1655.4,15.1,106.4,100.9,: u,444.4,9.3,59.2 u,38.1 u,948.1,222.2,1070.7,29.2,80.2,: u,: u,7467.9 e,: u,: u,204.7
THS,SOC,Y15-44,F,2012,305.8 e,: u,0,0,: u,: u,0,0,: u,: u,: u,: u,: u,: u,: u,0,: u,24.1 u,0,: u,0,: u,: u,0,0,: u,312.3 e,: u,: u,145.2 u
THS,SOC,Y15-44,M,2012,187.3 e,: u,: u,: u,: u,: u,0,0,: u,: u,: u,0,: u,: u,: u,: u,: u,9.9 u,: u,: u,0,: u,0,0,0,: u,193.8 e,: u,: u,53.2 u
THS,SOC,Y15-44,T,2012,493.1 e,: u,: u,: u,: u,: u,0,0,: u,: u,: u,: u,: u,: u,: u,: u,: u,34.0 u,: u,: u,0,: u,: u,0,0,: u,506.1 e,: u,: u,198.4 u
THS,SOC,Y45-64,F,2012,227.9 e,: u,: u,: u,: u,40.7 u,0,: u,: u,: u,: u,0,1.4 u,: u,: u,: u,0,: u,: u,0,: u,: u,: u,: u,: u,: u,232.2 e,: u,: u,80.7
THS,SOC,Y45-64,M,2012,179.7 e,: u,: u,: u,: u,22.6 u,: u,: u,: u,: u,: u,0,0.5 u,: u,: u,: u,0,: u,0,: u,: u,: u,: u,0,: u,: u,185.1 e,: u,: u,68.5
