unit,barrier,age,sex,time\geo,EU27_2007,BE,BG,CZ,DK,DE,EE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,EEA,IS,NO,UK
THS,ACS_BLD,Y15-44,F,2012,2148.1 e,87.7,11.7 u,21.1 u,45.5,335.3,: u,9.5 u,159.8,196.1,115.3 u,: u,2.9,9.4 u,1.5 u,50.7,: u,114.2,19.7 u,107.9,: u,33.6 u,8.1 u,9.6 u,18.6 u,47.0 u,2198.1 e,: u,48.8,720.0
THS,ACS_BLD,Y15-44,M,2012,2019.7 e,54.8,11.9 u,5.1 u,32.1,398.7,: u,17.6 u,124.8,175.6,82.0 u,: u,2.2,8.1 u,1.8 u,38.3,: u,51.0,21.8 u,132.3,: u,56.2 u,9.1 u,19.5 u,11.9 u,26.2 u,2054.9 e,: u,34.6,729.5
THS,ACS_BLD,Y15-44,T,2012,4167.8 e,142.5,23.6 u,26.2 u,77.6,734.1,: u,27.1 u,284.7,371.7,197.3 u,: u,5.1,17.5 u,3.3 u,89.0,: u,165.3,41.5 u,240.2,: u,89.8 u,17.2 u,29.1 u,30.4 u,73.3 u,4252.9 e,: u,83.5,1449.5
THS,ACS_BLD,Y45-64,F,2012,4390.0 e,116.1,63.3,66.2,59.0,776.7,10.9,68.1,304.0,439.1,229.1,3.2 u,9.4,29.9,3.6,163.7,2.6,145.9,42.8,360.4,61.8,254.2,16.8,58.7,40.8,44.2,4436.9 e,1.6 u,45.3,1019.5
THS,ACS_BLD,Y45-64,M,2012,3592.4 e,55.9,55.5,38.0,52.9,840.9,11.0,52.0,246.8,265.8,115.1,3.4 u,7.7,15.4,3.1,119.9,2.1,86.9,57.2,293.5,53.4,214.5,17.6,47.9,26.6,28.0,3624.3 e,0.3 u,31.6,881.3
THS,ACS_BLD,Y45-64,T,2012,7982.4 e,171.9,118.8,104.2,111.8,1617.6,21.9,120.1,550.8,704.9,344.3,6.7 u,17.1,45.2,6.8,283.6,4.7,232.8,100.0,653.9,115.2,468.7,34.4,106.6,67.3,72.2,8061.2 e,1.8 u,76.9,1900.8
THS,ACS_BLD,Y_GE15,F,2012,16623.9 e,324.4,285.9,335.2,182.9,2914.3,45.4,461.4,1472.1,1303.1,2131.5,19.7,71.8,141.3,10.3,623.1,8.2,382.5,179.3,1495.0,260.2,954.3,84.2,133.5,125.2,130.2,16763.6 e,4.5,135.2,2548.7
THS,ACS_BLD,Y_GE15,M,2012,10378.8 e,160.7,168.7,180.0,126.8,2017.6,19.6,227.7,811.1,843.1,1027.8,14.2,28.1,59.5,7.7,302.9,6.3,224.1,142.3,740.5,176.3,722.0,47.1,92.8,68.9,85.0,10467.3 e,1.4,87.0,2077.9
THS,ACS_BLD,Y_GE15,T,2012,27002.7 e,485.0,454.6,515.2,309.6,4931.9,65.0,689.2,2283.2,2146.2,3159.3,33.9,99.9,200.9,18.0,926.0,14.5,606.6,321.7,2235.5,436.5,1676.3,131.3,226.3,194.1,215.2,27230.8 e,5.9,222.3,4626.6
THS,ACS_BLD,Y_GE65,F,2012,10085.7 e,120.6,210.9,247.9,78.4,1802.2,31.8,383.8,1008.2,667.9,1787.1,14.3,59.4,102.0,5.2,408.7,4.7,122.4,116.8,1026.7,181.6,666.5,59.2,65.3,65.9,39.0,10128.6 e,1.8 u,41.1,809.1
