unit,hlth_pb,age,sex,time\geo,EU28,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IS,CH,UK,TR
PC,PB1070,Y25-54,T,2011,59.0,50.8,30.2,57.4,56.0,55.7,57.7,32.4,45.9,60.6,87.2,50.6,56.6,57.9,62.4,55.1,69.0,38.1,49.2,51.8,71.8,45.3,65.6,37.0,73.3,52.4,73.2,76.9,77.8,77.2,48.7,50.4
PC,PB1070,Y55-64,F,2011,25.7,19.1,13.5,22.4,30.5,30.0,33.9,20.7,19.1,21.3,49.5,19.7 u,17.6,26.6,40.6,31.2,21.5,14.4,: u,25.1,21.3,14.9,35.6,17.2,15.3,15.1,39.2,58.7,59.0,46.3,25.6,19.6
PC,PB1070,Y55-64,M,2011,33.6,24.4,24.3,36.6,33.6,34.4,35.5,22.5,36.1,37.7,50.1,35.4 u,30.9,45.8,46.4,36.7,24.9,11.9,30.9 u,36.7,32.6,24.2,43.9,23.4,27.8,26.8,35.0,66.7,79.0,61.2,35.5,42.3
PC,PB1070,Y55-64,T,2011,29.3,21.7,18.0,29.2,31.8,32.1,34.5,21.7,26.6,27.6,49.8,27.0,23.4,34.7,42.7,33.5,23.0,13.2,19.6 u,30.3,27.1,19.4,38.9,19.7,21.5,20.3,37.2,62.0,67.1,52.8,30.5,28.5
PC,PB1071,Y15-24,F,2011,39.4,27.9,25.4,24.0,70.7,44.8,37.0,41.6,26.6,43.8,33.7,22.2,22.7,37.9,35.1,22.9,24.2,21.3,44.7,71.4,52.4,28.5,35.7,27.7,30.3,21.8,51.4,52.7,91.3,67.3,62.9,26.4
PC,PB1071,Y15-24,M,2011,46.0,32.0,34.3,35.5,68.8,49.6,43.0,43.2,32.2,47.0,42.1,39.3,30.6,41.9,42.8,32.1,26.0,27.2,55.9,68.8,62.5,39.5,40.1,36.4,40.2,38.0,51.6,53.1,82.6,69.2,69.1,51.1
PC,PB1071,Y15-24,T,2011,42.7,30.0,30.0,29.9,69.7,47.2,40.0,42.4,29.4,45.4,37.8,31.1,26.8,39.8,39.0,27.6,25.1,24.2,50.5,70.1,57.5,34.1,37.9,32.1,35.5,30.1,51.5,52.9,86.6,68.3,66.0,38.4
PC,PB1071,Y15-64,F,2011,67.9,65.6,66.1,64.8,83.9,70.9,75.8,65.1,60.0,72.2,68.7,56.1,53.5,71.3,73.4,72.9,63.5,61.5,46.9,79.2,73.6,62.8,75.9,62.6,71.8,64.2,77.9,80.4,91.4,79.9,76.1,33.0
PC,PB1071,Y15-64,M,2011,81.4,77.1,73.6,82.2,87.6,83.4,82.7,80.6,81.2,85.7,78.8,71.4,75.2,83.8,78.9,77.7,77.1,74.3,82.4,88.0,85.2,78.1,82.6,77.1,79.3,80.9,83.5,84.1,92.5,91.1,88.4,78.0
PC,PB1071,Y15-64,T,2011,74.7,71.5,69.9,73.7,85.9,77.1,79.2,72.8,70.7,79.1,73.8,63.6,64.4,77.3,76.1,75.2,70.6,67.9,65.2,83.7,79.4,70.5,79.3,69.9,75.7,72.7,80.7,82.4,92.0,85.7,82.3,56.1
PC,PB1071,Y20-64,F,2011,72.6,72.0,71.4,70.4,86.5,76.0,82.3,70.2,64.7,75.9,75.2,61.2,57.3,78.1,80.1,81.6,69.7,67.5,49.8,81.1,77.8,68.8,82.3,67.8,77.7,70.8,83.2,86.1,91.9,82.7,78.4,35.8
PC,PB1071,Y20-64,M,2011,87.3,84.6,79.6,89.2,91.0,89.6,90.2,87.7,87.5,90.2,86.3,77.6,80.9,91.6,86.6,87.7,84.0,81.8,88.1,91.2,89.5,85.8,89.5,83.7,85.4,89.2,89.7,90.7,93.9,94.4,91.7,85.4
PC,PB1071,Y20-64,T,2011,80.0,78.5,75.5,80.0,88.9,82.8,86.1,78.9,76.2,83.2,80.7,69.3,69.1,84.6,83.3,84.5,77.2,74.6,69.6,86.3,83.6,77.2,86.0,75.8,81.7,80.1,86.5,88.6,92.9,88.7,85.1,61.3
PC,PB1071,Y25-54,F,2011,81.2,84.3,81.9,82.7,92.1,82.0,87.4,74.9,73.8,82.8,86.6,76.6,66.4,84.8,87.9,92.7,80.2,78.0,57.3,87.7,86.5,81.5,89.6,77.2,92.3,83.3,87.8,91.2,92.2,85.9,84.0,37.6
PC,PB1071,Y25-54,M,2011,94.9,95.8,87.7,98.1,96.3,94.9,96.6,92.8,96.1,95.8,97.1,87.5,91.5,96.5,93.9,96.1,95.8,92.5,98.3,96.9,96.1,94.4,96.3,92.0,95.1,97.2,95.4,95.6,95.3,98.0,96.4,92.5
PC,PB1071,Y25-54,T,2011,88.1,90.3,84.9,90.7,94.3,88.5,91.9,83.8,85.1,89.5,91.9,81.9,79.0,90.3,90.9,94.4,88.4,85.3,78.5,92.4,91.3,88.0,93.1,84.7,93.7,90.4,91.7,93.5,93.8,92.1,90.3,66.0
PC,PB1071,Y55-64,F,2011,48.5,41.1,52.0,44.1,70.9,60.2,81.1,51.0,34.8,49.5,47.8,31.7,31.2,52.7,65.9,63.4,36.5,45.1,14 u,56.8,40.9,34.5,59.6,45.1,31.2,42.9,74.8,78.1,87.9,69.6,59.7,19.5
PC,PB1071,Y55-64,M,2011,67.8,57.6,64.1,71.1,79.1,81.0,82.8,76.1,64.8,74.9,53.6,59.7,53.2,81.5,68.1,73.9,54.5,57.2,58.9,77.7,62.2,63.4,71.4,67.4,56.8,71.1,77.0,83.1,94.6,88.0,79.1,51.5
PC,PB1071,Y55-64,T,2011,57.9,49.2,57.8,57.0,75.2,70.2,81.9,63.3,49.8,62.0,50.6,44.8,42.2,67.7,66.9,68.1,46.2,50.7,36.5,67.6,51.0,48.0,65.8,56.3,43.8,56.5,75.9,80.7,91.5,79.3,69.1,37.4
