unit,hlth_pb,worktime,age,sex,time,EU28,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IS,CH,UK,TR
THS,PB1040,FT,Y55-64,T,2011,3948.551,47.934,60.572,68.432,32.97,631.564,22.505,7.204,53.973,222.924,739.746,40.473,285.24,7.133,31.859,30.722,4.63,54.581,: u,63.321,109.779,313.63,136.721,135.902,19.698,30.692,105.55,117.918,5.051,83.857,571.712,468.206
THS,PB1040,NRP,TOTAL,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.549 u,: u,:
THS,PB1040,NRP,TOTAL,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,TOTAL,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,3.714 u,14.5,:
THS,PB1040,NRP,Y15-24,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y15-24,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y15-24,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y25-34,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y25-34,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y25-34,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y35-44,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y35-44,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y35-44,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y45-54,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y45-54,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y45-54,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y55-64,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y55-64,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,NRP,Y55-64,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1040,PT,TOTAL,F,2011,4075.17,99.771,: u,21.807,69.464,817.998,8.031,9.75,8.645 u,145.388,943.02,12.564 u,199.728,2.28,10.148,8.707,9.192,31.783,: u,279.889,151.467,106.894,75.514,64.517,11.708,10.022,51.778,178.466,5.433,210.863,742.045,479.556
THS,PB1040,PT,TOTAL,M,2011,1390.146,37.025,: u,9.954,25.83,297.277,: u,4.901,4.029 u,29.005,201.38,11.809 u,69.581,1.435 u,5.694 u,: u,1.152 u,22.397,: u,108.819,32.999,93.963,37.154,53.82,6.853 u,6.065,26.287,49.39,: u,49.744,244.403,222.806
THS,PB1040,PT,TOTAL,T,2011,5465.317,136.796,: u,31.761,95.294,1115.275,9.737,14.651,12.674,174.394,1144.399,24.373 u,269.309,3.715,15.842,13.15,10.344,54.179,1.672 u,388.708,184.466,200.858,112.668,118.337,18.56,16.087,78.065,227.856,6.357,260.607,986.449,702.363
THS,PB1040,PT,Y15-24,F,2011,204.378,: u,: u,: u,9.394,: u,: u,: u,: u,5.135 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,23.262 u,6.259 u,: u,: u,: u,: u,: u,4.437,17.059,1.455,12.851,59.051,20.544
THS,PB1040,PT,Y15-24,M,2011,103.696,: u,: u,: u,4.176 u,: u,: u,: u,: u,2.677 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,18.164 u,: u,: u,: u,: u,: u,: u,2.373 u,4.13 u,: u,6.213 u,27.356,10.327
THS,PB1040,PT,Y15-24,T,2011,308.073,3.348 u,: u,: u,13.57,51.738,: u,: u,: u,7.812,: u,: u,: u,: u,: u,: u,: u,: u,: u,41.426,8.988 u,5.036 u,: u,: u,: u,: u,6.81,21.189,1.638,19.064,86.407,30.872
THS,PB1040,PT,Y25-34,F,2011,463.279,10.238,: u,2.807 u,8.563,91.418,: u,: u,: u,25.12,127.122,: u,19.428,: u,: u,: u,0.927 u,: u,: u,36.94 u,16.234,10.003 u,: u,: u,: u,: u,5.66,18.995,: u,19.686,73.839,61.627
THS,PB1040,PT,Y25-34,M,2011,187.054,2.947 u,: u,: u,: u,59.177,: u,: u,: u,5.388 u,: u,: u,9.292,: u,: u,: u,: u,: u,: u,9.911 u,6.25 u,8.38 u,: u,: u,: u,: u,: u,: u,: u,10.838,28.045,19.014
THS,PB1040,PT,Y25-34,T,2011,650.333,13.185,: u,3.089 u,11.762,150.595,: u,1.949,: u,30.508,161.055,: u,28.72,: u,: u,: u,1.054 u,: u,: u,46.85,22.484,18.383 u,: u,8.957 u,1.156 u,2.815 u,7.432,22.902,: u,30.524,101.885,80.641
THS,PB1040,PT,Y35-44,F,2011,853.005,25.647,: u,3.704 u,16.069,181.421,: u,1.37,: u,33.969,192.614,: u,52.005,: u,: u,: u,2.975,5.148,: u,63.874,38.783,13.075 u,: u,7.716 u,2.763 u,: u,7.383,36.067,1.287,41.382,151.81,124.108
THS,PB1040,PT,Y35-44,M,2011,214.948,4.492 u,: u,1.002 u,6.625 u,51.068,: u,1.001,: u,5.636 u,: u,: u,17.065,: u,: u,: u,: u,4.597 u,: u,14.716 u,: u,10.085 u,: u,: u,: u,: u,2.267 u,6.033 u,: u,7.491,37.116,44.232
THS,PB1040,PT,Y35-44,T,2011,1067.954,30.139,: u,4.706 u,22.694,232.489,: u,2.371,: u,39.606,221.619,: u,69.07,0.861 u,: u,: u,3.214,9.746,: u,78.59,44.165,23.161,12.679,13.172,3.416 u,4.416 u,9.65,42.1,1.51,48.872,188.926,168.34
THS,PB1040,PT,Y45-54,F,2011,1401.859,40.831,: u,6.641,18.517,297.402,: u,3.434,2.545 u,39.687,357.112,4.574 u,88.191,0.67 u,: u,: u,3.782,11.416,: u,92.021,61.839,32.206,25.735,11.349 u,3.478 u,3.231 u,9.746,47.903,: u,74.137,228.6,150.345
THS,PB1040,PT,Y45-54,M,2011,372.829,13.757,: u,3.028 u,6.419 u,84.745,: u,1.441,: u,5.789 u,68.539 u,: u,23.636,: u,: u,: u,: u,9.087,: u,25.396 u,: u,27.7,7.528,11.284 u,3.529 u,: u,5.266,13.062,: u,13.792,46.646,64.714
THS,PB1040,PT,Y45-54,T,2011,1774.688,54.588,: u,9.669,24.936,382.147,2.738 u,4.875,3.679 u,45.476,425.651,7.014 u,111.827,0.824 u,6.277 u,5.129 u,4.216,20.503,: u,117.417,67.16,59.906,33.263,22.633,7.007 u,5.114,15.012,60.966,: u,87.928,275.246,215.059
THS,PB1040,PT,Y55-64,F,2011,1152.649,21.918,: u,8.655,16.922,217.624,3.521 u,3.326,4.264 u,41.477,225.438,6.035 u,37.677,0.867 u,: u,: u,1.375,12.938,: u,63.793,28.351,50.86,39.478,41.401,4.617 u,: u,24.552,58.443,1.242,62.808,228.745,122.932
THS,PB1040,PT,Y55-64,M,2011,511.619,13.617,: u,5.223 u,5.411 u,80.682,: u,1.314,: u,9.514,61.632 u,8.51 u,19.075,: u,: u,: u,: u,7.909,: u,40.633,13.318 u,43.511,18.184,29.763,2.161 u,: u,14.608,22.257,: u,11.411,105.24,84.519
THS,PB1040,PT,Y55-64,T,2011,1664.269,35.535,: u,13.878,22.332,298.306,4.352 u,4.64,6.171 u,50.992,287.07,14.545 u,56.752,1.223 u,5.4 u,: u,1.709,20.847,: u,104.426,41.669,94.371,57.662,71.165,6.779 u,3.235 u,39.16,80.7,1.533,74.218,333.985,207.451
THS,PB1040,TOTAL,TOTAL,F,2011,10567.449,179.652,83.333,106.016,138.927,1589.064,48.338,21.89,72.703,521.545,2512.754,60.177,663.491,12.113,75.72,65.792,22.606,111.699,2.796 u,339.217,370.055,595.529,338.737,259.998,60.262,62.444,252.513,376.156,14.456,337.772,1623.923,1307.039
THS,PB1040,TOTAL,TOTAL,M,2011,10472.484,212.997,68.98,127.092,116.387,1951.662,34.278,25.81,90.347,515.983,2177.203,77.723,777.794,12.904,50.017,42.494,23.064,97.529,4.397,300.93,430.447,647.428,285.691,247.738,64.456,64.658,210.191,274.705,11.225,300.288,1539.579,2179.592
THS,PB1040,TOTAL,TOTAL,T,2011,21039.933,392.65,152.313,233.108,255.313,3540.726,82.617,47.701,163.05,1037.528,4689.957,137.9,1441.285,25.017,125.737,108.286,45.67,209.228,7.193,640.147,800.501,1242.957,624.428,507.736,124.717,127.103,462.704,650.861,25.681,638.06,3163.502,3486.631
THS,PB1040,TOTAL,Y15-24,F,2011,446.486,4.261 u,: u,2.076 u,13.02,91.85,: u,: u,: u,11.894,91.788 u,: u,4.746 u,: u,: u,: u,0.533 u,: u,: u,26.095 u,20.707,8.377 u,: u,: u,: u,: u,7.535,26.229,3.177,42.767,118.781,60.016
THS,PB1040,TOTAL,Y15-24,M,2011,419.935,9.728 u,: u,1.91 u,8.798,111.665,: u,: u,: u,10.066,73.102 u,: u,7.642,0.631 u,: u,: u,0.644 u,: u,: u,25.715 u,24.151,15.331 u,: u,: u,: u,: u,9.867,15.939,1.52,38.284,84.381,111.219
THS,PB1040,TOTAL,Y15-24,T,2011,866.42,13.989,: u,3.986 u,21.818,203.515,3.241 u,1.822,: u,21.959,164.891,: u,12.388,0.918 u,: u,: u,1.177 u,: u,: u,51.811,44.858,23.708,13.056,: u,1.321 u,: u,17.402,42.168,4.698,81.051,203.162,171.235
THS,PB1040,TOTAL,Y25-34,F,2011,1262.73,27.111,: u,7.273,16.096,205.838,5.561 u,4.136,4.684 u,85.424,310.995,: u,61.141,0.898 u,6.212 u,4.621 u,4.122,6.618,: u,49.461,52.095,51.251,38.685,18.791,4.875 u,4.236 u,30.097,48.829,1.376,44.827,205.433,177.067
THS,PB1040,TOTAL,Y25-34,M,2011,1315.377,29.2,: u,10.878,22.678,276.675,4.62 u,3.47,6.764 u,54.505,318.993,: u,81.179,1.316 u,4.657 u,: u,4.382,8.531,: u,31.013 u,59.084,66.987,27.247,16.849,7.019 u,4.572,29.867,35.646,2.127,42.457,199.341,404.44
THS,PB1040,TOTAL,Y25-34,T,2011,2578.106,56.311,7.737 u,18.151,38.774,482.512,10.181,7.606,11.447,139.929,629.988,6.46 u,142.32,2.214,10.87,6.817 u,8.504,15.149,1.759 u,80.473,111.179,118.238,65.932,35.64,11.894,8.808,59.964,84.476,3.504,87.283,404.774,581.507
THS,PB1040,TOTAL,Y35-44,F,2011,2235.12,42.237,14.282,21.159,34.233,335.911,8.422,4.651,13.5,113.386,560.177,10.361 u,169.214,2.241,13.014,12.897,6.422,18.977,: u,78.745,78.556,108.044,65.464,52.02,16.775,15.373,46.659,74.832,2.934,60.595,316.777,345.613
THS,PB1040,TOTAL,Y35-44,M,2011,2225.727,51.895,10.901 u,25.396,27.364,411.406,5.66 u,6.788,17.372,131.283,479.023,8.045 u,212.024,2.848,9.585,8.707,5.991,16.31,: u,58.4,104.691,108.365,67.698,40.65,12.606,14.608,38.506,55.384,2.238,57.103,293.169,646.786
THS,PB1040,TOTAL,Y35-44,T,2011,4460.846,94.132,25.183,46.555,61.596,747.317,14.082,11.439,30.872,244.669,1039.2,18.406 u,381.237,5.089,22.599,21.604,12.413,35.287,1.845 u,137.145,183.247,216.408,133.162,92.669,29.38,29.981,85.166,130.216,5.172,117.697,609.946,992.399
THS,PB1040,TOTAL,Y45-54,F,2011,3906.971,71.689,32.84,43.757,43.55,533.291,16.069,7.046,27.306,174.224,1001.983,27.345 u,280.257,4.752,30.939,26.409,8.364,42.579,: u,109.154,153.815,258.414,119.88,85.767,27.884,25.375,86.402,114.11,3.699,102.722,553.21,431.44
THS,PB1040,TOTAL,Y45-54,M,2011,3610.38,73.058,21.583,38.35,34.273,644.221,12.186,7.943,31.417,182.831,827.078,29.61 u,283.09,3.689,21.698,16.622,8.833,39.161,: u,93.817,155.954,218.187,98.013,80.461,27.761,26.677,69.06,81.273,2.025,89.428,482.364,634.394
THS,PB1040,TOTAL,Y45-54,T,2011,7517.351,144.747,54.423,82.107,77.823,1177.512,28.255,14.989,58.723,357.055,1829.062,56.955,563.347,8.441,52.637,43.031,17.197,81.74,1.728 u,202.971,309.769,476.601,217.893,166.228,55.645,52.052,155.462,195.383,5.724,192.15,1035.574,1065.834
THS,PB1040,TOTAL,Y55-64,F,2011,2716.144,34.353,31.6,31.752,32.028,422.175,16.365,5.161,26.276,136.617,547.81,19.341 u,148.134,3.935,24.734,21.392,3.165,42.618,: u,75.762,64.881,169.443,107.587,101.019,10.341,15.633,81.819,112.156,3.27,86.861,429.722,292.903
THS,PB1040,TOTAL,Y55-64,M,2011,2901.066,49.116,31.711,50.558,23.274,507.695,10.492,6.684,33.868,137.299,479.006,35.676 u,193.859,4.421,12.526,13.51,3.214,32.81,: u,91.984,86.567,238.558,86.796,106.048,16.136,18.294,62.891,86.462,3.314,73.017,480.324,382.754
THS,PB1040,TOTAL,Y55-64,T,2011,5617.209,83.469,63.312,82.31,55.302,929.87,26.857,11.845,60.144,273.916,1026.817,55.017,341.992,8.356,37.26,34.902,6.38,75.428,1.609 u,167.746,151.448,408.001,194.384,207.066,26.477,33.927,144.71,198.618,6.584,159.878,910.046,675.657
THS,PB1041,FT,TOTAL,F,2011,56582.432,1033.805,1243.253,1805.256,719.934,6896.776,215.182,539.838,1284.001,5354.332,6578.546,533.867,5595.196,155.941,325.434,522.218,48.396,1491.263,41.776,847.474,873.07,5642.629,1636.769,3328.168,324.121,902.453,744.061,1114.419,46.064,722.695,6784.255,4486.042
THS,PB1041,FT,TOTAL,M,2011,92076.306,1985.174,1404.966,2551.142,1091.123,13417.666,245.85,814.942,2037.032,8250.03,10516.597,677.623,11018.671,178.688,330.97,513.257,97.778,1852.685,98.568,3138.052,1643.616,7589.296,1998.098,4231.116,402.971,1186.12,929.718,1874.637,63.757,1761.566,11999.922,13765.237
THS,PB1041,FT,TOTAL,T,2011,148658.739,3018.979,2648.218,4356.397,1811.057,20314.442,461.032,1354.781,3321.033,13604.362,17095.143,1211.49,16613.866,334.629,656.405,1035.475,146.174,3343.948,140.344,3985.526,2516.685,13231.925,3634.866,7559.284,727.092,2088.573,1673.778,2989.056,109.821,2484.262,18784.177,18251.279
THS,PB1041,FT,Y15-24,F,2011,4968.913,92.646,71.863,101.545,50.58,1117.129,17.242,44.112,47.648,249.706,614.002,30.007 u,258.867,14.168,27.434,29.829,3.85,80.901,8.163,100.087,169.125,382.799,102.248,239.536,13.469,48.609,62.728,82.55,7.273,173.515,908.07,955.664
THS,PB1041,FT,Y15-24,M,2011,7300.193,138.217,104.306,172.677,87.895,1365.921,25.167,47.142,84.886,369.137,953.991,62.866,539.298,13.053,34.335,38.617,5.411,107.684,11.713,199.444,238.822,635.714,143.204,333.129,28.088,92.967,78.554,159.684,8.302,222.751,1228.273,2117.167
THS,PB1041,FT,Y15-24,T,2011,12269.106,230.864,176.17,274.222,138.475,2483.05,42.41,91.254,132.534,618.842,1567.993,92.872,798.165,27.221,61.768,68.446,9.261,188.585,19.876,299.531,407.947,1018.512,245.452,572.664,41.557,141.575,141.282,242.234,15.574,396.267,2136.343,3072.83
THS,PB1041,FT,Y25-34,F,2011,15409.687,320.28,295.21,423.591,154.647,1678.705,53.463,205.207,332.848,1543.279,1856.868,123.12,1344.945,52.03,85.807,132.749,18.986,383.85,16.808,295.239,240.714,1699.626,495.797,1009.83,103.06,241.206,169.534,265.103,9.621,207.251,1867.184,1555.656
THS,PB1041,FT,Y25-34,M,2011,23325.377,520.592,360.489,713.12,210.83,2774.8,71.897,226.52,502.161,2104.323,2810.319,157.252,2401.058,51.752,93.893,132.314,26.521,573.271,27.706,705.842,388.392,2395.574,571.095,1226.607,120.269,356.041,241.794,433.892,14.325,381.186,3127.054,4801.518
THS,PB1041,FT,Y25-34,T,2011,38735.064,840.872,655.699,1136.712,365.476,4453.505,125.36,431.727,835.01,3647.602,4667.187,280.372,3746.003,103.783,179.7,265.063,45.507,957.122,44.514,1001.08,629.106,4095.2,1066.891,2236.437,223.329,597.247,411.328,698.996,23.945,588.437,4994.238,6357.174
THS,PB1041,FT,Y35-44,F,2011,15545.485,293.221,365.385,556.863,201.874,1407.256,56.16,134.253,434.046,1648.424,1767.819,136.105,1763.05,43.76,87.095,148.618,13.203,449.137,7.915,185.769,205.437,1610.558,525.538,1079.056,98.462,262.106,184.886,291.98,11.23,135.121,1587.51,1230.281
THS,PB1041,FT,Y35-44,M,2011,26563.581,561.391,396.4,743.087,316.804,3513.325,67.841,244.808,646.711,2608.46,3065.319,154.054,3586.825,44.41,89.632,141.966,31.497,566.229,22.93,889.014,464.191,2010.309,602.137,1360.117,115.823,320.929,243.154,508,16.26,444.839,3248.224,3861.773
THS,PB1041,FT,Y35-44,T,2011,42109.066,854.612,761.785,1299.95,518.678,4920.581,124,379.06,1080.756,4256.884,4833.138,290.159,5349.875,88.17,176.727,290.584,44.7,1015.366,30.845,1074.783,669.627,3620.867,1127.674,2439.173,214.285,583.034,428.041,799.979,27.49,579.96,4835.734,5092.054
THS,PB1041,FT,Y45-54,F,2011,14457.098,247.633,332.456,502.909,204.046,1777.238,55.134,106.543,335.783,1334.107,1629.487,178.731,1571.813,32.164,82.212,149.313,9.606,399.99,6.666,181.655,207.635,1492.867,368.984,701.337,91.826,261.317,209.542,291.093,11.276,139.074,1695.008,570.943
THS,PB1041,FT,Y45-54,M,2011,23486.16,546.294,333.868,570.731,294.582,3774.834,53.229,188.046,530.087,2112.287,2685.375,191.109,3178.483,43.229,75.408,138.12,25.318,406.873,24.042,884.257,417.735,1695.392,472.895,867.735,103.377,271.656,234.541,456.082,15.051,448.994,2910.578,2240.761
THS,PB1041,FT,Y45-54,T,2011,37943.257,793.926,666.324,1073.641,498.628,5552.072,108.363,294.589,865.869,3446.394,4314.862,369.84,4750.296,75.393,157.621,287.433,34.924,806.863,30.708,1065.912,625.37,3188.259,841.879,1569.072,195.202,532.973,444.083,747.175,26.326,588.068,4605.586,2811.704
THS,PB1041,FT,Y55-64,F,2011,6201.249,80.025,178.338,220.347,108.787,916.447,33.183,49.724,133.676,578.816,710.37,65.903,656.521,13.818,42.886,61.709,2.75,177.385,2.224 u,84.724,50.159,456.779,144.203,298.409,17.304,89.215,117.37,183.693,6.665,67.734,726.483,173.499
THS,PB1041,FT,Y55-64,M,2011,11400.995,218.68,209.903,351.526,181.013,1988.787,27.715,108.427,273.187,1055.824,1001.593,112.343,1313.008,26.244,37.702,62.241,9.031,198.628,12.177,459.496,134.476,852.308,208.767,443.529,35.415,144.528,131.674,316.979,9.821,263.797,1485.793,744.019
THS,PB1041,FT,Y55-64,T,2011,17602.245,298.706,388.241,571.873,289.8,2905.234,60.899,158.15,406.864,1634.64,1711.963,178.246,1969.528,40.062,80.589,123.95,11.781,376.012,14.401,544.22,184.635,1309.087,352.97,741.938,52.719,233.743,249.045,500.672,16.486,331.53,2212.276,917.518
THS,PB1041,NRP,TOTAL,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,8.004,18.659,:
THS,PB1041,NRP,TOTAL,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.592 u,25.375,:
THS,PB1041,NRP,TOTAL,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,10.596,44.034,:
THS,PB1041,NRP,Y15-24,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.263 u,: u,:
THS,PB1041,NRP,Y15-24,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,12.423,:
THS,PB1041,NRP,Y15-24,T,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,2.523 u,19.321,:
THS,PB1041,NRP,Y25-34,F,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
THS,PB1041,NRP,Y25-34,M,2011,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,: u,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,:
