unit,hlth_pb,worktime,age,sex,time,EU28,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IS,CH,UK,TR
THS,PB1040,FT,TOTAL,F,2011,6485.2,79.881,79.88,84.21,69.462,771.066,40.307,12.141,64.058,376.156,1569.734,47.613,463.762,9.833,65.572,57.084,13.219,79.916,1.656 u,59.328,218.587,488.635,263.223,195.481,48.554,52.422,200.568,197.689,9.022,124.36,875.16,827.483
THS,PB1040,FT,TOTAL,M,2011,9074.169,175.973,66.735,117.138,90.557,1654.385,32.572,20.909,86.318,486.978,1975.823,65.914,708.213,11.469,44.323,38.051,21.803,75.132,3.865,192.11,397.448,553.464,248.537,193.918,57.603,58.594,183.628,225.315,10.224,249.379,1287.393,1956.786
THS,PB1040,FT,TOTAL,T,2011,15559.369,255.854,146.615,201.347,160.019,2425.451,72.879,33.05,150.377,863.135,3545.558,113.527,1171.975,21.302,109.896,95.135,35.022,155.048,5.521,251.438,616.035,1042.099,511.76,389.399,106.157,111.016,384.197,423.005,19.246,373.739,2162.553,2784.269
THS,PB1040,FT,Y15-24,F,2011,239.741,3.125 u,: u,2.076 u,3.625 u,61.716,: u,: u,: u,6.759 u,51.055 u,: u,: u,: u,: u,: u,: u,: u,: u,2.834 u,14.448 u,7.629 u,: u,: u,: u,: u,3.097 u,9.17,1.722,29.915,57.362,39.472
THS,PB1040,FT,Y15-24,M,2011,315.425,7.517 u,: u,1.491 u,4.622 u,90.06,: u,: u,: u,7.389 u,64.831 u,: u,7.129 u,: u,: u,: u,0.625 u,: u,: u,7.551 u,21.423,11.044 u,: u,: u,: u,: u,7.494,11.809,1.337,32.071,56.212,100.892
THS,PB1040,FT,Y15-24,T,2011,555.166,10.642,: u,3.567 u,8.248,151.776,2.733 u,1.007,: u,14.148,115.887,: u,9.449,0.563 u,: u,: u,1.026 u,: u,: u,10.385 u,35.87,18.672 u,10.619,: u,1.119 u,: u,10.592,20.979,3.06,61.986,113.574,140.363
THS,PB1040,FT,Y25-34,F,2011,798.606,16.873,: u,4.466 u,7.533,114.42,4.805 u,3.166,4.388 u,60.304,183.873,: u,41.713,0.727 u,5.495 u,: u,3.166,4.849 u,: u,12.521 u,35.861,41.248,36.01,15.329,4.228 u,: u,24.271,29.834,: u,24.188,130.944,115.44
THS,PB1040,FT,Y25-34,M,2011,1126.974,26.253,: u,10.596,19.479,217.498,4.62 u,2.492,6.607 u,49.117,285.06,: u,71.887,1.033 u,: u,: u,4.165,7.727,: u,21.102 u,52.834,58.608,23.295,11.354 u,6.51 u,3.888 u,28.094,31.739,1.9,31.619,170.037,385.427
THS,PB1040,FT,Y25-34,T,2011,1925.58,43.126,7.111 u,15.061,27.012,331.917,9.425,5.657,10.995,109.421,468.933,5.438 u,113.6,1.76,9.377,5.668 u,7.331,12.576,: u,33.623 u,88.694,99.855,59.305,26.683,10.738,5.993,52.365,61.574,2.784,55.807,300.981,500.867
THS,PB1040,FT,Y35-44,F,2011,1381.368,16.59,13.892 u,17.455,18.164,154.49,7.353,3.281,12.148,79.416,367.563,9.428 u,117.209,1.765,10.964,11.381,3.408,13.828,: u,14.871 u,39.773,94.968,59.234,44.304,14.012,13.008,39.277,38.765,1.646,19.213,164.26,221.505
THS,PB1040,FT,Y35-44,M,2011,2009.172,47.403,10.387 u,24.394,20.738,360.338,5.346 u,5.787,16.541,125.647,450.018,7.186 u,194.958,2.463,9.585,7.74 u,5.753,11.713,: u,43.684,99.309,98.279,61.25,35.193,11.952,12.558,36.239,49.351,2.016,49.612,254.446,602.553
THS,PB1040,FT,Y35-44,T,2011,3390.54,63.993,24.28,41.849,38.903,514.828,12.699,9.068,28.689,205.064,817.581,16.614 u,312.167,4.228,20.549,19.121,9.161,25.541,: u,58.555,139.082,193.248,120.484,79.497,25.964,25.566,75.516,88.116,3.662,68.825,418.706,824.059
THS,PB1040,FT,Y45-54,F,2011,2503.491,30.858,31.811,37.116,25.034,235.889,13.634,3.612,24.761,134.537,644.871,22.771 u,192.065,4.082,27.211,22.976,4.477,31.163,: u,17.133 u,91.976,226.208,94.145,74.419,24.406,22.144,76.656,66.207,2.741,28.047,323.094,281.095
THS,PB1040,FT,Y45-54,M,2011,3236.041,59.301,21.583,35.322,27.854,559.476,11.882,6.501,30.282,177.041,758.539,27.17 u,259.454,3.535,19.148,14.927,8.398,30.074,: u,68.422,150.634,190.487,90.485,69.176,24.232,24.794,63.518,68.211,1.947,75.217,434.485,569.68
THS,PB1040,FT,Y45-54,T,2011,5739.532,90.159,53.393,72.438,52.887,795.365,25.517,10.113,55.043,311.579,1403.41,49.941,451.52,7.617,46.359,37.902,12.875,61.237,: u,85.555,242.61,416.694,184.631,143.595,48.638,46.938,140.174,134.418,4.689,103.263,757.579,850.774
THS,PB1040,FT,Y55-64,F,2011,1561.994,12.435,29.927,23.097,15.106,204.551,12.844,1.834,22.012,95.14,322.372,13.306 u,110.456,3.068,21.387,18.534,1.768,29.68,: u,11.969 u,36.53,118.583,68.109,59.618,5.724 u,13.339,57.268,53.713,2.028,22.997,199.499,169.971
THS,PB1040,FT,Y55-64,M,2011,2386.557,35.499,30.644,45.335,17.864,427.013,9.662,5.37,31.96,127.784,417.374,27.166 u,174.784,4.065,10.472,12.188,2.861,24.901,: u,51.352,73.249,195.047,68.613,76.284,13.974,17.354,48.283,64.205,3.023,60.86,372.213,298.235
