unit,barrier,age,sex,time,geo,v,flag
THS,ACS_BLD,Y15-44,F,2012,EU27_2007,2148.1,e
THS,ACS_BLD,Y15-44,F,2012,BE,87.7,
THS,ACS_BLD,Y15-44,F,2012,BG,11.7,u
THS,ACS_BLD,Y15-44,F,2012,CZ,21.1,u
THS,ACS_BLD,Y15-44,F,2012,DK,45.5,
THS,ACS_BLD,Y15-44,F,2012,DE,335.3,
THS,ACS_BLD,Y15-44,F,2012,EL,9.5,u
THS,ACS_BLD,Y15-44,F,2012,ES,159.8,
THS,ACS_BLD,Y15-44,F,2012,FR,196.1,
THS,ACS_BLD,Y15-44,F,2012,IT,115.3,u
THS,ACS_BLD,Y15-44,F,2012,LV,2.9,
THS,ACS_BLD,Y15-44,F,2012,LT,9.4,u
THS,ACS_BLD,Y15-44,F,2012,LU,1.5,u
THS,ACS_BLD,Y15-44,F,2012,HU,50.7,
THS,ACS_BLD,Y15-44,F,2012,NL,114.2,
THS,ACS_BLD,Y15-44,F,2012,AT,19.7,u
THS,ACS_BLD,Y15-44,F,2012,PL,107.9,
THS,ACS_BLD,Y15-44,F,2012,RO,33.6,u
THS,ACS_BLD,Y15-44,F,2012,SI,8.1,u
THS,ACS_BLD,Y15-44,F,2012,SK,9.6,u
THS,ACS_BLD,Y15-44,F,2012,FI,18.6,u
THS,ACS_BLD,Y15-44,F,2012,SE,47.0,u
THS,ACS_BLD,Y15-44,F,2012,EEA,2198.1,e
THS,ACS_BLD,Y15-44,F,2012,NO,48.8,
THS,ACS_BLD,Y15-44,F,2012,UK,720.0,
THS,ACS_BLD,Y15-44,M,2012,EU27_2007,2019.7,e
THS,ACS_BLD,Y15-44,M,2012,BE,54.8,
THS,ACS_BLD,Y15-44,M,2012,BG,11.9,u
THS,ACS_BLD,Y15-44,M,2012,CZ,5.1,u
THS,ACS_BLD,Y15-44,M,2012,DK,32.1,
THS,ACS_BLD,Y15-44,M,2012,DE,398.7,
THS,ACS_BLD,Y15-44,M,2012,EL,17.6,u
THS,ACS_BLD,Y15-44,M,2012,ES,124.8,
THS,ACS_BLD,Y15-44,M,2012,FR,175.6,
THS,ACS_BLD,Y15-44,M,2012,IT,82.0,u
THS,ACS_BLD,Y15-44,M,2012,LV,2.2,
THS,ACS_BLD,Y15-44,M,2012,LT,8.1,u
THS,ACS_BLD,Y15-44,M,2012,LU,1.8,u
THS,ACS_BLD,Y15-44,M,2012,HU,38.3,
THS,ACS_BLD,Y15-44,M,2012,NL,51.0,
THS,ACS_BLD,Y15-44,M,2012,AT,21.8,u
THS,ACS_BLD,Y15-44,M,2012,PL,132.3,
THS,ACS_BLD,Y15-44,M,2012,RO,56.2,u
THS,ACS_BLD,Y15-44,M,2012,SI,9.1,u
THS,ACS_BLD,Y15-44,M,2012,SK,19.5,u
THS,ACS_BLD,Y15-44,M,2012,FI,11.9,u
THS,ACS_BLD,Y15-44,M,2012,SE,26.2,u
THS,ACS_BLD,Y15-44,M,2012,EEA,2054.9,e
THS,ACS_BLD,Y15-44,M,2012,NO,34.6,
THS,ACS_BLD,Y15-44,M,2012,UK,729.5,
THS,ACS_BLD,Y15-44,T,2012,EU27_2007,4167.8,e
THS,ACS_BLD,Y15-44,T,2012,BE,142.5,
THS,ACS_BLD,Y15-44,T,2012,BG,23.6,u
THS,ACS_BLD,Y15-44,T,2012,CZ,26.2,u
THS,ACS_BLD,Y15-44,T,2012,DK,77.6,
THS,ACS_BLD,Y15-44,T,2012,DE,734.1,
THS,ACS_BLD,Y15-44,T,2012,EL,27.1,u
THS,ACS_BLD,Y15-44,T,2012,ES,284.7,
THS,ACS_BLD,Y15-44,T,2012,FR,371.7,
THS,ACS_BLD,Y15-44,T,2012,IT,197.3,u
THS,ACS_BLD,Y15-44,T,2012,LV,5.1,
THS,ACS_BLD,Y15-44,T,2012,LT,17.5,u
THS,ACS_BLD,Y15-44,T,2012,LU,3.3,u
THS,ACS_BLD,Y15-44,T,2012,HU,89.0,
THS,ACS_BLD,Y15-44,T,2012,NL,165.3,
THS,ACS_BLD,Y15-44,T,2012,AT,41.5,u
THS,ACS_BLD,Y15-44,T,2012,PL,240.2,
THS,ACS_BLD,Y15-44,T,2012,RO,89.8,u
THS,ACS_BLD,Y15-44,T,2012,SI,17.2,u
THS,ACS_BLD,Y15-44,T,2012,SK,29.1,u
THS,ACS_BLD,Y15-44,T,2012,FI,30.4,u
THS,ACS_BLD,Y15-44,T,2012,SE,73.3,u
THS,ACS_BLD,Y15-44,T,2012,EEA,4252.9,e
THS,ACS_BLD,Y15-44,T,2012,NO,83.5,
THS,ACS_BLD,Y15-44,T,2012,UK,1449.5,
THS,ACS_BLD,Y45-64,F,2012,EU27_2007,4390.0,e
THS,ACS_BLD,Y45-64,F,2012,BE,116.1,
THS,ACS_BLD,Y45-64,F,2012,BG,63.3,
THS,ACS_BLD,Y45-64,F,2012,CZ,66.2,
THS,ACS_BLD,Y45-64,F,2012,DK,59.0,
THS,ACS_BLD,Y45-64,F,2012,DE,776.7,
THS,ACS_BLD,Y45-64,F,2012,EE,10.9,
THS,ACS_BLD,Y45-64,F,2012,EL,68.1,
THS,ACS_BLD,Y45-64,F,2012,ES,304.0,
THS,ACS_BLD,Y45-64,F,2012,FR,439.1,
THS,ACS_BLD,Y45-64,F,2012,IT,229.1,
THS,ACS_BLD,Y45-64,F,2012,CY,3.2,u
THS,ACS_BLD,Y45-64,F,2012,LV,9.4,
THS,ACS_BLD,Y45-64,F,2012,LT,29.9,
THS,ACS_BLD,Y45-64,F,2012,LU,3.6,
THS,ACS_BLD,Y45-64,F,2012,HU,163.7,
THS,ACS_BLD,Y45-64,F,2012,MT,2.6,
THS,ACS_BLD,Y45-64,F,2012,NL,145.9,
THS,ACS_BLD,Y45-64,F,2012,AT,42.8,
THS,ACS_BLD,Y45-64,F,2012,PL,360.4,
THS,ACS_BLD,Y45-64,F,2012,PT,61.8,
THS,ACS_BLD,Y45-64,F,2012,RO,254.2,
THS,ACS_BLD,Y45-64,F,2012,SI,16.8,
THS,ACS_BLD,Y45-64,F,2012,SK,58.7,
THS,ACS_BLD,Y45-64,F,2012,FI,40.8,
THS,ACS_BLD,Y45-64,F,2012,SE,44.2,
THS,ACS_BLD,Y45-64,F,2012,EEA,4436.9,e
THS,ACS_BLD,Y45-64,F,2012,IS,1.6,u
THS,ACS_BLD,Y45-64,F,2012,NO,45.3,
THS,ACS_BLD,Y45-64,F,2012,UK,1019.5,
THS,ACS_BLD,Y45-64,M,2012,EU27_2007,3592.4,e
THS,ACS_BLD,Y45-64,M,2012,BE,55.9,
THS,ACS_BLD,Y45-64,M,2012,BG,55.5,
THS,ACS_BLD,Y45-64,M,2012,CZ,38.0,
THS,ACS_BLD,Y45-64,M,2012,DK,52.9,
THS,ACS_BLD,Y45-64,M,2012,DE,840.9,
THS,ACS_BLD,Y45-64,M,2012,EE,11.0,
THS,ACS_BLD,Y45-64,M,2012,EL,52.0,
THS,ACS_BLD,Y45-64,M,2012,ES,246.8,
THS,ACS_BLD,Y45-64,M,2012,FR,265.8,
THS,ACS_BLD,Y45-64,M,2012,IT,115.1,
THS,ACS_BLD,Y45-64,M,2012,CY,3.4,u
THS,ACS_BLD,Y45-64,M,2012,LV,7.7,
THS,ACS_BLD,Y45-64,M,2012,LT,15.4,
THS,ACS_BLD,Y45-64,M,2012,LU,3.1,
THS,ACS_BLD,Y45-64,M,2012,HU,119.9,
THS,ACS_BLD,Y45-64,M,2012,MT,2.1,
THS,ACS_BLD,Y45-64,M,2012,NL,86.9,
THS,ACS_BLD,Y45-64,M,2012,AT,57.2,
THS,ACS_BLD,Y45-64,M,2012,PL,293.5,
THS,ACS_BLD,Y45-64,M,2012,PT,53.4,
THS,ACS_BLD,Y45-64,M,2012,RO,214.5,
THS,ACS_BLD,Y45-64,M,2012,SI,17.6,
THS,ACS_BLD,Y45-64,M,2012,SK,47.9,
THS,ACS_BLD,Y45-64,M,2012,FI,26.6,
THS,ACS_BLD,Y45-64,M,2012,SE,28.0,
THS,ACS_BLD,Y45-64,M,2012,EEA,3624.3,e
THS,ACS_BLD,Y45-64,M,2012,IS,0.3,u
THS,ACS_BLD,Y45-64,M,2012,NO,31.6,
THS,ACS_BLD,Y45-64,M,2012,UK,881.3,
THS,ACS_BLD,Y45-64,T,2012,EU27_2007,7982.4,e
THS,ACS_BLD,Y45-64,T,2012,BE,171.9,
THS,ACS_BLD,Y45-64,T,2012,BG,118.8,
THS,ACS_BLD,Y45-64,T,2012,CZ,104.2,
THS,ACS_BLD,Y45-64,T,2012,DK,111.8,
THS,ACS_BLD,Y45-64,T,2012,DE,1617.6,
THS,ACS_BLD,Y45-64,T,2012,EE,21.9,
THS,ACS_BLD,Y45-64,T,2012,EL,120.1,
THS,ACS_BLD,Y45-64,T,2012,ES,550.8,
THS,ACS_BLD,Y45-64,T,2012,FR,704.9,
THS,ACS_BLD,Y45-64,T,2012,IT,344.3,
THS,ACS_BLD,Y45-64,T,2012,CY,6.7,u
THS,ACS_BLD,Y45-64,T,2012,LV,17.1,
THS,ACS_BLD,Y45-64,T,2012,LT,45.2,
THS,ACS_BLD,Y45-64,T,2012,LU,6.8,
THS,ACS_BLD,Y45-64,T,2012,HU,283.6,
THS,ACS_BLD,Y45-64,T,2012,MT,4.7,
THS,ACS_BLD,Y45-64,T,2012,NL,232.8,
THS,ACS_BLD,Y45-64,T,2012,AT,100.0,
THS,ACS_BLD,Y45-64,T,2012,PL,653.9,
THS,ACS_BLD,Y45-64,T,2012,PT,115.2,
THS,ACS_BLD,Y45-64,T,2012,RO,468.7,
THS,ACS_BLD,Y45-64,T,2012,SI,34.4,
THS,ACS_BLD,Y45-64,T,2012,SK,106.6,
THS,ACS_BLD,Y45-64,T,2012,FI,67.3,
THS,ACS_BLD,Y45-64,T,2012,SE,72.2,
THS,ACS_BLD,Y45-64,T,2012,EEA,8061.2,e
THS,ACS_BLD,Y45-64,T,2012,IS,1.8,u
THS,ACS_BLD,Y45-64,T,2012,NO,76.9,
THS,ACS_BLD,Y45-64,T,2012,UK,1900.8,
THS,ACS_BLD,Y_GE15,F,2012,EU27_2007,16623.9,e
THS,ACS_BLD,Y_GE15,F,2012,BE,324.4,
THS,ACS_BLD,Y_GE15,F,2012,BG,285.9,
THS,ACS_BLD,Y_GE15,F,2012,CZ,335.2,
THS,ACS_BLD,Y_GE15,F,2012,DK,182.9,
THS,ACS_BLD,Y_GE15,F,2012,DE,2914.3,
THS,ACS_BLD,Y_GE15,F,2012,EE,45.4,
THS,ACS_BLD,Y_GE15,F,2012,EL,461.4,
THS,ACS_BLD,Y_GE15,F,2012,ES,1472.1,
THS,ACS_BLD,Y_GE15,F,2012,FR,1303.1,
THS,ACS_BLD,Y_GE15,F,2012,IT,2131.5,
THS,ACS_BLD,Y_GE15,F,2012,CY,19.7,
THS,ACS_BLD,Y_GE15,F,2012,LV,71.8,
THS,ACS_BLD,Y_GE15,F,2012,LT,141.3,
THS,ACS_BLD,Y_GE15,F,2012,LU,10.3,
THS,ACS_BLD,Y_GE15,F,2012,HU,623.1,
THS,ACS_BLD,Y_GE15,F,2012,MT,8.2,
THS,ACS_BLD,Y_GE15,F,2012,NL,382.5,
THS,ACS_BLD,Y_GE15,F,2012,AT,179.3,
THS,ACS_BLD,Y_GE15,F,2012,PL,1495.0,
THS,ACS_BLD,Y_GE15,F,2012,PT,260.2,
THS,ACS_BLD,Y_GE15,F,2012,RO,954.3,
THS,ACS_BLD,Y_GE15,F,2012,SI,84.2,
THS,ACS_BLD,Y_GE15,F,2012,SK,133.5,
THS,ACS_BLD,Y_GE15,F,2012,FI,125.2,
THS,ACS_BLD,Y_GE15,F,2012,SE,130.2,
THS,ACS_BLD,Y_GE15,F,2012,EEA,16763.6,e
THS,ACS_BLD,Y_GE15,F,2012,IS,4.5,
THS,ACS_BLD,Y_GE15,F,2012,NO,135.2,
THS,ACS_BLD,Y_GE15,F,2012,UK,2548.7,
THS,ACS_BLD,Y_GE15,M,2012,EU27_2007,10378.8,e
THS,ACS_BLD,Y_GE15,M,2012,BE,160.7,
THS,ACS_BLD,Y_GE15,M,2012,BG,168.7,
THS,ACS_BLD,Y_GE15,M,2012,CZ,180.0,
THS,ACS_BLD,Y_GE15,M,2012,DK,126.8,
THS,ACS_BLD,Y_GE15,M,2012,DE,2017.6,
THS,ACS_BLD,Y_GE15,M,2012,EE,19.6,
THS,ACS_BLD,Y_GE15,M,2012,EL,227.7,
THS,ACS_BLD,Y_GE15,M,2012,ES,811.1,
THS,ACS_BLD,Y_GE15,M,2012,FR,843.1,
THS,ACS_BLD,Y_GE15,M,2012,IT,1027.8,
THS,ACS_BLD,Y_GE15,M,2012,CY,14.2,
THS,ACS_BLD,Y_GE15,M,2012,LV,28.1,
THS,ACS_BLD,Y_GE15,M,2012,LT,59.5,
THS,ACS_BLD,Y_GE15,M,2012,LU,7.7,
THS,ACS_BLD,Y_GE15,M,2012,HU,302.9,
THS,ACS_BLD,Y_GE15,M,2012,MT,6.3,
