unit,lev_limit,lev_satis,age,sex,geo\time,i,v,flag
PC_POP,NONE,GOOD,Y16-24,F,HU,2012,66.1,
PC_POP,NONE,GOOD,Y16-24,F,HU,2007,49.5,
PC_POP,NONE,GOOD,Y16-24,F,IE,2012,47.4,
PC_POP,NONE,GOOD,Y16-24,F,IE,2007,42.4,
PC_POP,NONE,GOOD,Y16-24,F,IS,2012,41.0,
PC_POP,NONE,GOOD,Y16-24,F,IS,2007,35.5,
PC_POP,NONE,GOOD,Y16-24,F,IT,2012,71.6,
PC_POP,NONE,GOOD,Y16-24,F,IT,2007,66.2,
PC_POP,NONE,GOOD,Y16-24,F,LT,2012,67.5,
PC_POP,NONE,GOOD,Y16-24,F,LT,2007,55.1,
PC_POP,NONE,GOOD,Y16-24,F,LU,2012,39.9,
PC_POP,NONE,GOOD,Y16-24,F,LU,2007,45.7,
PC_POP,NONE,GOOD,Y16-24,F,LV,2012,66.5,
PC_POP,NONE,GOOD,Y16-24,F,LV,2007,64.2,
PC_POP,NONE,GOOD,Y16-24,F,MT,2012,58.9,
PC_POP,NONE,GOOD,Y16-24,F,MT,2007,66.2,
PC_POP,NONE,GOOD,Y16-24,F,NL,2012,39.5,
PC_POP,NONE,GOOD,Y16-24,F,NL,2007,32.1,
PC_POP,NONE,GOOD,Y16-24,F,NO,2012,50.6,
PC_POP,NONE,GOOD,Y16-24,F,NO,2007,49.8,
PC_POP,NONE,GOOD,Y16-24,F,PL,2012,63.3,
PC_POP,NONE,GOOD,Y16-24,F,PL,2007,70.2,
PC_POP,NONE,GOOD,Y16-24,F,PT,2012,70.6,
PC_POP,NONE,GOOD,Y16-24,F,PT,2007,57.7,
PC_POP,NONE,GOOD,Y16-24,F,RO,2012,79.6,
PC_POP,NONE,GOOD,Y16-24,F,RO,2007,17.0,
PC_POP,NONE,GOOD,Y16-24,F,SE,2012,34.8,
PC_POP,NONE,GOOD,Y16-24,F,SE,2007,46.1,
PC_POP,NONE,GOOD,Y16-24,F,SI,2012,59.9,
PC_POP,NONE,GOOD,Y16-24,F,SI,2007,53.2,
PC_POP,NONE,GOOD,Y16-24,F,SK,2012,72.5,
PC_POP,NONE,GOOD,Y16-24,F,SK,2007,59.7,
PC_POP,NONE,GOOD,Y16-24,F,TR,2007,48.3,
PC_POP,NONE,GOOD,Y16-24,F,UK,2012,45.9,
PC_POP,NONE,GOOD,Y16-24,F,UK,2007,43.2,
PC_POP,NONE,GOOD,Y16-24,M,AT,2012,42.2,
PC_POP,NONE,GOOD,Y16-24,M,AT,2007,48.1,
PC_POP,NONE,GOOD,Y16-24,M,BE,2012,48.6,
PC_POP,NONE,GOOD,Y16-24,M,BE,2007,52.5,
PC_POP,NONE,GOOD,Y16-24,M,BG,2012,71.2,
PC_POP,NONE,GOOD,Y16-24,M,BG,2007,51.9,
PC_POP,NONE,GOOD,Y16-24,M,CH,2012,42.4,
PC_POP,NONE,GOOD,Y16-24,M,CH,2007,33.6,
PC_POP,NONE,GOOD,Y16-24,M,CY,2012,66.1,
PC_POP,NONE,GOOD,Y16-24,M,CY,2007,64.9,
PC_POP,NONE,GOOD,Y16-24,M,CZ,2012,69.5,u
PC_POP,NONE,GOOD,Y16-24,M,CZ,2007,68.6,
PC_POP,NONE,GOOD,Y16-24,M,DE,2012,53.1,
PC_POP,NONE,GOOD,Y16-24,M,DE,2007,36.9,
PC_POP,NONE,GOOD,Y16-24,M,DK,2012,34.1,
PC_POP,NONE,GOOD,Y16-24,M,DK,2007,31.9,
PC_POP,NONE,GOOD,Y16-24,M,EE,2012,65.9,
PC_POP,NONE,GOOD,Y16-24,M,EE,2007,57.4,
PC_POP,NONE,GOOD,Y16-24,M,EL,2012,69.0,
PC_POP,NONE,GOOD,Y16-24,M,EL,2007,68.2,
PC_POP,NONE,GOOD,Y16-24,M,ES,2012,62.4,
PC_POP,NONE,GOOD,Y16-24,M,ES,2007,67.2,
PC_POP,NONE,GOOD,Y16-24,M,EU27_2007,2012,56.8,
PC_POP,NONE,GOOD,Y16-24,M,EU27_2007,2007,51.4,
PC_POP,NONE,GOOD,Y16-24,M,EU28,2012,57.0,
PC_POP,NONE,GOOD,Y16-24,M,FI,2012,55.9,
PC_POP,NONE,GOOD,Y16-24,M,FI,2007,60.0,
PC_POP,NONE,GOOD,Y16-24,M,FR,2012,42.6,
PC_POP,NONE,GOOD,Y16-24,M,FR,2007,58.8,
PC_POP,NONE,GOOD,Y16-24,M,HR,2012,73.3,
PC_POP,NONE,GOOD,Y16-24,M,HU,2012,65.0,
PC_POP,NONE,GOOD,Y16-24,M,HU,2007,47.8,
PC_POP,NONE,GOOD,Y16-24,M,IE,2012,45.9,
PC_POP,NONE,GOOD,Y16-24,M,IE,2007,42.4,
PC_POP,NONE,GOOD,Y16-24,M,IS,2012,41.1,
PC_POP,NONE,GOOD,Y16-24,M,IS,2007,27.7,
PC_POP,NONE,GOOD,Y16-24,M,IT,2012,72.3,
PC_POP,NONE,GOOD,Y16-24,M,IT,2007,64.8,
PC_POP,NONE,GOOD,Y16-24,M,LT,2012,70.7,
PC_POP,NONE,GOOD,Y16-24,M,LT,2007,53.2,
PC_POP,NONE,GOOD,Y16-24,M,LU,2012,38.9,
PC_POP,NONE,GOOD,Y16-24,M,LU,2007,37.5,
PC_POP,NONE,GOOD,Y16-24,M,LV,2012,68.6,
PC_POP,NONE,GOOD,Y16-24,M,LV,2007,63.1,
PC_POP,NONE,GOOD,Y16-24,M,MT,2012,60.6,
PC_POP,NONE,GOOD,Y16-24,M,MT,2007,70.6,
PC_POP,NONE,GOOD,Y16-24,M,NL,2012,33.4,
PC_POP,NONE,GOOD,Y16-24,M,NL,2007,28.4,
PC_POP,NONE,GOOD,Y16-24,M,NO,2012,46.6,
PC_POP,NONE,GOOD,Y16-24,M,NO,2007,50.1,
PC_POP,NONE,GOOD,Y16-24,M,PL,2012,64.5,
PC_POP,NONE,GOOD,Y16-24,M,PL,2007,70.7,
PC_POP,NONE,GOOD,Y16-24,M,PT,2012,71.1,
PC_POP,NONE,GOOD,Y16-24,M,PT,2007,57.7,
PC_POP,NONE,GOOD,Y16-24,M,RO,2012,82.1,
PC_POP,NONE,GOOD,Y16-24,M,RO,2007,17.8,
PC_POP,NONE,GOOD,Y16-24,M,SE,2012,38.2,
PC_POP,NONE,GOOD,Y16-24,M,SE,2007,47.7,
PC_POP,NONE,GOOD,Y16-24,M,SI,2012,58.8,
PC_POP,NONE,GOOD,Y16-24,M,SI,2007,57.1,
PC_POP,NONE,GOOD,Y16-24,M,SK,2012,76.0,
PC_POP,NONE,GOOD,Y16-24,M,SK,2007,61.9,
PC_POP,NONE,GOOD,Y16-24,M,TR,2007,51.9,
PC_POP,NONE,GOOD,Y16-24,M,UK,2012,49.6,
PC_POP,NONE,GOOD,Y16-24,M,UK,2007,41.4,
PC_POP,NONE,GOOD,Y16-24,T,AT,2012,40.2,
PC_POP,NONE,GOOD,Y16-24,T,AT,2007,46.8,
PC_POP,NONE,GOOD,Y16-24,T,BE,2012,49.3,
PC_POP,NONE,GOOD,Y16-24,T,BE,2007,50.7,
PC_POP,NONE,GOOD,Y16-24,T,BG,2012,70.6,
PC_POP,NONE,GOOD,Y16-24,T,BG,2007,54.0,
PC_POP,NONE,GOOD,Y16-24,T,CH,2012,41.1,
PC_POP,NONE,GOOD,Y16-24,T,CH,2007,36.0,
PC_POP,NONE,GOOD,Y16-24,T,CY,2012,64.5,
PC_POP,NONE,GOOD,Y16-24,T,CY,2007,63.5,
PC_POP,NONE,GOOD,Y16-24,T,CZ,2012,69.1,u
PC_POP,NONE,GOOD,Y16-24,T,CZ,2007,70.9,
PC_POP,NONE,GOOD,Y16-24,T,DE,2012,54.9,
PC_POP,NONE,GOOD,Y16-24,T,DE,2007,37.0,
PC_POP,NONE,GOOD,Y16-24,T,DK,2012,36.8,
PC_POP,NONE,GOOD,Y16-24,T,DK,2007,32.8,
PC_POP,NONE,GOOD,Y16-24,T,EE,2012,64.1,
PC_POP,NONE,GOOD,Y16-24,T,EE,2007,55.8,
PC_POP,NONE,GOOD,Y16-24,T,EL,2012,67.9,
PC_POP,NONE,GOOD,Y16-24,T,EL,2007,67.9,
PC_POP,NONE,GOOD,Y16-24,T,ES,2012,62.5,
