unit,incgrp,lev_limit,tenure,geo\time,i,v,flag
PC,A_MD60,NONE,OWN,CH,2017,44.5,
PC,A_MD60,NONE,OWN,CH,2016,46.3,
PC,A_MD60,NONE,OWN,CH,2015,46.4,
PC,A_MD60,NONE,OWN,CH,2014,47.3,
PC,A_MD60,NONE,OWN,CH,2013,46.7,
PC,A_MD60,NONE,OWN,CH,2012,46.1,
PC,A_MD60,NONE,OWN,CH,2011,47.3,
PC,A_MD60,NONE,OWN,CH,2010,47.8,
PC,A_MD60,NONE,OWN,CY,2020,74.1,
PC,A_MD60,NONE,OWN,CY,2019,74.0,
PC,A_MD60,NONE,OWN,CY,2018,76.0,
PC,A_MD60,NONE,OWN,CY,2017,76.6,
PC,A_MD60,NONE,OWN,CY,2016,76.8,
PC,A_MD60,NONE,OWN,CY,2015,78.3,
PC,A_MD60,NONE,OWN,CY,2014,78.5,
PC,A_MD60,NONE,OWN,CY,2013,79.2,
PC,A_MD60,NONE,OWN,CY,2012,78.9,
PC,A_MD60,NONE,OWN,CY,2011,78.3,
PC,A_MD60,NONE,OWN,CY,2010,77.6,
PC,A_MD60,NONE,OWN,CY,2009,77.9,
PC,A_MD60,NONE,OWN,CY,2008,77.0,
PC,A_MD60,NONE,OWN,CY,2007,79.2,
PC,A_MD60,NONE,OWN,CZ,2021,81.6,
PC,A_MD60,NONE,OWN,CZ,2020,80.2,
PC,A_MD60,NONE,OWN,CZ,2019,79.7,
PC,A_MD60,NONE,OWN,CZ,2018,79.3,
PC,A_MD60,NONE,OWN,CZ,2017,79.7,
PC,A_MD60,NONE,OWN,CZ,2016,80.3,
PC,A_MD60,NONE,OWN,CZ,2015,80.2,
PC,A_MD60,NONE,OWN,CZ,2014,80.5,
PC,A_MD60,NONE,OWN,CZ,2013,80.5,
PC,A_MD60,NONE,OWN,CZ,2012,82.2,
PC,A_MD60,NONE,OWN,CZ,2011,81.7,
PC,A_MD60,NONE,OWN,CZ,2010,81.1,
PC,A_MD60,NONE,OWN,CZ,2009,79.0,
PC,A_MD60,NONE,OWN,CZ,2008,79.4,
PC,A_MD60,NONE,OWN,CZ,2007,78.2,
PC,A_MD60,NONE,OWN,CZ,2006,78.0,
PC,A_MD60,NONE,OWN,CZ,2005,76.6,
PC,A_MD60,NONE,OWN,DE,2021,48.1,
PC,A_MD60,NONE,OWN,DE,2020,49.1,b
PC,A_MD60,NONE,OWN,DE,2019,55.4,
PC,A_MD60,NONE,OWN,DE,2018,56.0,
PC,A_MD60,NONE,OWN,DE,2017,55.5,
PC,A_MD60,NONE,OWN,DE,2016,56.4,
PC,A_MD60,NONE,OWN,DE,2015,57.6,
PC,A_MD60,NONE,OWN,DE,2014,58.3,
PC,A_MD60,NONE,OWN,DE,2013,58.5,
PC,A_MD60,NONE,OWN,DE,2012,59.2,
