unit,hlth_pb,age,sex,time\geo,i,v,flag
PC,PB1040,Y15-64,T,2011,AT,64.1,
PC,PB1040,Y15-64,T,2011,PL,38.3,
PC,PB1040,Y15-64,T,2011,PT,59.6,
PC,PB1040,Y15-64,T,2011,RO,34.6,
PC,PB1040,Y15-64,T,2011,SI,52.2,
PC,PB1040,Y15-64,T,2011,SK,39.3,
PC,PB1040,Y15-64,T,2011,FI,66.9,
PC,PB1040,Y15-64,T,2011,SE,73.2,
PC,PB1040,Y15-64,T,2011,IS,74.2,
PC,PB1040,Y15-64,T,2011,CH,73.5,
PC,PB1040,Y15-64,T,2011,UK,53.3,
PC,PB1040,Y15-64,T,2011,TR,44.5,
PC,PB1040,Y20-64,F,2011,EU28,50.6,
PC,PB1040,Y20-64,F,2011,BE,42.1,
PC,PB1040,Y20-64,F,2011,BG,35.0,
PC,PB1040,Y20-64,F,2011,CZ,41.5,
PC,PB1040,Y20-64,F,2011,DK,49.7,
PC,PB1040,Y20-64,F,2011,DE,55.0,
PC,PB1040,Y20-64,F,2011,EE,62.7,
PC,PB1040,Y20-64,F,2011,IE,34.0,
PC,PB1040,Y20-64,F,2011,EL,34.3,
PC,PB1040,Y20-64,F,2011,ES,51.6,
PC,PB1040,Y20-64,F,2011,FR,62.4,
PC,PB1040,Y20-64,F,2011,HR,33.8,
PC,PB1040,Y20-64,F,2011,IT,41.5,
PC,PB1040,Y20-64,F,2011,CY,47.1,
PC,PB1040,Y20-64,F,2011,LV,61.6,
PC,PB1040,Y20-64,F,2011,LT,55.5,
PC,PB1040,Y20-64,F,2011,LU,61.3,
PC,PB1040,Y20-64,F,2011,HU,28.9,
PC,PB1040,Y20-64,F,2011,MT,27,u
PC,PB1040,Y20-64,F,2011,NL,42.5,
PC,PB1040,Y20-64,F,2011,AT,58.9,
PC,PB1040,Y20-64,F,2011,PL,35.7,
PC,PB1040,Y20-64,F,2011,PT,57.5,
PC,PB1040,Y20-64,F,2011,RO,30.7,
PC,PB1040,Y20-64,F,2011,SI,49.0,
PC,PB1040,Y20-64,F,2011,SK,36.7,
PC,PB1040,Y20-64,F,2011,FI,67.4,
PC,PB1040,Y20-64,F,2011,SE,72.2,
PC,PB1040,Y20-64,F,2011,IS,69.8,
PC,PB1040,Y20-64,F,2011,CH,69.9,
PC,PB1040,Y20-64,F,2011,UK,49.9,
PC,PB1040,Y20-64,F,2011,TR,28.7,
PC,PB1040,Y20-64,M,2011,EU28,59.3,
PC,PB1040,Y20-64,M,2011,BE,51.2,
PC,PB1040,Y20-64,M,2011,BG,37.4,
PC,PB1040,Y20-64,M,2011,CZ,51.2,
PC,PB1040,Y20-64,M,2011,DK,56.0,
PC,PB1040,Y20-64,M,2011,DE,64.5,
PC,PB1040,Y20-64,M,2011,EE,61.9,
PC,PB1040,Y20-64,M,2011,IE,40.9,
PC,PB1040,Y20-64,M,2011,EL,51.6,
PC,PB1040,Y20-64,M,2011,ES,67.2,
PC,PB1040,Y20-64,M,2011,FR,68.9,
PC,PB1040,Y20-64,M,2011,HR,44.8,
PC,PB1040,Y20-64,M,2011,IT,60.7,
PC,PB1040,Y20-64,M,2011,CY,58.9,
PC,PB1040,Y20-64,M,2011,LV,64.6,
PC,PB1040,Y20-64,M,2011,LT,51.6,
PC,PB1040,Y20-64,M,2011,LU,74.4,
PC,PB1040,Y20-64,M,2011,HU,30.6,
PC,PB1040,Y20-64,M,2011,MT,52.6,
