unit,lev_limit,age,sex,geo,time,v,flag
PC,NONE,Y16-24,F,AL,2020,18.7,
PC,NONE,Y16-24,F,AL,2019,25.7,
PC,NONE,Y16-24,F,AL,2018,28.2,
PC,NONE,Y16-24,F,AL,2017,21.9,
PC,NONE,Y16-24,F,AT,2020,5.2,
PC,NONE,Y16-24,F,AT,2019,5.7,
PC,NONE,Y16-24,F,AT,2018,4.7,
PC,NONE,Y16-24,F,AT,2017,7.8,
PC,NONE,Y16-24,F,AT,2016,5.9,
PC,NONE,Y16-24,F,AT,2015,7.0,
PC,NONE,Y16-24,F,AT,2014,4.0,
PC,NONE,Y16-24,F,AT,2013,6.7,
PC,NONE,Y16-24,F,AT,2012,4.1,
PC,NONE,Y16-24,F,AT,2011,5.4,
PC,NONE,Y16-24,F,AT,2010,6.8,
PC,NONE,Y16-24,F,BE,2020,3.9,
PC,NONE,Y16-24,F,BE,2019,2.9,b
PC,NONE,Y16-24,F,BE,2018,3.7,
PC,NONE,Y16-24,F,BE,2017,4.6,
PC,NONE,Y16-24,F,BE,2016,3.6,b
PC,NONE,Y16-24,F,BE,2015,0.6,
PC,NONE,Y16-24,F,BE,2014,1.6,
PC,NONE,Y16-24,F,BE,2013,1.0,
PC,NONE,Y16-24,F,BE,2012,0.5,
PC,NONE,Y16-24,F,BE,2011,1.5,
PC,NONE,Y16-24,F,BE,2010,2.6,
PC,NONE,Y16-24,F,BG,2020,14.3,
PC,NONE,Y16-24,F,BG,2019,16.9,
PC,NONE,Y16-24,F,BG,2018,16.9,
PC,NONE,Y16-24,F,BG,2017,17.9,
PC,NONE,Y16-24,F,BG,2016,18.0,
PC,NONE,Y16-24,F,BG,2015,19.3,
PC,NONE,Y16-24,F,BG,2014,16.5,
PC,NONE,Y16-24,F,BG,2013,16.4,
PC,NONE,Y16-24,F,BG,2012,17.9,
PC,NONE,Y16-24,F,BG,2011,21.2,
PC,NONE,Y16-24,F,BG,2010,20.6,
PC,NONE,Y16-24,F,CH,2020,1.7,
PC,NONE,Y16-24,F,CH,2019,1.7,
PC,NONE,Y16-24,F,CH,2018,7.9,
PC,NONE,Y16-24,F,CH,2017,3.2,
PC,NONE,Y16-24,F,CH,2016,3.9,
PC,NONE,Y16-24,F,CH,2015,3.0,
PC,NONE,Y16-24,F,CH,2014,2.0,
PC,NONE,Y16-24,F,CH,2013,2.5,
PC,NONE,Y16-24,F,CH,2012,4.6,
PC,NONE,Y16-24,F,CH,2011,4.7,
PC,NONE,Y16-24,F,CH,2010,2.3,
PC,NONE,Y16-24,F,CY,2020,3.8,
PC,NONE,Y16-24,F,CY,2019,2.0,
PC,NONE,Y16-24,F,CY,2018,2.4,
PC,NONE,Y16-24,F,CY,2017,2.0,
PC,NONE,Y16-24,F,CY,2016,3.7,
PC,NONE,Y16-24,F,CY,2015,0.6,
PC,NONE,Y16-24,F,CY,2014,1.8,
PC,NONE,Y16-24,F,CY,2013,3.2,
PC,NONE,Y16-24,F,CY,2012,2.7,
PC,NONE,Y16-24,F,CY,2011,3.3,
PC,NONE,Y16-24,F,CY,2010,2.5,
PC,NONE,Y16-24,F,CZ,2020,5.1,
PC,NONE,Y16-24,F,CZ,2019,3.0,
PC,NONE,Y16-24,F,CZ,2018,2.8,
PC,NONE,Y16-24,F,CZ,2017,3.9,
PC,NONE,Y16-24,F,CZ,2016,4.9,
PC,NONE,Y16-24,F,CZ,2015,4.2,
PC,NONE,Y16-24,F,CZ,2014,4.3,
PC,NONE,Y16-24,F,CZ,2013,5.4,
PC,NONE,Y16-24,F,CZ,2012,5.8,
PC,NONE,Y16-24,F,CZ,2011,6.9,
PC,NONE,Y16-24,F,CZ,2010,5.4,
PC,NONE,Y16-24,F,DE,2020,3.7,b
PC,NONE,Y16-24,F,DE,2019,3.1,
PC,NONE,Y16-24,F,DE,2018,3.9,
PC,NONE,Y16-24,F,DE,2017,3.2,
PC,NONE,Y16-24,F,DE,2016,3.2,
PC,NONE,Y16-24,F,DE,2015,2.8,
PC,NONE,Y16-24,F,DE,2014,3.1,
PC,NONE,Y16-24,F,DE,2013,3.7,
PC,NONE,Y16-24,F,DE,2012,4.4,
PC,NONE,Y16-24,F,DE,2011,4.3,
PC,NONE,Y16-24,F,DE,2010,4.2,
PC,NONE,Y16-24,F,DK,2020,2.3,
PC,NONE,Y16-24,F,DK,2019,6.6,
PC,NONE,Y16-24,F,DK,2018,4.0,
PC,NONE,Y16-24,F,DK,2017,4.2,
PC,NONE,Y16-24,F,DK,2016,3.4,
PC,NONE,Y16-24,F,DK,2015,6.4,
PC,NONE,Y16-24,F,DK,2014,4.0,
PC,NONE,Y16-24,F,DK,2013,4.5,
PC,NONE,Y16-24,F,DK,2012,3.7,
PC,NONE,Y16-24,F,DK,2011,4.4,
PC,NONE,Y16-24,F,DK,2010,2.8,
PC,NONE,Y16-24,F,EA,2020,7.5,
PC,NONE,Y16-24,F,EA,2019,5.0,e
PC,NONE,Y16-24,F,EA,2018,5.0,e
PC,NONE,Y16-24,F,EA,2017,4.6,e
PC,NONE,Y16-24,F,EA,2016,6.2,e
PC,NONE,Y16-24,F,EA,2015,5.7,e
PC,NONE,Y16-24,F,EA,2014,5.6,e
PC,NONE,Y16-24,F,EA,2013,5.8,e
PC,NONE,Y16-24,F,EA,2012,5.3,e
PC,NONE,Y16-24,F,EA,2011,5.9,e
PC,NONE,Y16-24,F,EA,2010,5.9,e
PC,NONE,Y16-24,F,EA18,2020,7.4,
PC,NONE,Y16-24,F,EA18,2019,5.0,e
PC,NONE,Y16-24,F,EA18,2018,5.0,
PC,NONE,Y16-24,F,EA18,2017,4.5,
PC,NONE,Y16-24,F,EA18,2016,6.1,
PC,NONE,Y16-24,F,EA18,2015,5.6,
PC,NONE,Y16-24,F,EA18,2014,5.6,
PC,NONE,Y16-24,F,EA18,2013,6.0,
PC,NONE,Y16-24,F,EA18,2012,5.4,
PC,NONE,Y16-24,F,EA18,2011,6.0,
PC,NONE,Y16-24,F,EA18,2010,6.1,
PC,NONE,Y16-24,F,EA19,2020,7.5,
PC,NONE,Y16-24,F,EA19,2019,5.0,e
PC,NONE,Y16-24,F,EA19,2018,5.0,
PC,NONE,Y16-24,F,EA19,2017,4.6,
PC,NONE,Y16-24,F,EA19,2016,6.2,
PC,NONE,Y16-24,F,EA19,2015,5.7,
PC,NONE,Y16-24,F,EA19,2014,5.7,
PC,NONE,Y16-24,F,EA19,2013,6.1,
PC,NONE,Y16-24,F,EA19,2012,5.5,
PC,NONE,Y16-24,F,EA19,2011,6.0,
PC,NONE,Y16-24,F,EA19,2010,6.3,
PC,NONE,Y16-24,F,EE,2020,3.2,
PC,NONE,Y16-24,F,EE,2019,5.3,
PC,NONE,Y16-24,F,EE,2018,3.3,
PC,NONE,Y16-24,F,EE,2017,4.0,
PC,NONE,Y16-24,F,EE,2016,4.0,
PC,NONE,Y16-24,F,EE,2015,4.5,
PC,NONE,Y16-24,F,EE,2014,5.3,
PC,NONE,Y16-24,F,EE,2013,6.3,
PC,NONE,Y16-24,F,EE,2012,7.2,
PC,NONE,Y16-24,F,EE,2011,6.9,
PC,NONE,Y16-24,F,EE,2010,14.1,
PC,NONE,Y16-24,F,EL,2020,9.6,
PC,NONE,Y16-24,F,EL,2019,11.1,
PC,NONE,Y16-24,F,EL,2018,10.6,
PC,NONE,Y16-24,F,EL,2017,10.7,
PC,NONE,Y16-24,F,EL,2016,12.2,
PC,NONE,Y16-24,F,EL,2015,12.3,
PC,NONE,Y16-24,F,EL,2014,11.2,
PC,NONE,Y16-24,F,EL,2013,10.8,
PC,NONE,Y16-24,F,EL,2012,10.1,
PC,NONE,Y16-24,F,EL,2011,11.5,
PC,NONE,Y16-24,F,EL,2010,13.2,
PC,NONE,Y16-24,F,ES,2020,6.6,
PC,NONE,Y16-24,F,ES,2019,2.5,
PC,NONE,Y16-24,F,ES,2018,3.0,
PC,NONE,Y16-24,F,ES,2017,1.3,
PC,NONE,Y16-24,F,ES,2016,2.9,
PC,NONE,Y16-24,F,ES,2015,2.7,
PC,NONE,Y16-24,F,ES,2014,2.4,
PC,NONE,Y16-24,F,ES,2013,3.5,
PC,NONE,Y16-24,F,ES,2012,1.9,
PC,NONE,Y16-24,F,ES,2011,2.9,
PC,NONE,Y16-24,F,ES,2010,3.2,
PC,NONE,Y16-24,F,EU,2019,6.2,e
PC,NONE,Y16-24,F,EU,2018,6.2,
PC,NONE,Y16-24,F,EU,2017,6.0,
PC,NONE,Y16-24,F,EU,2016,7.4,
PC,NONE,Y16-24,F,EU,2015,7.5,
PC,NONE,Y16-24,F,EU,2014,7.5,
PC,NONE,Y16-24,F,EU,2013,7.8,
PC,NONE,Y16-24,F,EU,2012,7.9,
PC,NONE,Y16-24,F,EU,2011,8.5,
PC,NONE,Y16-24,F,EU,2010,9.1,
PC,NONE,Y16-24,F,EU27_2007,2019,6.1,e
PC,NONE,Y16-24,F,EU27_2007,2018,6.1,
PC,NONE,Y16-24,F,EU27_2007,2017,5.9,
PC,NONE,Y16-24,F,EU27_2007,2016,7.4,
PC,NONE,Y16-24,F,EU27_2007,2015,7.5,
PC,NONE,Y16-24,F,EU27_2007,2014,7.5,
PC,NONE,Y16-24,F,EU27_2007,2013,7.8,
PC,NONE,Y16-24,F,EU27_2007,2012,7.9,
PC,NONE,Y16-24,F,EU27_2007,2011,8.5,
PC,NONE,Y16-24,F,EU27_2007,2010,9.1,
PC,NONE,Y16-24,F,EU27_2020,2020,8.4,e
PC,NONE,Y16-24,F,EU27_2020,2019,6.5,e
PC,NONE,Y16-24,F,EU27_2020,2018,6.5,e
PC,NONE,Y16-24,F,EU27_2020,2017,6.6,e
PC,NONE,Y16-24,F,EU27_2020,2016,8.2,e
PC,NONE,Y16-24,F,EU27_2020,2015,8.1,e
PC,NONE,Y16-24,F,EU27_2020,2014,8.0,e
PC,NONE,Y16-24,F,EU27_2020,2013,8.6,e
PC,NONE,Y16-24,F,EU27_2020,2012,8.3,e
PC,NONE,Y16-24,F,EU27_2020,2011,9.1,e
PC,NONE,Y16-24,F,EU27_2020,2010,9.4,e
PC,NONE,Y16-24,F,EU28,2019,6.2,e
PC,NONE,Y16-24,F,EU28,2018,6.2,
PC,NONE,Y16-24,F,EU28,2017,6.0,
PC,NONE,Y16-24,F,EU28,2016,7.4,
PC,NONE,Y16-24,F,EU28,2015,7.5,
PC,NONE,Y16-24,F,EU28,2014,7.5,
PC,NONE,Y16-24,F,EU28,2013,7.8,
PC,NONE,Y16-24,F,EU28,2012,7.9,
PC,NONE,Y16-24,F,EU28,2011,8.5,
PC,NONE,Y16-24,F,EU28,2010,9.1,
PC,NONE,Y16-24,F,FI,2020,3.6,
PC,NONE,Y16-24,F,FI,2019,0.6,
PC,NONE,Y16-24,F,FI,2018,3.6,
PC,NONE,Y16-24,F,FI,2017,1.5,
PC,NONE,Y16-24,F,FI,2016,1.9,
PC,NONE,Y16-24,F,FI,2015,1.5,
PC,NONE,Y16-24,F,FI,2014,0.8,
PC,NONE,Y16-24,F,FI,2013,1.6,
PC,NONE,Y16-24,F,FI,2012,0.9,
PC,NONE,Y16-24,F,FI,2011,1.4,
PC,NONE,Y16-24,F,FI,2010,1.4,
PC,NONE,Y16-24,F,FR,2020,9.0,b
PC,NONE,Y16-24,F,FR,2019,4.1,
PC,NONE,Y16-24,F,FR,2018,6.2,
PC,NONE,Y16-24,F,FR,2017,3.8,
PC,NONE,Y16-24,F,FR,2016,5.9,
PC,NONE,Y16-24,F,FR,2015,3.5,
PC,NONE,Y16-24,F,FR,2014,4.6,
PC,NONE,Y16-24,F,FR,2013,4.8,
PC,NONE,Y16-24,F,FR,2012,3.6,
PC,NONE,Y16-24,F,FR,2011,4.6,
PC,NONE,Y16-24,F,FR,2010,5.7,
PC,NONE,Y16-24,F,HR,2020,7.0,
PC,NONE,Y16-24,F,HR,2019,7.7,
PC,NONE,Y16-24,F,HR,2018,9.9,
PC,NONE,Y16-24,F,HR,2017,10.8,
PC,NONE,Y16-24,F,HR,2016,8.2,
PC,NONE,Y16-24,F,HR,2015,9.4,
PC,NONE,Y16-24,F,HR,2014,8.5,
PC,NONE,Y16-24,F,HR,2013,13.4,
PC,NONE,Y16-24,F,HR,2012,15.1,
PC,NONE,Y16-24,F,HR,2011,14.9,
PC,NONE,Y16-24,F,HR,2010,13.8,
PC,NONE,Y16-24,F,HU,2020,11.7,
PC,NONE,Y16-24,F,HU,2019,13.1,
PC,NONE,Y16-24,F,HU,2018,11.5,
PC,NONE,Y16-24,F,HU,2017,23.2,
PC,NONE,Y16-24,F,HU,2016,22.5,
PC,NONE,Y16-24,F,HU,2015,23.0,
PC,NONE,Y16-24,F,HU,2014,25.8,
PC,NONE,Y16-24,F,HU,2013,24.4,
PC,NONE,Y16-24,F,HU,2012,22.1,
PC,NONE,Y16-24,F,HU,2011,20.6,
PC,NONE,Y16-24,F,HU,2010,24.0,
PC,NONE,Y16-24,F,IE,2020,2.2,b
PC,NONE,Y16-24,F,IE,2019,3.2,
PC,NONE,Y16-24,F,IE,2018,1.8,
PC,NONE,Y16-24,F,IE,2017,1.6,
PC,NONE,Y16-24,F,IE,2016,3.4,
PC,NONE,Y16-24,F,IE,2015,2.5,
PC,NONE,Y16-24,F,IE,2014,3.0,
PC,NONE,Y16-24,F,IE,2013,4.0,
PC,NONE,Y16-24,F,IE,2012,1.6,
PC,NONE,Y16-24,F,IE,2011,1.2,
PC,NONE,Y16-24,F,IE,2010,0.6,
PC,NONE,Y16-24,F,IS,2018,0.7,
PC,NONE,Y16-24,F,IS,2017,2.3,
PC,NONE,Y16-24,F,IS,2016,0.7,
PC,NONE,Y16-24,F,IS,2015,4.6,
PC,NONE,Y16-24,F,IS,2014,0.4,
PC,NONE,Y16-24,F,IS,2013,2.8,
PC,NONE,Y16-24,F,IS,2012,2.9,
PC,NONE,Y16-24,F,IS,2011,2.3,
PC,NONE,Y16-24,F,IS,2010,1.6,
PC,NONE,Y16-24,F,IT,2020,11.7,
PC,NONE,Y16-24,F,IT,2019,7.7,
PC,NONE,Y16-24,F,IT,2018,5.9,
PC,NONE,Y16-24,F,IT,2017,7.8,
PC,NONE,Y16-24,F,IT,2016,12.1,
PC,NONE,Y16-24,F,IT,2015,13.6,
PC,NONE,Y16-24,F,IT,2014,13.4,
PC,NONE,Y16-24,F,IT,2013,12.4,
PC,NONE,Y16-24,F,IT,2012,12.9,
PC,NONE,Y16-24,F,IT,2011,13.2,
PC,NONE,Y16-24,F,IT,2010,11.0,
PC,NONE,Y16-24,F,LT,2020,12.8,
PC,NONE,Y16-24,F,LT,2019,9.6,
PC,NONE,Y16-24,F,LT,2018,7.0,
PC,NONE,Y16-24,F,LT,2017,11.4,
PC,NONE,Y16-24,F,LT,2016,12.1,
PC,NONE,Y16-24,F,LT,2015,14.4,
PC,NONE,Y16-24,F,LT,2014,14.9,
PC,NONE,Y16-24,F,LT,2013,14.9,
PC,NONE,Y16-24,F,LT,2012,9.8,
PC,NONE,Y16-24,F,LT,2011,9.5,
PC,NONE,Y16-24,F,LT,2010,19.8,
PC,NONE,Y16-24,F,LU,2020,1.7,b
PC,NONE,Y16-24,F,LU,2019,1.6,
PC,NONE,Y16-24,F,LU,2018,3.9,
PC,NONE,Y16-24,F,LU,2017,4.1,
PC,NONE,Y16-24,F,LU,2016,3.5,
PC,NONE,Y16-24,F,LU,2015,3.6,
PC,NONE,Y16-24,F,LU,2014,2.9,
PC,NONE,Y16-24,F,LU,2013,3.6,
PC,NONE,Y16-24,F,LU,2012,2.1,
PC,NONE,Y16-24,F,LU,2011,1.6,
PC,NONE,Y16-24,F,LU,2010,2.5,
PC,NONE,Y16-24,F,LV,2020,15.2,
PC,NONE,Y16-24,F,LV,2019,18.9,
PC,NONE,Y16-24,F,LV,2018,18.4,
PC,NONE,Y16-24,F,LV,2017,21.8,
PC,NONE,Y16-24,F,LV,2016,20.4,
PC,NONE,Y16-24,F,LV,2015,20.7,
PC,NONE,Y16-24,F,LV,2014,24.3,
PC,NONE,Y16-24,F,LV,2013,22.2,
PC,NONE,Y16-24,F,LV,2012,23.3,
PC,NONE,Y16-24,F,LV,2011,22.9,
PC,NONE,Y16-24,F,LV,2010,23.1,
PC,NONE,Y16-24,F,ME,2020,18.8,
PC,NONE,Y16-24,F,ME,2019,21.6,
PC,NONE,Y16-24,F,ME,2018,22.9,
PC,NONE,Y16-24,F,ME,2017,20.0,
PC,NONE,Y16-24,F,ME,2016,21.3,
PC,NONE,Y16-24,F,ME,2015,30.0,
PC,NONE,Y16-24,F,ME,2014,25.9,
PC,NONE,Y16-24,F,ME,2013,28.9,
PC,NONE,Y16-24,F,MK,2020,11.4,
PC,NONE,Y16-24,F,MK,2019,12.2,
PC,NONE,Y16-24,F,MK,2018,11.1,
PC,NONE,Y16-24,F,MK,2017,13.6,
PC,NONE,Y16-24,F,MK,2016,12.5,
PC,NONE,Y16-24,F,MK,2015,9.9,
PC,NONE,Y16-24,F,MK,2014,13.4,
PC,NONE,Y16-24,F,MK,2013,11.4,
PC,NONE,Y16-24,F,MK,2012,13.5,
PC,NONE,Y16-24,F,MK,2011,15.6,
PC,NONE,Y16-24,F,MT,2020,2.2,
PC,NONE,Y16-24,F,MT,2019,2.6,
PC,NONE,Y16-24,F,MT,2018,1.7,
PC,NONE,Y16-24,F,MT,2017,2.8,
PC,NONE,Y16-24,F,MT,2016,1.9,
PC,NONE,Y16-24,F,MT,2015,1.5,
PC,NONE,Y16-24,F,MT,2014,2.9,
PC,NONE,Y16-24,F,MT,2013,2.5,
PC,NONE,Y16-24,F,MT,2012,2.1,
PC,NONE,Y16-24,F,MT,2011,3.8,
PC,NONE,Y16-24,F,MT,2010,3.3,
PC,NONE,Y16-24,F,NL,2020,4.4,
PC,NONE,Y16-24,F,NL,2019,3.2,
PC,NONE,Y16-24,F,NL,2018,2.0,
PC,NONE,Y16-24,F,NL,2017,2.5,
PC,NONE,Y16-24,F,NL,2016,5.1,
PC,NONE,Y16-24,F,NL,2015,7.6,
PC,NONE,Y16-24,F,NL,2014,1.5,
PC,NONE,Y16-24,F,NL,2013,0.8,
PC,NONE,Y16-24,F,NL,2012,2.2,
PC,NONE,Y16-24,F,NL,2011,3.2,
PC,NONE,Y16-24,F,NL,2010,1.8,
PC,NONE,Y16-24,F,NO,2020,3.1,
PC,NONE,Y16-24,F,NO,2019,4.1,
PC,NONE,Y16-24,F,NO,2018,2.1,
PC,NONE,Y16-24,F,NO,2017,2.2,
PC,NONE,Y16-24,F,NO,2016,3.5,
PC,NONE,Y16-24,F,NO,2015,1.5,
PC,NONE,Y16-24,F,NO,2014,2.9,
PC,NONE,Y16-24,F,NO,2013,4.1,
PC,NONE,Y16-24,F,NO,2012,2.1,
PC,NONE,Y16-24,F,NO,2011,6.3,
PC,NONE,Y16-24,F,NO,2010,5.8,
PC,NONE,Y16-24,F,PL,2019,9.8,
PC,NONE,Y16-24,F,PL,2018,9.5,
PC,NONE,Y16-24,F,PL,2017,11.5,
PC,NONE,Y16-24,F,PL,2016,11.6,
PC,NONE,Y16-24,F,PL,2015,11.9,
PC,NONE,Y16-24,F,PL,2014,9.9,
PC,NONE,Y16-24,F,PL,2013,11.9,
PC,NONE,Y16-24,F,PL,2012,13.4,
PC,NONE,Y16-24,F,PL,2011,13.6,
PC,NONE,Y16-24,F,PL,2010,16.0,
PC,NONE,Y16-24,F,PT,2020,6.2,
PC,NONE,Y16-24,F,PT,2019,6.3,
PC,NONE,Y16-24,F,PT,2018,8.7,
PC,NONE,Y16-24,F,PT,2017,7.4,
PC,NONE,Y16-24,F,PT,2016,8.7,
PC,NONE,Y16-24,F,PT,2015,8.0,
PC,NONE,Y16-24,F,PT,2014,8.9,
PC,NONE,Y16-24,F,PT,2013,10.3,
PC,NONE,Y16-24,F,PT,2012,5.6,
PC,NONE,Y16-24,F,PT,2011,6.4,
PC,NONE,Y16-24,F,PT,2010,9.1,
PC,NONE,Y16-24,F,RO,2020,20.6,
PC,NONE,Y16-24,F,RO,2019,22.0,
PC,NONE,Y16-24,F,RO,2018,23.5,
PC,NONE,Y16-24,F,RO,2017,23.3,
PC,NONE,Y16-24,F,RO,2016,30.0,
PC,NONE,Y16-24,F,RO,2015,31.1,
PC,NONE,Y16-24,F,RO,2014,29.5,
PC,NONE,Y16-24,F,RO,2013,31.5,
PC,NONE,Y16-24,F,RO,2012,31.5,
PC,NONE,Y16-24,F,RO,2011,34.4,
PC,NONE,Y16-24,F,RO,2010,33.1,
PC,NONE,Y16-24,F,RS,2020,8.6,
PC,NONE,Y16-24,F,RS,2019,19.8,
PC,NONE,Y16-24,F,RS,2018,13.9,
PC,NONE,Y16-24,F,RS,2017,19.3,
PC,NONE,Y16-24,F,RS,2016,17.8,
PC,NONE,Y16-24,F,RS,2015,20.0,
PC,NONE,Y16-24,F,RS,2014,20.5,
PC,NONE,Y16-24,F,RS,2013,22.4,
PC,NONE,Y16-24,F,SE,2020,3.2,
PC,NONE,Y16-24,F,SE,2019,5.5,
PC,NONE,Y16-24,F,SE,2018,2.6,
PC,NONE,Y16-24,F,SE,2017,2.3,
PC,NONE,Y16-24,F,SE,2016,3.3,
PC,NONE,Y16-24,F,SE,2015,4.6,
PC,NONE,Y16-24,F,SE,2014,3.5,
PC,NONE,Y16-24,F,SE,2013,3.7,
PC,NONE,Y16-24,F,SE,2012,4.1,
PC,NONE,Y16-24,F,SE,2011,5.5,
PC,NONE,Y16-24,F,SE,2010,3.6,
PC,NONE,Y16-24,F,SI,2020,5.5,
PC,NONE,Y16-24,F,SI,2019,8.6,
PC,NONE,Y16-24,F,SI,2018,4.8,
PC,NONE,Y16-24,F,SI,2017,7.5,
PC,NONE,Y16-24,F,SI,2016,8.9,
PC,NONE,Y16-24,F,SI,2015,8.8,
PC,NONE,Y16-24,F,SI,2014,11.5,
PC,NONE,Y16-24,F,SI,2013,11.2,
PC,NONE,Y16-24,F,SI,2012,12.3,
PC,NONE,Y16-24,F,SI,2011,13.7,
PC,NONE,Y16-24,F,SI,2010,20.8,
PC,NONE,Y16-24,F,SK,2020,4.1,
PC,NONE,Y16-24,F,SK,2019,6.9,
PC,NONE,Y16-24,F,SK,2018,5.8,
PC,NONE,Y16-24,F,SK,2017,9.5,
PC,NONE,Y16-24,F,SK,2016,9.3,
PC,NONE,Y16-24,F,SK,2015,6.2,
PC,NONE,Y16-24,F,SK,2014,4.3,
PC,NONE,Y16-24,F,SK,2013,5.8,
PC,NONE,Y16-24,F,SK,2012,5.4,
PC,NONE,Y16-24,F,SK,2011,5.4,
PC,NONE,Y16-24,F,SK,2010,4.6,
PC,NONE,Y16-24,F,TR,2020,30.6,
PC,NONE,Y16-24,F,TR,2019,32.3,
PC,NONE,Y16-24,F,TR,2018,31.9,
PC,NONE,Y16-24,F,TR,2017,32.8,
PC,NONE,Y16-24,F,TR,2016,36.1,
