unit,hlth_pb,worktime,age,sex,time\geo,i,v,flag
THS,PB1040,FT,TOTAL,F,2011,EU28,6485.2,
THS,PB1040,FT,TOTAL,F,2011,BE,79.881,
THS,PB1040,FT,TOTAL,F,2011,BG,79.88,
THS,PB1040,FT,TOTAL,F,2011,CZ,84.21,
THS,PB1040,FT,TOTAL,F,2011,DK,69.462,
THS,PB1040,FT,TOTAL,F,2011,DE,771.066,
THS,PB1040,FT,TOTAL,F,2011,EE,40.307,
THS,PB1040,FT,TOTAL,F,2011,IE,12.141,
THS,PB1040,FT,TOTAL,F,2011,EL,64.058,
THS,PB1040,FT,TOTAL,F,2011,ES,376.156,
THS,PB1040,FT,TOTAL,F,2011,FR,1569.734,
THS,PB1040,FT,TOTAL,F,2011,HR,47.613,
THS,PB1040,FT,TOTAL,F,2011,IT,463.762,
THS,PB1040,FT,TOTAL,F,2011,CY,9.833,
THS,PB1040,FT,TOTAL,F,2011,LV,65.572,
THS,PB1040,FT,TOTAL,F,2011,LT,57.084,
THS,PB1040,FT,TOTAL,F,2011,LU,13.219,
THS,PB1040,FT,TOTAL,F,2011,HU,79.916,
THS,PB1040,FT,TOTAL,F,2011,MT,1.656,u
THS,PB1040,FT,TOTAL,F,2011,NL,59.328,
THS,PB1040,FT,TOTAL,F,2011,AT,218.587,
THS,PB1040,FT,TOTAL,F,2011,PL,488.635,
THS,PB1040,FT,TOTAL,F,2011,PT,263.223,
THS,PB1040,FT,TOTAL,F,2011,RO,195.481,
THS,PB1040,FT,TOTAL,F,2011,SI,48.554,
THS,PB1040,FT,TOTAL,F,2011,SK,52.422,
THS,PB1040,FT,TOTAL,F,2011,FI,200.568,
THS,PB1040,FT,TOTAL,F,2011,SE,197.689,
THS,PB1040,FT,TOTAL,F,2011,IS,9.022,
THS,PB1040,FT,TOTAL,F,2011,CH,124.36,
THS,PB1040,FT,TOTAL,F,2011,UK,875.16,
THS,PB1040,FT,TOTAL,F,2011,TR,827.483,
THS,PB1040,FT,TOTAL,M,2011,EU28,9074.169,
THS,PB1040,FT,TOTAL,M,2011,BE,175.973,
THS,PB1040,FT,TOTAL,M,2011,BG,66.735,
THS,PB1040,FT,TOTAL,M,2011,CZ,117.138,
THS,PB1040,FT,TOTAL,M,2011,DK,90.557,
THS,PB1040,FT,TOTAL,M,2011,DE,1654.385,
THS,PB1040,FT,TOTAL,M,2011,EE,32.572,
THS,PB1040,FT,TOTAL,M,2011,IE,20.909,
THS,PB1040,FT,TOTAL,M,2011,EL,86.318,
THS,PB1040,FT,TOTAL,M,2011,ES,486.978,
THS,PB1040,FT,TOTAL,M,2011,FR,1975.823,
THS,PB1040,FT,TOTAL,M,2011,HR,65.914,
THS,PB1040,FT,TOTAL,M,2011,IT,708.213,
THS,PB1040,FT,TOTAL,M,2011,CY,11.469,
THS,PB1040,FT,TOTAL,M,2011,LV,44.323,
THS,PB1040,FT,TOTAL,M,2011,LT,38.051,
THS,PB1040,FT,TOTAL,M,2011,LU,21.803,
THS,PB1040,FT,TOTAL,M,2011,HU,75.132,
THS,PB1040,FT,TOTAL,M,2011,MT,3.865,
THS,PB1040,FT,TOTAL,M,2011,NL,192.11,
THS,PB1040,FT,TOTAL,M,2011,AT,397.448,
THS,PB1040,FT,TOTAL,M,2011,PL,553.464,
THS,PB1040,FT,TOTAL,M,2011,PT,248.537,
THS,PB1040,FT,TOTAL,M,2011,RO,193.918,
THS,PB1040,FT,TOTAL,M,2011,SI,57.603,
THS,PB1040,FT,TOTAL,M,2011,SK,58.594,
THS,PB1040,FT,TOTAL,M,2011,FI,183.628,
THS,PB1040,FT,TOTAL,M,2011,SE,225.315,
THS,PB1040,FT,TOTAL,M,2011,IS,10.224,
THS,PB1040,FT,TOTAL,M,2011,CH,249.379,
THS,PB1040,FT,TOTAL,M,2011,UK,1287.393,
THS,PB1040,FT,TOTAL,M,2011,TR,1956.786,
THS,PB1040,FT,TOTAL,T,2011,EU28,15559.369,
THS,PB1040,FT,TOTAL,T,2011,BE,255.854,
THS,PB1040,FT,TOTAL,T,2011,BG,146.615,
THS,PB1040,FT,TOTAL,T,2011,CZ,201.347,
THS,PB1040,FT,TOTAL,T,2011,DK,160.019,
THS,PB1040,FT,TOTAL,T,2011,DE,2425.451,
THS,PB1040,FT,TOTAL,T,2011,EE,72.879,
THS,PB1040,FT,TOTAL,T,2011,IE,33.05,
THS,PB1040,FT,TOTAL,T,2011,EL,150.377,
THS,PB1040,FT,TOTAL,T,2011,ES,863.135,
