unit,hlth_pb,age,sex,time\geo,i,v
PC,PB1040,TOTAL,F,2011,EU28 ,12.0 
PC,PB1040,TOTAL,F,2011,BE ,11.4 
PC,PB1040,TOTAL,F,2011,BG ,13.6 u
PC,PB1040,TOTAL,F,2011,CZ ,17.1 
PC,PB1040,TOTAL,F,2011,DK ,10.4 
PC,PB1040,TOTAL,F,2011,DE ,12.0 
PC,PB1040,TOTAL,F,2011,EE ,14.6 
PC,PB1040,TOTAL,F,2011,IE ,16.0 
PC,PB1040,TOTAL,F,2011,EL ,16.2 
PC,PB1040,TOTAL,F,2011,ES ,23.1 
PC,PB1040,TOTAL,F,2011,FR ,13.8 
PC,PB1040,TOTAL,F,2011,HR ,15.5 u
PC,PB1040,TOTAL,F,2011,IT ,7.5 
PC,PB1040,TOTAL,F,2011,CY ,10.3 u
PC,PB1040,TOTAL,F,2011,LV ,14.0 
PC,PB1040,TOTAL,F,2011,LT ,21.6 
PC,PB1040,TOTAL,F,2011,LU ,6.1 
PC,PB1040,TOTAL,F,2011,HU ,18.6 
PC,PB1040,TOTAL,F,2011,NL ,7 u
PC,PB1040,TOTAL,F,2011,AT ,5.9 
PC,PB1040,TOTAL,F,2011,PL ,11.0 
PC,PB1040,TOTAL,F,2011,PT ,14.6 
PC,PB1040,TOTAL,F,2011,RO ,6.7 
PC,PB1040,TOTAL,F,2011,SI ,9 u
PC,PB1040,TOTAL,F,2011,SK ,18.6 
PC,PB1040,TOTAL,F,2011,FI ,7.6 
PC,PB1040,TOTAL,F,2011,SE ,9.3 
PC,PB1040,TOTAL,F,2011,IS ,7.8 
PC,PB1040,TOTAL,F,2011,CH ,6.1 
PC,PB1040,TOTAL,F,2011,UK ,9.3 
PC,PB1040,TOTAL,F,2011,TR ,6.5 
PC,PB1040,TOTAL,M,2011,EU28 ,12.2 
PC,PB1040,TOTAL,M,2011,BE ,9.0 
PC,PB1040,TOTAL,M,2011,BG ,15.1 u
PC,PB1040,TOTAL,M,2011,CZ ,14.5 
PC,PB1040,TOTAL,M,2011,DK ,11.3 
PC,PB1040,TOTAL,M,2011,DE ,12.4 
PC,PB1040,TOTAL,M,2011,EE ,23.2 
PC,PB1040,TOTAL,M,2011,IE ,19.5 
PC,PB1040,TOTAL,M,2011,EL ,13.3 
PC,PB1040,TOTAL,M,2011,ES ,23.6 
PC,PB1040,TOTAL,M,2011,FR ,10.5 
PC,PB1040,TOTAL,M,2011,HR ,16.9 u
PC,PB1040,TOTAL,M,2011,IT ,8.6 
PC,PB1040,TOTAL,M,2011,CY ,10.1 u
PC,PB1040,TOTAL,M,2011,LV ,22.4 
PC,PB1040,TOTAL,M,2011,LT ,26.5 
PC,PB1040,TOTAL,M,2011,LU ,3.6 u
PC,PB1040,TOTAL,M,2011,HU ,20.2 
PC,PB1040,TOTAL,M,2011,NL ,10.4 u
PC,PB1040,TOTAL,M,2011,AT ,6.1 
PC,PB1040,TOTAL,M,2011,PL ,12.0 
PC,PB1040,TOTAL,M,2011,PT ,14.2 
PC,PB1040,TOTAL,M,2011,RO ,9.6 
PC,PB1040,TOTAL,M,2011,SI ,10.7 u
PC,PB1040,TOTAL,M,2011,SK ,19.4 
PC,PB1040,TOTAL,M,2011,FI ,10.8 
PC,PB1040,TOTAL,M,2011,SE ,9.9 
PC,PB1040,TOTAL,M,2011,IS ,12.2 
PC,PB1040,TOTAL,M,2011,CH ,6.1 
PC,PB1040,TOTAL,M,2011,UK ,12.0 
PC,PB1040,TOTAL,M,2011,TR ,8.1 
PC,PB1040,TOTAL,T,2011,EU28 ,12.1 
PC,PB1040,TOTAL,T,2011,BE ,10.1 
PC,PB1040,TOTAL,T,2011,BG ,14.3 
PC,PB1040,TOTAL,T,2011,CZ ,15.7 
PC,PB1040,TOTAL,T,2011,DK ,10.8 
PC,PB1040,TOTAL,T,2011,DE ,12.2 
PC,PB1040,TOTAL,T,2011,EE ,18.4 
PC,PB1040,TOTAL,T,2011,IE ,17.9 
PC,PB1040,TOTAL,T,2011,EL ,14.6 
PC,PB1040,TOTAL,T,2011,ES ,23.3 
PC,PB1040,TOTAL,T,2011,FR ,12.3 
PC,PB1040,TOTAL,T,2011,HR ,16.3 u
PC,PB1040,TOTAL,T,2011,IT ,8.1 
PC,PB1040,TOTAL,T,2011,CY ,10.2 
PC,PB1040,TOTAL,T,2011,LV ,17.5 
PC,PB1040,TOTAL,T,2011,LT ,23.6 
PC,PB1040,TOTAL,T,2011,LU ,4.9 
PC,PB1040,TOTAL,T,2011,HU ,19.4 
PC,PB1040,TOTAL,T,2011,NL ,8.6 
