unit,lev_limit,age,sex,geo,time,v,flag
PC,NONE,Y16-24,F,AL,2020,9.6,
PC,NONE,Y16-24,F,AL,2019,11.0,
PC,NONE,Y16-24,F,AL,2018,12.6,
PC,NONE,Y16-24,F,AL,2017,12.0,
PC,NONE,Y16-24,F,AT,2021,5.6,
PC,NONE,Y16-24,F,AT,2020,6.0,
PC,NONE,Y16-24,F,AT,2019,3.8,
PC,NONE,Y16-24,F,AT,2018,5.9,
PC,NONE,Y16-24,F,AT,2017,4.8,
PC,NONE,Y16-24,F,AT,2016,4.8,
PC,NONE,Y16-24,F,AT,2015,3.5,
PC,NONE,Y16-24,F,AT,2014,7.4,
PC,NONE,Y16-24,F,AT,2013,5.0,
PC,NONE,Y16-24,F,AT,2012,6.4,
PC,NONE,Y16-24,F,AT,2011,5.4,
PC,NONE,Y16-24,F,AT,2010,6.2,
PC,NONE,Y16-24,F,BE,2021,10.4,
PC,NONE,Y16-24,F,BE,2020,12.0,
PC,NONE,Y16-24,F,BE,2019,14.7,b
PC,NONE,Y16-24,F,BE,2018,13.0,
PC,NONE,Y16-24,F,BE,2017,13.3,
PC,NONE,Y16-24,F,BE,2016,14.3,
PC,NONE,Y16-24,F,BE,2015,12.7,
PC,NONE,Y16-24,F,BE,2014,12.8,
PC,NONE,Y16-24,F,BE,2013,12.2,
PC,NONE,Y16-24,F,BE,2012,12.9,
PC,NONE,Y16-24,F,BE,2011,10.6,
PC,NONE,Y16-24,F,BE,2010,8.8,
PC,NONE,Y16-24,F,BG,2021,12.6,
PC,NONE,Y16-24,F,BG,2020,12.8,
PC,NONE,Y16-24,F,BG,2019,11.8,
PC,NONE,Y16-24,F,BG,2018,10.1,
PC,NONE,Y16-24,F,BG,2017,11.3,
PC,NONE,Y16-24,F,BG,2016,11.0,
PC,NONE,Y16-24,F,BG,2015,14.3,
PC,NONE,Y16-24,F,BG,2014,12.2,
PC,NONE,Y16-24,F,BG,2013,13.4,
PC,NONE,Y16-24,F,BG,2012,10.9,
PC,NONE,Y16-24,F,BG,2011,10.5,
PC,NONE,Y16-24,F,BG,2010,7.3,
PC,NONE,Y16-24,F,CH,2020,6.5,
PC,NONE,Y16-24,F,CH,2019,6.0,
PC,NONE,Y16-24,F,CH,2018,4.5,
PC,NONE,Y16-24,F,CH,2017,1.8,
PC,NONE,Y16-24,F,CH,2016,2.0,
PC,NONE,Y16-24,F,CH,2015,2.4,
PC,NONE,Y16-24,F,CH,2014,3.3,
PC,NONE,Y16-24,F,CH,2013,3.7,
PC,NONE,Y16-24,F,CH,2012,2.3,
PC,NONE,Y16-24,F,CH,2011,4.2,
PC,NONE,Y16-24,F,CH,2010,3.4,
PC,NONE,Y16-24,F,CY,2020,6.3,
PC,NONE,Y16-24,F,CY,2019,8.6,
PC,NONE,Y16-24,F,CY,2018,9.2,
PC,NONE,Y16-24,F,CY,2017,8.4,
PC,NONE,Y16-24,F,CY,2016,11.2,
PC,NONE,Y16-24,F,CY,2015,9.5,
PC,NONE,Y16-24,F,CY,2014,9.2,
PC,NONE,Y16-24,F,CY,2013,6.2,
PC,NONE,Y16-24,F,CY,2012,5.2,
PC,NONE,Y16-24,F,CY,2011,2.9,
PC,NONE,Y16-24,F,CY,2010,3.3,
PC,NONE,Y16-24,F,CZ,2021,3.9,
PC,NONE,Y16-24,F,CZ,2020,6.5,
PC,NONE,Y16-24,F,CZ,2019,5.7,
PC,NONE,Y16-24,F,CZ,2018,1.8,
PC,NONE,Y16-24,F,CZ,2017,7.0,
PC,NONE,Y16-24,F,CZ,2016,9.8,
PC,NONE,Y16-24,F,CZ,2015,7.4,
PC,NONE,Y16-24,F,CZ,2014,5.5,
PC,NONE,Y16-24,F,CZ,2013,4.6,
PC,NONE,Y16-24,F,CZ,2012,6.1,
PC,NONE,Y16-24,F,CZ,2011,7.2,
PC,NONE,Y16-24,F,CZ,2010,4.5,
PC,NONE,Y16-24,F,DE,2021,8.6,
PC,NONE,Y16-24,F,DE,2020,6.6,b
PC,NONE,Y16-24,F,DE,2019,5.7,
PC,NONE,Y16-24,F,DE,2018,4.9,
PC,NONE,Y16-24,F,DE,2017,4.9,
PC,NONE,Y16-24,F,DE,2016,5.8,
PC,NONE,Y16-24,F,DE,2015,4.9,
PC,NONE,Y16-24,F,DE,2014,6.5,
PC,NONE,Y16-24,F,DE,2013,5.8,
PC,NONE,Y16-24,F,DE,2012,6.4,
PC,NONE,Y16-24,F,DE,2011,8.4,
PC,NONE,Y16-24,F,DE,2010,8.3,
PC,NONE,Y16-24,F,DK,2021,11.8,
PC,NONE,Y16-24,F,DK,2020,7.8,
PC,NONE,Y16-24,F,DK,2019,6.6,
PC,NONE,Y16-24,F,DK,2018,9.0,
PC,NONE,Y16-24,F,DK,2017,6.6,
PC,NONE,Y16-24,F,DK,2016,11.2,
PC,NONE,Y16-24,F,DK,2015,8.3,
PC,NONE,Y16-24,F,DK,2014,11.6,
PC,NONE,Y16-24,F,DK,2013,6.8,
PC,NONE,Y16-24,F,DK,2012,7.3,
PC,NONE,Y16-24,F,DK,2011,6.2,
PC,NONE,Y16-24,F,DK,2010,7.7,
PC,NONE,Y16-24,F,EA,2020,8.7,
PC,NONE,Y16-24,F,EA,2019,8.4,
PC,NONE,Y16-24,F,EA,2018,9.1,e
PC,NONE,Y16-24,F,EA,2017,9.2,e
PC,NONE,Y16-24,F,EA,2016,10.7,e
