unit,hlth_pb,age,sex,time\geo,i,v
PC,PB1040,Y15-24,F,2011,EU28,34.3
PC,PB1040,Y15-24,F,2011,BE,19.5 u
PC,PB1040,Y15-24,F,2011,CZ,22.6 u
PC,PB1040,Y15-24,F,2011,DK,48.1
PC,PB1040,Y15-24,F,2011,DE,41.8
PC,PB1040,Y15-24,F,2011,ES,27.7
PC,PB1040,Y15-24,F,2011,FR,30.7 u
PC,PB1040,Y15-24,F,2011,IT,11.5 u
PC,PB1040,Y15-24,F,2011,LU,23.7 u
PC,PB1040,Y15-24,F,2011,NL,41.1 u
PC,PB1040,Y15-24,F,2011,AT,47.3
PC,PB1040,Y15-24,F,2011,PL,13.2 u
PC,PB1040,Y15-24,F,2011,FI,33.6
PC,PB1040,Y15-24,F,2011,SE,40.2
PC,PB1040,Y15-24,F,2011,IS,70.5
PC,PB1040,Y15-24,F,2011,CH,62.3
PC,PB1040,Y15-24,F,2011,UK,44.1
PC,PB1040,Y15-24,F,2011,TR,22.0
PC,PB1040,Y15-24,M,2011,EU28,33.5
PC,PB1040,Y15-24,M,2011,BE,24.4 u
PC,PB1040,Y15-24,M,2011,CZ,19.2 u
PC,PB1040,Y15-24,M,2011,DK,39.4
PC,PB1040,Y15-24,M,2011,DE,43.8
PC,PB1040,Y15-24,M,2011,ES,23.1
PC,PB1040,Y15-24,M,2011,FR,39.3 u
PC,PB1040,Y15-24,M,2011,IT,14.3
PC,PB1040,Y15-24,M,2011,CY,25.3 u
PC,PB1040,Y15-24,M,2011,LU,32.9 u
PC,PB1040,Y15-24,M,2011,NL,43.3 u
PC,PB1040,Y15-24,M,2011,AT,52.2
PC,PB1040,Y15-24,M,2011,PL,17.7 u
PC,PB1040,Y15-24,M,2011,FI,38.4
PC,PB1040,Y15-24,M,2011,SE,32.0
PC,PB1040,Y15-24,M,2011,IS,53.5
PC,PB1040,Y15-24,M,2011,CH,69.3
PC,PB1040,Y15-24,M,2011,UK,35.7
PC,PB1040,Y15-24,M,2011,TR,39.2
PC,PB1040,Y15-24,T,2011,EU28,33.9
PC,PB1040,Y15-24,T,2011,BE,22.6
PC,PB1040,Y15-24,T,2011,CZ,20.9 u
PC,PB1040,Y15-24,T,2011,DK,44.2
PC,PB1040,Y15-24,T,2011,DE,42.9
PC,PB1040,Y15-24,T,2011,EE,25.3 u
PC,PB1040,Y15-24,T,2011,IE,12.8
PC,PB1040,Y15-24,T,2011,ES,25.4
PC,PB1040,Y15-24,T,2011,FR,34.0
PC,PB1040,Y15-24,T,2011,IT,13.1
PC,PB1040,Y15-24,T,2011,CY,26.5 u
PC,PB1040,Y15-24,T,2011,LU,28 u
PC,PB1040,Y15-24,T,2011,NL,42.1
PC,PB1040,Y15-24,T,2011,AT,49.8
PC,PB1040,Y15-24,T,2011,PL,15.8
PC,PB1040,Y15-24,T,2011,PT,21.7
PC,PB1040,Y15-24,T,2011,SI,20.3 u
PC,PB1040,Y15-24,T,2011,FI,36.2
PC,PB1040,Y15-24,T,2011,SE,36.7
PC,PB1040,Y15-24,T,2011,IS,63.9
PC,PB1040,Y15-24,T,2011,CH,65.4
PC,PB1040,Y15-24,T,2011,UK,40.2
PC,PB1040,Y15-24,T,2011,TR,30.7
PC,PB1040,Y15-64,F,2011,EU28,43.9
PC,PB1040,Y15-64,F,2011,BE,36.6
PC,PB1040,Y15-64,F,2011,BG,29.9
PC,PB1040,Y15-64,F,2011,CZ,34.2
PC,PB1040,Y15-64,F,2011,DK,44.5
PC,PB1040,Y15-64,F,2011,DE,47.4
PC,PB1040,Y15-64,F,2011,EE,52.5
PC,PB1040,Y15-64,F,2011,IE,27.7
PC,PB1040,Y15-64,F,2011,EL,28.6
PC,PB1040,Y15-64,F,2011,ES,39.3
PC,PB1040,Y15-64,F,2011,FR,52.7
PC,PB1040,Y15-64,F,2011,HR,28.4
PC,PB1040,Y15-64,F,2011,IT,38.1
PC,PB1040,Y15-64,F,2011,CY,41.8
PC,PB1040,Y15-64,F,2011,LV,52.6
PC,PB1040,Y15-64,F,2011,LT,42.9
PC,PB1040,Y15-64,F,2011,LU,56.5
PC,PB1040,Y15-64,F,2011,HU,23.4
PC,PB1040,Y15-64,F,2011,MT,25.4 u
PC,PB1040,Y15-64,F,2011,NL,39.6
PC,PB1040,Y15-64,F,2011,AT,54.9
PC,PB1040,Y15-64,F,2011,PL,31.3
PC,PB1040,Y15-64,F,2011,PT,48.3
PC,PB1040,Y15-64,F,2011,RO,28.6
PC,PB1040,Y15-64,F,2011,SI,44.3
