unit,hlth_pb,age,sex,time\geo,i,v
PC,PB1040,Y15-64,F,2011,SK,29.5
PC,PB1040,Y15-64,F,2011,FI,61.6
PC,PB1040,Y15-64,F,2011,SE,64.3
PC,PB1040,Y15-64,F,2011,IS,65.0
PC,PB1040,Y15-64,F,2011,CH,64.9
PC,PB1040,Y15-64,F,2011,UK,45.1
PC,PB1040,Y15-64,F,2011,TR,26.5
PC,PB1040,Y15-64,M,2011,EU28,51.3
PC,PB1040,Y15-64,M,2011,BE,45.0
PC,PB1040,Y15-64,M,2011,BG,31.7
PC,PB1040,Y15-64,M,2011,CZ,43.3
PC,PB1040,Y15-64,M,2011,DK,49.5
PC,PB1040,Y15-64,M,2011,DE,55.3
PC,PB1040,Y15-64,M,2011,EE,45.7
PC,PB1040,Y15-64,M,2011,IE,31.8
PC,PB1040,Y15-64,M,2011,EL,44.1
PC,PB1040,Y15-64,M,2011,ES,50.8
PC,PB1040,Y15-64,M,2011,FR,60.8
PC,PB1040,Y15-64,M,2011,HR,37.6
PC,PB1040,Y15-64,M,2011,IT,54.7
PC,PB1040,Y15-64,M,2011,CY,51.6
PC,PB1040,Y15-64,M,2011,LV,48.2
PC,PB1040,Y15-64,M,2011,LT,37.1
PC,PB1040,Y15-64,M,2011,LU,69.7
PC,PB1040,Y15-64,M,2011,HU,24.0
PC,PB1040,Y15-64,M,2011,MT,44.3
PC,PB1040,Y15-64,M,2011,NL,47.0
PC,PB1040,Y15-64,M,2011,AT,65.8
PC,PB1040,Y15-64,M,2011,PL,36.8
PC,PB1040,Y15-64,M,2011,PT,54.6
PC,PB1040,Y15-64,M,2011,RO,36.0
PC,PB1040,Y15-64,M,2011,SI,49.9
PC,PB1040,Y15-64,M,2011,SK,34.5
PC,PB1040,Y15-64,M,2011,FI,59.9
PC,PB1040,Y15-64,M,2011,SE,69.0
PC,PB1040,Y15-64,M,2011,IS,69.5
PC,PB1040,Y15-64,M,2011,CH,74.4
PC,PB1040,Y15-64,M,2011,UK,50.5
PC,PB1040,Y15-64,M,2011,TR,61.3
PC,PB1040,Y15-64,T,2011,EU28,47.3
PC,PB1040,Y15-64,T,2011,BE,40.7
PC,PB1040,Y15-64,T,2011,BG,30.7
PC,PB1040,Y15-64,T,2011,CZ,38.6
PC,PB1040,Y15-64,T,2011,DK,46.7
PC,PB1040,Y15-64,T,2011,DE,51.5
PC,PB1040,Y15-64,T,2011,EE,49.5
PC,PB1040,Y15-64,T,2011,IE,29.8
PC,PB1040,Y15-64,T,2011,EL,35.5
PC,PB1040,Y15-64,T,2011,ES,44.3
PC,PB1040,Y15-64,T,2011,FR,56.2
PC,PB1040,Y15-64,T,2011,HR,33.0
PC,PB1040,Y15-64,T,2011,IT,45.6
PC,PB1040,Y15-64,T,2011,CY,46.4
PC,PB1040,Y15-64,T,2011,LV,50.8
PC,PB1040,Y15-64,T,2011,LT,40.4
PC,PB1040,Y15-64,T,2011,LU,62.5
PC,PB1040,Y15-64,T,2011,HU,23.7
PC,PB1040,Y15-64,T,2011,MT,34.4
PC,PB1040,Y15-64,T,2011,NL,42.7
PC,PB1040,Y15-64,T,2011,AT,60.3
PC,PB1040,Y15-64,T,2011,PL,33.9
PC,PB1040,Y15-64,T,2011,PT,51.0
PC,PB1040,Y15-64,T,2011,RO,31.8
PC,PB1040,Y15-64,T,2011,SI,47.0
PC,PB1040,Y15-64,T,2011,SK,31.9
PC,PB1040,Y15-64,T,2011,FI,60.8
PC,PB1040,Y15-64,T,2011,SE,66.2
PC,PB1040,Y15-64,T,2011,IS,66.9
PC,PB1040,Y15-64,T,2011,CH,69.0
PC,PB1040,Y15-64,T,2011,UK,47.6
PC,PB1040,Y15-64,T,2011,TR,41.1
PC,PB1040,Y20-64,F,2011,EU28,44.6
PC,PB1040,Y20-64,F,2011,BE,37.3
PC,PB1040,Y20-64,F,2011,BG,30.2
PC,PB1040,Y20-64,F,2011,CZ,34.5
PC,PB1040,Y20-64,F,2011,DK,44.7
PC,PB1040,Y20-64,F,2011,DE,48.4
PC,PB1040,Y20-64,F,2011,EE,53.7
PC,PB1040,Y20-64,F,2011,IE,28.7
PC,PB1040,Y20-64,F,2011,EL,28.8
PC,PB1040,Y20-64,F,2011,ES,39.7
PC,PB1040,Y20-64,F,2011,FR,53.9
PC,PB1040,Y20-64,F,2011,HR,28.5
PC,PB1040,Y20-64,F,2011,IT,38.4
PC,PB1040,Y20-64,F,2011,CY,42.3
PC,PB1040,Y20-64,F,2011,LV,53.1
PC,PB1040,Y20-64,F,2011,LT,43.6
PC,PB1040,Y20-64,F,2011,LU,57.6
PC,PB1040,Y20-64,F,2011,HU,23.5
PC,PB1040,Y20-64,F,2011,MT,25.9 u
PC,PB1040,Y20-64,F,2011,NL,39.8
PC,PB1040,Y20-64,F,2011,AT,55.5
PC,PB1040,Y20-64,F,2011,PL,31.8
PC,PB1040,Y20-64,F,2011,PT,49.1
PC,PB1040,Y20-64,F,2011,RO,28.7
PC,PB1040,Y20-64,F,2011,SI,44.7
PC,PB1040,Y20-64,F,2011,SK,29.9
PC,PB1040,Y20-64,F,2011,FI,62.6
PC,PB1040,Y20-64,F,2011,SE,66.2
PC,PB1040,Y20-64,F,2011,IS,64.6
PC,PB1040,Y20-64,F,2011,CH,65.8
PC,PB1040,Y20-64,F,2011,UK,45.6
PC,PB1040,Y20-64,F,2011,TR,26.8
PC,PB1040,Y20-64,M,2011,EU28,52.2
PC,PB1040,Y20-64,M,2011,BE,46.6
PC,PB1040,Y20-64,M,2011,BG,31.7
PC,PB1040,Y20-64,M,2011,CZ,43.8
PC,PB1040,Y20-64,M,2011,DK,50.0
PC,PB1040,Y20-64,M,2011,DE,56.4
PC,PB1040,Y20-64,M,2011,EE,47.8
PC,PB1040,Y20-64,M,2011,IE,33.0
PC,PB1040,Y20-64,M,2011,EL,44.8
PC,PB1040,Y20-64,M,2011,ES,51.6
PC,PB1040,Y20-64,M,2011,FR,61.8
PC,PB1040,Y20-64,M,2011,HR,37.5
PC,PB1040,Y20-64,M,2011,IT,55.4
PC,PB1040,Y20-64,M,2011,CY,52.9
PC,PB1040,Y20-64,M,2011,LV,50.1
PC,PB1040,Y20-64,M,2011,LT,37.9
PC,PB1040,Y20-64,M,2011,LU,71.7
PC,PB1040,Y20-64,M,2011,HU,24.4
PC,PB1040,Y20-64,M,2011,MT,45.0
PC,PB1040,Y20-64,M,2011,NL,47.5
PC,PB1040,Y20-64,M,2011,AT,66.8
PC,PB1040,Y20-64,M,2011,PL,37.5
PC,PB1040,Y20-64,M,2011,PT,55.9
PC,PB1040,Y20-64,M,2011,RO,36.3
PC,PB1040,Y20-64,M,2011,SI,50.4
PC,PB1040,Y20-64,M,2011,SK,35.3
PC,PB1040,Y20-64,M,2011,FI,61.0
PC,PB1040,Y20-64,M,2011,SE,73.2
PC,PB1040,Y20-64,M,2011,IS,71.1
PC,PB1040,Y20-64,M,2011,CH,75.5
PC,PB1040,Y20-64,M,2011,UK,51.4
PC,PB1040,Y20-64,M,2011,TR,62.7
PC,PB1040,Y20-64,T,2011,EU28,48.1
PC,PB1040,Y20-64,T,2011,BE,41.8
PC,PB1040,Y20-64,T,2011,BG,30.9
PC,PB1040,Y20-64,T,2011,CZ,39.0
PC,PB1040,Y20-64,T,2011,DK,47.0
PC,PB1040,Y20-64,T,2011,DE,52.5
PC,PB1040,Y20-64,T,2011,EE,51.1
PC,PB1040,Y20-64,T,2011,IE,30.9
PC,PB1040,Y20-64,T,2011,EL,35.9
PC,PB1040,Y20-64,T,2011,ES,44.9
PC,PB1040,Y20-64,T,2011,FR,57.3
PC,PB1040,Y20-64,T,2011,HR,33.0
PC,PB1040,Y20-64,T,2011,IT,46.1
PC,PB1040,Y20-64,T,2011,CY,47.1
PC,PB1040,Y20-64,T,2011,LV,51.9
PC,PB1040,Y20-64,T,2011,LT,41.2
PC,PB1040,Y20-64,T,2011,LU,63.9
PC,PB1040,Y20-64,T,2011,HU,24.0
PC,PB1040,Y20-64,T,2011,MT,35.0
PC,PB1040,Y20-64,T,2011,NL,43.0
PC,PB1040,Y20-64,T,2011,AT,61.1
PC,PB1040,Y20-64,T,2011,PL,34.5
PC,PB1040,Y20-64,T,2011,PT,52.0
PC,PB1040,Y20-64,T,2011,RO,32.0
PC,PB1040,Y20-64,T,2011,SI,47.5
PC,PB1040,Y20-64,T,2011,SK,32.4
PC,PB1040,Y20-64,T,2011,FI,61.9
PC,PB1040,Y20-64,T,2011,SE,69.0
PC,PB1040,Y20-64,T,2011,IS,67.3
PC,PB1040,Y20-64,T,2011,CH,70.1
PC,PB1040,Y20-64,T,2011,UK,48.3
PC,PB1040,Y20-64,T,2011,TR,41.7
PC,PB1040,Y25-54,F,2011,EU28,56.5
PC,PB1040,Y25-54,F,2011,BE,48.0
PC,PB1040,Y25-54,F,2011,BG,45.2
PC,PB1040,Y25-54,F,2011,CZ,49.7
PC,PB1040,Y25-54,F,2011,DK,49.9
PC,PB1040,Y25-54,F,2011,DE,56.2
PC,PB1040,Y25-54,F,2011,EE,63.8
PC,PB1040,Y25-54,F,2011,IE,33.6
PC,PB1040,Y25-54,F,2011,EL,40.0
PC,PB1040,Y25-54,F,2011,ES,50.5
PC,PB1040,Y25-54,F,2011,FR,67.2
PC,PB1040,Y25-54,F,2011,HR,45.0
PC,PB1040,Y25-54,F,2011,IT,52.6
PC,PB1040,Y25-54,F,2011,CY,54.2
PC,PB1040,Y25-54,F,2011,LV,68.5
PC,PB1040,Y25-54,F,2011,LT,56.4
PC,PB1040,Y25-54,F,2011,LU,69.2
PC,PB1040,Y25-54,F,2011,HU,34.4
PC,PB1040,Y25-54,F,2011,MT,41.7 u
PC,PB1040,Y25-54,F,2011,NL,48.7
PC,PB1040,Y25-54,F,2011,AT,71.3
PC,PB1040,Y25-54,F,2011,PL,49.8
PC,PB1040,Y25-54,F,2011,PT,59.2
PC,PB1040,Y25-54,F,2011,RO,40.4
PC,PB1040,Y25-54,F,2011,SI,66.8
PC,PB1040,Y25-54,F,2011,SK,42.3
PC,PB1040,Y25-54,F,2011,FI,75.2
PC,PB1040,Y25-54,F,2011,SE,71.9
PC,PB1040,Y25-54,F,2011,IS,65.4
PC,PB1040,Y25-54,F,2011,CH,72.8
PC,PB1040,Y25-54,F,2011,UK,52.6
PC,PB1040,Y25-54,F,2011,TR,30.3
PC,PB1040,Y25-54,M,2011,EU28,64.1
PC,PB1040,Y25-54,M,2011,BE,59.6
PC,PB1040,Y25-54,M,2011,BG,36.1
PC,PB1040,Y25-54,M,2011,CZ,53.8
PC,PB1040,Y25-54,M,2011,DK,61.2
PC,PB1040,Y25-54,M,2011,DE,67.3
PC,PB1040,Y25-54,M,2011,EE,55.6
PC,PB1040,Y25-54,M,2011,IE,40.9
PC,PB1040,Y25-54,M,2011,EL,53.2
PC,PB1040,Y25-54,M,2011,ES,59.8
PC,PB1040,Y25-54,M,2011,FR,77.9
PC,PB1040,Y25-54,M,2011,HR,42.3
PC,PB1040,Y25-54,M,2011,IT,69.3
PC,PB1040,Y25-54,M,2011,CY,59.0
PC,PB1040,Y25-54,M,2011,LV,60.8
PC,PB1040,Y25-54,M,2011,LT,44.7
PC,PB1040,Y25-54,M,2011,LU,86.3
PC,PB1040,Y25-54,M,2011,HU,36.7
PC,PB1040,Y25-54,M,2011,MT,61.3 u
PC,PB1040,Y25-54,M,2011,NL,53.7
PC,PB1040,Y25-54,M,2011,AT,82.3
PC,PB1040,Y25-54,M,2011,PL,48.6
PC,PB1040,Y25-54,M,2011,PT,65.1
PC,PB1040,Y25-54,M,2011,RO,47.9
PC,PB1040,Y25-54,M,2011,SI,67.3
PC,PB1040,Y25-54,M,2011,SK,45.4
PC,PB1040,Y25-54,M,2011,FI,74.0
PC,PB1040,Y25-54,M,2011,SE,77.0
PC,PB1040,Y25-54,M,2011,IS,71.4
PC,PB1040,Y25-54,M,2011,CH,82.1
PC,PB1040,Y25-54,M,2011,UK,58.0
PC,PB1040,Y25-54,M,2011,TR,71.8
PC,PB1040,Y25-54,T,2011,EU28,60.0
PC,PB1040,Y25-54,T,2011,BE,53.4
PC,PB1040,Y25-54,T,2011,BG,41.0
PC,PB1040,Y25-54,T,2011,CZ,51.7
PC,PB1040,Y25-54,T,2011,DK,54.7
PC,PB1040,Y25-54,T,2011,DE,61.8
PC,PB1040,Y25-54,T,2011,EE,60.0
PC,PB1040,Y25-54,T,2011,IE,37.2
PC,PB1040,Y25-54,T,2011,EL,46.3
PC,PB1040,Y25-54,T,2011,ES,54.7
PC,PB1040,Y25-54,T,2011,FR,71.8
PC,PB1040,Y25-54,T,2011,HR,43.6
PC,PB1040,Y25-54,T,2011,IT,60.3
PC,PB1040,Y25-54,T,2011,CY,56.5
PC,PB1040,Y25-54,T,2011,LV,65.1
PC,PB1040,Y25-54,T,2011,LT,51.2
PC,PB1040,Y25-54,T,2011,LU,76.9
PC,PB1040,Y25-54,T,2011,HU,35.5
PC,PB1040,Y25-54,T,2011,MT,51.0
PC,PB1040,Y25-54,T,2011,NL,50.7
PC,PB1040,Y25-54,T,2011,AT,76.7
PC,PB1040,Y25-54,T,2011,PL,49.2
PC,PB1040,Y25-54,T,2011,PT,61.8
PC,PB1040,Y25-54,T,2011,RO,43.6
PC,PB1040,Y25-54,T,2011,SI,67.1
PC,PB1040,Y25-54,T,2011,SK,43.8
PC,PB1040,Y25-54,T,2011,FI,74.6
PC,PB1040,Y25-54,T,2011,SE,73.9
PC,PB1040,Y25-54,T,2011,IS,67.9
PC,PB1040,Y25-54,T,2011,CH,76.9
PC,PB1040,Y25-54,T,2011,UK,55.1
PC,PB1040,Y25-54,T,2011,TR,48.0
PC,PB1040,Y55-64,F,2011,EU28,28.2
PC,PB1040,Y55-64,F,2011,BE,19.6
PC,PB1040,Y55-64,F,2011,BG,19.9
PC,PB1040,Y55-64,F,2011,CZ,20.4
PC,PB1040,Y55-64,F,2011,DK,33.1
PC,PB1040,Y55-64,F,2011,DE,34.7
PC,PB1040,Y55-64,F,2011,EE,42.3
PC,PB1040,Y55-64,F,2011,IE,20.5
PC,PB1040,Y55-64,F,2011,EL,19.4
PC,PB1040,Y55-64,F,2011,ES,25.0
PC,PB1040,Y55-64,F,2011,FR,32.6
PC,PB1040,Y55-64,F,2011,HR,16.1 u
PC,PB1040,Y55-64,F,2011,IT,20.3
PC,PB1040,Y55-64,F,2011,CY,29.3
PC,PB1040,Y55-64,F,2011,LV,38.0
PC,PB1040,Y55-64,F,2011,LT,31.1
PC,PB1040,Y55-64,F,2011,LU,30.3
PC,PB1040,Y55-64,F,2011,HU,15.7
PC,PB1040,Y55-64,F,2011,NL,24.8
PC,PB1040,Y55-64,F,2011,AT,28.1
PC,PB1040,Y55-64,F,2011,PL,16.9
PC,PB1040,Y55-64,F,2011,PT,36.9
PC,PB1040,Y55-64,F,2011,RO,20.3
PC,PB1040,Y55-64,F,2011,SI,17.5
PC,PB1040,Y55-64,F,2011,SK,15.9
PC,PB1040,Y55-64,F,2011,FI,47.9
PC,PB1040,Y55-64,F,2011,SE,59.4
PC,PB1040,Y55-64,F,2011,IS,59.6
PC,PB1040,Y55-64,F,2011,CH,52.3
PC,PB1040,Y55-64,F,2011,UK,33.5
PC,PB1040,Y55-64,F,2011,TR,19.5
PC,PB1040,Y55-64,M,2011,EU28,36.3
PC,PB1040,Y55-64,M,2011,BE,28.1
PC,PB1040,Y55-64,M,2011,BG,28.5
PC,PB1040,Y55-64,M,2011,CZ,34.9
PC,PB1040,Y55-64,M,2011,DK,30.9
PC,PB1040,Y55-64,M,2011,DE,39.3
PC,PB1040,Y55-64,M,2011,EE,37.6
PC,PB1040,Y55-64,M,2011,IE,22.8
PC,PB1040,Y55-64,M,2011,EL,36.6
PC,PB1040,Y55-64,M,2011,ES,38.6
PC,PB1040,Y55-64,M,2011,FR,36.5
PC,PB1040,Y55-64,M,2011,HR,33.5 u
PC,PB1040,Y55-64,M,2011,IT,36.2
PC,PB1040,Y55-64,M,2011,CY,48.1
PC,PB1040,Y55-64,M,2011,LV,33.4
PC,PB1040,Y55-64,M,2011,LT,30.4
PC,PB1040,Y55-64,M,2011,LU,36.2
PC,PB1040,Y55-64,M,2011,HU,15.2
PC,PB1040,Y55-64,M,2011,NL,38.4
PC,PB1040,Y55-64,M,2011,AT,39.4
PC,PB1040,Y55-64,M,2011,PL,27.6
PC,PB1040,Y55-64,M,2011,PT,44.0
PC,PB1040,Y55-64,M,2011,RO,28.7
PC,PB1040,Y55-64,M,2011,SI,29.4
PC,PB1040,Y55-64,M,2011,SK,23.2
PC,PB1040,Y55-64,M,2011,FI,45.0
PC,PB1040,Y55-64,M,2011,SE,69.3
PC,PB1040,Y55-64,M,2011,IS,76.3
PC,PB1040,Y55-64,M,2011,CH,61.8
PC,PB1040,Y55-64,M,2011,UK,42.5
PC,PB1040,Y55-64,M,2011,TR,41.5
PC,PB1040,Y55-64,T,2011,EU28,31.8
PC,PB1040,Y55-64,T,2011,BE,23.8
PC,PB1040,Y55-64,T,2011,BG,23.4
PC,PB1040,Y55-64,T,2011,CZ,27.3
PC,PB1040,Y55-64,T,2011,DK,32.1
PC,PB1040,Y55-64,T,2011,DE,37.1
PC,PB1040,Y55-64,T,2011,EE,40.3
PC,PB1040,Y55-64,T,2011,IE,21.7
PC,PB1040,Y55-64,T,2011,EL,26.4
PC,PB1040,Y55-64,T,2011,ES,30.4
PC,PB1040,Y55-64,T,2011,FR,34.3
PC,PB1040,Y55-64,T,2011,HR,24.3
PC,PB1040,Y55-64,T,2011,IT,27.0
PC,PB1040,Y55-64,T,2011,CY,36.9
PC,PB1040,Y55-64,T,2011,LV,36.3
PC,PB1040,Y55-64,T,2011,LT,30.8
PC,PB1040,Y55-64,T,2011,LU,33.0
PC,PB1040,Y55-64,T,2011,HU,15.5
PC,PB1040,Y55-64,T,2011,MT,17.3 u
PC,PB1040,Y55-64,T,2011,NL,30.8
PC,PB1040,Y55-64,T,2011,AT,33.6
PC,PB1040,Y55-64,T,2011,PL,21.9
PC,PB1040,Y55-64,T,2011,PT,39.8
PC,PB1040,Y55-64,T,2011,RO,23.9
PC,PB1040,Y55-64,T,2011,SI,23.2
PC,PB1040,Y55-64,T,2011,SK,19.1
PC,PB1040,Y55-64,T,2011,FI,46.6
PC,PB1040,Y55-64,T,2011,SE,63.4
PC,PB1040,Y55-64,T,2011,IS,67.0
PC,PB1040,Y55-64,T,2011,CH,56.2
PC,PB1040,Y55-64,T,2011,UK,37.7
PC,PB1040,Y55-64,T,2011,TR,27.8
PC,PB1041,Y15-24,F,2011,EU28,31.1
PC,PB1041,Y15-24,F,2011,BE,23.6
PC,PB1041,Y15-24,F,2011,BG,19.6
PC,PB1041,Y15-24,F,2011,CZ,19.8
PC,PB1041,Y15-24,F,2011,DK,62.2
PC,PB1041,Y15-24,F,2011,DE,41.3
PC,PB1041,Y15-24,F,2011,EE,28.8
PC,PB1041,Y15-24,F,2011,IE,31.9
PC,PB1041,Y15-24,F,2011,EL,12.9
PC,PB1041,Y15-24,F,2011,ES,24.0
PC,PB1041,Y15-24,F,2011,FR,26.3
PC,PB1041,Y15-24,F,2011,HR,13.9 u
PC,PB1041,Y15-24,F,2011,IT,15.4
PC,PB1041,Y15-24,F,2011,CY,30.7
PC,PB1041,Y15-24,F,2011,LV,22.6
PC,PB1041,Y15-24,F,2011,LT,16.8
PC,PB1041,Y15-24,F,2011,LU,18.4
PC,PB1041,Y15-24,F,2011,HU,16.5
PC,PB1041,Y15-24,F,2011,MT,36.4
PC,PB1041,Y15-24,F,2011,NL,66.0
PC,PB1041,Y15-24,F,2011,AT,48.4
PC,PB1041,Y15-24,F,2011,PL,20.8
PC,PB1041,Y15-24,F,2011,PT,25.6
PC,PB1041,Y15-24,F,2011,RO,21.6
PC,PB1041,Y15-24,F,2011,SI,26.5
PC,PB1041,Y15-24,F,2011,SK,14.9
PC,PB1041,Y15-24,F,2011,FI,42.6
PC,PB1041,Y15-24,F,2011,SE,41.0
PC,PB1041,Y15-24,F,2011,IS,77.6
PC,PB1041,Y15-24,F,2011,CH,62.1
PC,PB1041,Y15-24,F,2011,UK,51.1
PC,PB1041,Y15-24,F,2011,TR,21.4
PC,PB1041,Y15-24,M,2011,EU28,35.8
PC,PB1041,Y15-24,M,2011,BE,26.7
PC,PB1041,Y15-24,M,2011,BG,25.3
PC,PB1041,Y15-24,M,2011,CZ,29.3
PC,PB1041,Y15-24,M,2011,DK,57.7
PC,PB1041,Y15-24,M,2011,DE,43.9
PC,PB1041,Y15-24,M,2011,EE,33.3
PC,PB1041,Y15-24,M,2011,IE,27.9
PC,PB1041,Y15-24,M,2011,EL,20.6
PC,PB1041,Y15-24,M,2011,ES,23.9
PC,PB1041,Y15-24,M,2011,FR,33.4
PC,PB1041,Y15-24,M,2011,HR,26.1
PC,PB1041,Y15-24,M,2011,IT,23.2
PC,PB1041,Y15-24,M,2011,CY,32.7
PC,PB1041,Y15-24,M,2011,LV,28.7
PC,PB1041,Y15-24,M,2011,LT,19.9
PC,PB1041,Y15-24,M,2011,LU,21.6
PC,PB1041,Y15-24,M,2011,HU,20.4
PC,PB1041,Y15-24,M,2011,MT,46.7
PC,PB1041,Y15-24,M,2011,NL,63.9
PC,PB1041,Y15-24,M,2011,AT,58.7
PC,PB1041,Y15-24,M,2011,PL,30.4
PC,PB1041,Y15-24,M,2011,PT,29.1
PC,PB1041,Y15-24,M,2011,RO,28.6
PC,PB1041,Y15-24,M,2011,SI,35.4
PC,PB1041,Y15-24,M,2011,SK,26.1
PC,PB1041,Y15-24,M,2011,FI,40.7
PC,PB1041,Y15-24,M,2011,SE,40.8
PC,PB1041,Y15-24,M,2011,IS,65.9
PC,PB1041,Y15-24,M,2011,CH,63.4
PC,PB1041,Y15-24,M,2011,UK,52.7
PC,PB1041,Y15-24,M,2011,TR,43.5
PC,PB1041,Y15-24,T,2011,EU28,33.5
PC,PB1041,Y15-24,T,2011,BE,25.1
PC,PB1041,Y15-24,T,2011,BG,22.5
PC,PB1041,Y15-24,T,2011,CZ,24.6
PC,PB1041,Y15-24,T,2011,DK,59.9
PC,PB1041,Y15-24,T,2011,DE,42.6
PC,PB1041,Y15-24,T,2011,EE,31.0
PC,PB1041,Y15-24,T,2011,IE,29.9
PC,PB1041,Y15-24,T,2011,EL,16.7
PC,PB1041,Y15-24,T,2011,ES,24.0
PC,PB1041,Y15-24,T,2011,FR,29.8
PC,PB1041,Y15-24,T,2011,HR,20.2
PC,PB1041,Y15-24,T,2011,IT,19.4
PC,PB1041,Y15-24,T,2011,CY,31.6
PC,PB1041,Y15-24,T,2011,LV,25.7
PC,PB1041,Y15-24,T,2011,LT,18.4
PC,PB1041,Y15-24,T,2011,LU,20.0
PC,PB1041,Y15-24,T,2011,HU,18.4
PC,PB1041,Y15-24,T,2011,MT,41.7
PC,PB1041,Y15-24,T,2011,NL,64.9
PC,PB1041,Y15-24,T,2011,AT,53.5
PC,PB1041,Y15-24,T,2011,PL,25.7
PC,PB1041,Y15-24,T,2011,PT,27.4
PC,PB1041,Y15-24,T,2011,RO,25.2
PC,PB1041,Y15-24,T,2011,SI,31.2
PC,PB1041,Y15-24,T,2011,SK,20.6
PC,PB1041,Y15-24,T,2011,FI,41.7
