unit,hlth_pb,wstatus,sex,time\geo,i,v,flag
PC,PB1040,EMP,F,2011,ES,51.1,u
PC,PB1040,EMP,F,2011,NL,15.3,u
PC,PB1040,EMP,F,2011,UK,11.6,
PC,PB1040,EMP,F,2011,TR,62.0,
PC,PB1040,EMP,M,2011,BE,36.6,u
PC,PB1040,EMP,M,2011,ES,60.7,u
PC,PB1040,EMP,M,2011,NL,25.3,u
PC,PB1040,EMP,M,2011,FI,30,u
PC,PB1040,EMP,M,2011,CH,18.2,u
PC,PB1040,EMP,M,2011,UK,15.7,
PC,PB1040,EMP,M,2011,TR,63.4,
PC,PB1040,EMP,T,2011,BE,32.4,u
PC,PB1040,EMP,T,2011,ES,55.5,
PC,PB1040,EMP,T,2011,NL,20,u
PC,PB1040,EMP,T,2011,FI,19.9,u
PC,PB1040,EMP,T,2011,SE,10.7,u
PC,PB1040,EMP,T,2011,IS,38.4,
PC,PB1040,EMP,T,2011,CH,9.6,
PC,PB1040,EMP,T,2011,UK,13.3,
PC,PB1040,EMP,T,2011,TR,62.9,
PC,PB1040,NEMP,F,2011,CZ,29.2,u
PC,PB1040,NEMP,F,2011,IE,32.1,
PC,PB1040,NEMP,F,2011,ES,33.2,u
PC,PB1040,NEMP,F,2011,IT,33.8,
PC,PB1040,NEMP,F,2011,HU,64.1,u
PC,PB1040,NEMP,F,2011,NL,24.4,u
PC,PB1040,NEMP,F,2011,PL,30,u
PC,PB1040,NEMP,F,2011,RO,57.3,u
PC,PB1040,NEMP,F,2011,CH,29.7,u
PC,PB1040,NEMP,F,2011,UK,37.2,
PC,PB1040,NEMP,F,2011,TR,64.1,
PC,PB1040,NEMP,M,2011,BE,28.2,u
PC,PB1040,NEMP,M,2011,CZ,44.9,u
PC,PB1040,NEMP,M,2011,IE,34.9,
PC,PB1040,NEMP,M,2011,ES,40.3,
PC,PB1040,NEMP,M,2011,IT,46.5,
PC,PB1040,NEMP,M,2011,HU,44.4,u
PC,PB1040,NEMP,M,2011,NL,39.6,u
PC,PB1040,NEMP,M,2011,PL,31.5,u
PC,PB1040,NEMP,M,2011,RO,62.1,
PC,PB1040,NEMP,M,2011,FI,21.4,u
PC,PB1040,NEMP,M,2011,UK,33.6,
PC,PB1040,NEMP,M,2011,TR,57.8,
PC,PB1040,NEMP,T,2011,BE,19.8,u
PC,PB1040,NEMP,T,2011,BG,70.4,u
PC,PB1040,NEMP,T,2011,CZ,37.2,u
PC,PB1040,NEMP,T,2011,DK,19.3,u
PC,PB1040,NEMP,T,2011,IE,33.6,
PC,PB1040,NEMP,T,2011,EL,43.1,u
PC,PB1040,NEMP,T,2011,ES,37.2,
PC,PB1040,NEMP,T,2011,FR,26,u
PC,PB1040,NEMP,T,2011,IT,41.0,
PC,PB1040,NEMP,T,2011,CY,27.7,u
PC,PB1040,NEMP,T,2011,HU,50.8,
PC,PB1040,NEMP,T,2011,NL,31.3,u
PC,PB1040,NEMP,T,2011,AT,28.4,u
PC,PB1040,NEMP,T,2011,PL,30.9,
PC,PB1040,NEMP,T,2011,PT,35.2,
PC,PB1040,NEMP,T,2011,RO,60.0,
PC,PB1040,NEMP,T,2011,FI,18.2,u
PC,PB1040,NEMP,T,2011,SE,10.9,u
PC,PB1040,NEMP,T,2011,CH,27.2,u
PC,PB1040,NEMP,T,2011,UK,35.4,
PC,PB1040,NEMP,T,2011,TR,61.4,
PC,PB1040,POP,F,2011,CZ,21.4,u
PC,PB1040,POP,F,2011,IE,26.4,
PC,PB1040,POP,F,2011,ES,39.9,
PC,PB1040,POP,F,2011,IT,28.8,
PC,PB1040,POP,F,2011,HU,54.4,u
PC,PB1040,POP,F,2011,NL,20.1,u
