unit,hlth_pb,wstatus,sex,time\geo,i,v,flag
PC,PB1040,POP,F,2011,AT,19.8,u
PC,PB1040,POP,F,2011,PL,26,u
PC,PB1040,POP,F,2011,RO,55.3,u
PC,PB1040,POP,F,2011,FI,11.8,u
PC,PB1040,POP,F,2011,SE,8.2,u
PC,PB1040,POP,F,2011,IS,40.2,
PC,PB1040,POP,F,2011,CH,9.1,u
PC,PB1040,POP,F,2011,UK,24.4,
PC,PB1040,POP,F,2011,TR,63.5,
PC,PB1040,POP,M,2011,BE,31.2,u
PC,PB1040,POP,M,2011,CZ,34,u
PC,PB1040,POP,M,2011,DK,24.8,u
PC,PB1040,POP,M,2011,IE,28.8,
PC,PB1040,POP,M,2011,EL,47,u
PC,PB1040,POP,M,2011,ES,46.2,
PC,PB1040,POP,M,2011,IT,45.6,
PC,PB1040,POP,M,2011,CY,29.7,u
PC,PB1040,POP,M,2011,HU,42.7,u
PC,PB1040,POP,M,2011,NL,32.7,u
PC,PB1040,POP,M,2011,AT,17.8,u
PC,PB1040,POP,M,2011,PL,28.3,u
PC,PB1040,POP,M,2011,PT,39.5,
PC,PB1040,POP,M,2011,RO,62.5,
PC,PB1040,POP,M,2011,FI,25.2,
PC,PB1040,POP,M,2011,SE,14.9,u
PC,PB1040,POP,M,2011,CH,19.1,
PC,PB1040,POP,M,2011,UK,26.3,
PC,PB1040,POP,M,2011,TR,60.3,
PC,PB1040,POP,T,2011,BE,23.9,
PC,PB1040,POP,T,2011,BG,61.1,u
PC,PB1040,POP,T,2011,CZ,27.7,u
PC,PB1040,POP,T,2011,DK,16.9,u
PC,PB1040,POP,T,2011,DE,19.2,
PC,PB1040,POP,T,2011,IE,27.7,
PC,PB1040,POP,T,2011,EL,39.2,u
PC,PB1040,POP,T,2011,ES,43.2,
PC,PB1040,POP,T,2011,FR,21.4,u
PC,PB1040,POP,T,2011,IT,38.4,
PC,PB1040,POP,T,2011,CY,27.9,u
PC,PB1040,POP,T,2011,LT,44.2,u
PC,PB1040,POP,T,2011,HU,46.8,
PC,PB1040,POP,T,2011,NL,25.8,u
PC,PB1040,POP,T,2011,AT,18.8,u
PC,PB1040,POP,T,2011,PL,27.4,
PC,PB1040,POP,T,2011,PT,35.5,
PC,PB1040,POP,T,2011,RO,59.5,
PC,PB1040,POP,T,2011,SK,26.8,u
PC,PB1040,POP,T,2011,FI,18.9,
PC,PB1040,POP,T,2011,SE,10.8,
PC,PB1040,POP,T,2011,IS,39.4,
PC,PB1040,POP,T,2011,CH,13.5,
PC,PB1040,POP,T,2011,UK,25.3,
PC,PB1040,POP,T,2011,TR,61.9,
PC,PB1041,EMP,F,2011,BE,6.4,u
PC,PB1041,EMP,F,2011,BG,8.2,u
PC,PB1041,EMP,F,2011,CZ,3.5,u
PC,PB1041,EMP,F,2011,DK,5.5,
PC,PB1041,EMP,F,2011,DE,6.3,
PC,PB1041,EMP,F,2011,IE,5.1,
PC,PB1041,EMP,F,2011,EL,13.4,u
PC,PB1041,EMP,F,2011,ES,30.9,
PC,PB1041,EMP,F,2011,FR,8.7,u
PC,PB1041,EMP,F,2011,IT,19.8,
PC,PB1041,EMP,F,2011,CY,13.0,
PC,PB1041,EMP,F,2011,HU,9.3,
PC,PB1041,EMP,F,2011,MT,20.4,u
PC,PB1041,EMP,F,2011,NL,5.8,u
PC,PB1041,EMP,F,2011,AT,5.7,u
PC,PB1041,EMP,F,2011,PL,3.2,u
PC,PB1041,EMP,F,2011,PT,29.1,
PC,PB1041,EMP,F,2011,RO,25.2,
PC,PB1041,EMP,F,2011,FI,7.5,
PC,PB1041,EMP,F,2011,SE,3,u
PC,PB1041,EMP,F,2011,IS,11.2,
PC,PB1041,EMP,F,2011,CH,5.4,
PC,PB1041,EMP,F,2011,UK,9.3,
PC,PB1041,EMP,F,2011,TR,44.8,
PC,PB1041,EMP,M,2011,BE,20.7,
PC,PB1041,EMP,M,2011,BG,9,u
PC,PB1041,EMP,M,2011,CZ,6.4,
PC,PB1041,EMP,M,2011,DK,10.2,
PC,PB1041,EMP,M,2011,DE,8.8,
PC,PB1041,EMP,M,2011,EE,16.8,u
PC,PB1041,EMP,M,2011,IE,8.9,
PC,PB1041,EMP,M,2011,EL,31.9,
PC,PB1041,EMP,M,2011,ES,42.9,
PC,PB1041,EMP,M,2011,FR,13.8,
PC,PB1041,EMP,M,2011,IT,32.1,
PC,PB1041,EMP,M,2011,CY,21.4,
PC,PB1041,EMP,M,2011,LV,23.2,
PC,PB1041,EMP,M,2011,LT,11,u
PC,PB1041,EMP,M,2011,LU,15.5,u
PC,PB1041,EMP,M,2011,HU,17.6,
PC,PB1041,EMP,M,2011,MT,33.0,
PC,PB1041,EMP,M,2011,NL,10.4,
PC,PB1041,EMP,M,2011,AT,8.0,
PC,PB1041,EMP,M,2011,PL,8.1,
PC,PB1041,EMP,M,2011,PT,48.0,
PC,PB1041,EMP,M,2011,RO,31.8,
PC,PB1041,EMP,M,2011,SI,4.7,u
PC,PB1041,EMP,M,2011,SK,5.8,
PC,PB1041,EMP,M,2011,FI,9.2,
PC,PB1041,EMP,M,2011,SE,6.3,
PC,PB1041,EMP,M,2011,IS,25.3,
PC,PB1041,EMP,M,2011,CH,4.8,
PC,PB1041,EMP,M,2011,UK,15.2,
PC,PB1041,EMP,M,2011,TR,51.5,
PC,PB1041,EMP,T,2011,BE,14.1,
PC,PB1041,EMP,T,2011,BG,8.7,
PC,PB1041,EMP,T,2011,CZ,5.3,
PC,PB1041,EMP,T,2011,DK,7.8,
PC,PB1041,EMP,T,2011,DE,7.6,
PC,PB1041,EMP,T,2011,EE,13.3,
PC,PB1041,EMP,T,2011,IE,6.8,
PC,PB1041,EMP,T,2011,EL,24.6,
PC,PB1041,EMP,T,2011,ES,37.0,
PC,PB1041,EMP,T,2011,FR,11.5,
PC,PB1041,EMP,T,2011,HR,4.4,u
PC,PB1041,EMP,T,2011,IT,27.3,
PC,PB1041,EMP,T,2011,CY,17.0,
PC,PB1041,EMP,T,2011,LV,17.8,
PC,PB1041,EMP,T,2011,LT,8.3,u
PC,PB1041,EMP,T,2011,LU,12.8,
PC,PB1041,EMP,T,2011,HU,13.9,
PC,PB1041,EMP,T,2011,MT,27.7,
PC,PB1041,EMP,T,2011,NL,8.1,
PC,PB1041,EMP,T,2011,AT,6.9,
PC,PB1041,EMP,T,2011,PL,6.2,
PC,PB1041,EMP,T,2011,PT,39.4,
PC,PB1041,EMP,T,2011,RO,29.0,
PC,PB1041,EMP,T,2011,SI,3,u
PC,PB1041,EMP,T,2011,SK,4.7,
PC,PB1041,EMP,T,2011,FI,8.3,
PC,PB1041,EMP,T,2011,SE,4.8,
PC,PB1041,EMP,T,2011,IS,18.2,
PC,PB1041,EMP,T,2011,CH,5.1,
PC,PB1041,EMP,T,2011,UK,12.3,
PC,PB1041,EMP,T,2011,TR,49.2,
PC,PB1041,NEMP,F,2011,BE,7.7,
PC,PB1041,NEMP,F,2011,BG,12.5,
PC,PB1041,NEMP,F,2011,CZ,4.6,
PC,PB1041,NEMP,F,2011,DK,8.8,u
PC,PB1041,NEMP,F,2011,DE,13.9,
PC,PB1041,NEMP,F,2011,EE,8.3,u
PC,PB1041,NEMP,F,2011,IE,10.2,
PC,PB1041,NEMP,F,2011,EL,9.0,
PC,PB1041,NEMP,F,2011,ES,17.7,
PC,PB1041,NEMP,F,2011,FR,8.6,
PC,PB1041,NEMP,F,2011,IT,12.6,
PC,PB1041,NEMP,F,2011,CY,3.8,u
PC,PB1041,NEMP,F,2011,LV,9.2,u
PC,PB1041,NEMP,F,2011,LT,4.2,u
PC,PB1041,NEMP,F,2011,HU,9.5,
PC,PB1041,NEMP,F,2011,NL,6,u
PC,PB1041,NEMP,F,2011,AT,8.4,u
PC,PB1041,NEMP,F,2011,PL,3.2,
PC,PB1041,NEMP,F,2011,PT,11.4,
PC,PB1041,NEMP,F,2011,RO,13.2,
PC,PB1041,NEMP,F,2011,SI,2.5,u
PC,PB1041,NEMP,F,2011,SK,5.0,
PC,PB1041,NEMP,F,2011,FI,7.5,
PC,PB1041,NEMP,F,2011,SE,3.7,u
PC,PB1041,NEMP,F,2011,CH,7.3,u
PC,PB1041,NEMP,F,2011,UK,20.4,
PC,PB1041,NEMP,F,2011,TR,45.0,
PC,PB1041,NEMP,M,2011,BE,9.5,
PC,PB1041,NEMP,M,2011,BG,11.4,
PC,PB1041,NEMP,M,2011,CZ,4.2,
PC,PB1041,NEMP,M,2011,DK,9.5,
PC,PB1041,NEMP,M,2011,DE,13.9,
PC,PB1041,NEMP,M,2011,EE,8.7,u
PC,PB1041,NEMP,M,2011,IE,14.5,
PC,PB1041,NEMP,M,2011,EL,8.6,
PC,PB1041,NEMP,M,2011,ES,22.7,
PC,PB1041,NEMP,M,2011,FR,9.7,
PC,PB1041,NEMP,M,2011,IT,14.6,
PC,PB1041,NEMP,M,2011,CY,5.2,u
PC,PB1041,NEMP,M,2011,LV,12.6,
PC,PB1041,NEMP,M,2011,LT,7.7,
PC,PB1041,NEMP,M,2011,HU,8.1,
PC,PB1041,NEMP,M,2011,NL,5.7,u
PC,PB1041,NEMP,M,2011,AT,10.7,u
PC,PB1041,NEMP,M,2011,PL,5.5,
PC,PB1041,NEMP,M,2011,PT,14.9,
PC,PB1041,NEMP,M,2011,RO,10.6,
PC,PB1041,NEMP,M,2011,SI,4,u
PC,PB1041,NEMP,M,2011,SK,4.8,
PC,PB1041,NEMP,M,2011,FI,7.7,
PC,PB1041,NEMP,M,2011,SE,5.0,
PC,PB1041,NEMP,M,2011,CH,3.6,u
PC,PB1041,NEMP,M,2011,UK,17.7,
PC,PB1041,NEMP,M,2011,TR,18.1,
PC,PB1041,NEMP,T,2011,BE,8.5,
PC,PB1041,NEMP,T,2011,BG,11.9,
PC,PB1041,NEMP,T,2011,CZ,4.4,
PC,PB1041,NEMP,T,2011,DK,9.2,
PC,PB1041,NEMP,T,2011,DE,13.9,
PC,PB1041,NEMP,T,2011,EE,8.5,
PC,PB1041,NEMP,T,2011,IE,12.4,
PC,PB1041,NEMP,T,2011,EL,8.8,
PC,PB1041,NEMP,T,2011,ES,20.2,
PC,PB1041,NEMP,T,2011,FR,9.1,
PC,PB1041,NEMP,T,2011,HR,3,u
PC,PB1041,NEMP,T,2011,IT,13.5,
PC,PB1041,NEMP,T,2011,CY,4.4,
PC,PB1041,NEMP,T,2011,LV,10.8,
PC,PB1041,NEMP,T,2011,LT,5.9,
PC,PB1041,NEMP,T,2011,LU,2.7,u
PC,PB1041,NEMP,T,2011,HU,8.9,
PC,PB1041,NEMP,T,2011,MT,15.7,u
PC,PB1041,NEMP,T,2011,NL,5.9,u
PC,PB1041,NEMP,T,2011,AT,9.4,
PC,PB1041,NEMP,T,2011,PL,4.2,
PC,PB1041,NEMP,T,2011,PT,13.1,
PC,PB1041,NEMP,T,2011,RO,11.9,
PC,PB1041,NEMP,T,2011,SI,3.2,u
PC,PB1041,NEMP,T,2011,SK,4.9,
PC,PB1041,NEMP,T,2011,FI,7.6,
PC,PB1041,NEMP,T,2011,SE,4.4,
PC,PB1041,NEMP,T,2011,IS,19.3,
PC,PB1041,NEMP,T,2011,CH,5.4,
PC,PB1041,NEMP,T,2011,UK,19.1,
PC,PB1041,NEMP,T,2011,TR,35.3,
PC,PB1041,POP,F,2011,BE,7.3,
PC,PB1041,POP,F,2011,BG,11.4,
PC,PB1041,POP,F,2011,CZ,4.3,
PC,PB1041,POP,F,2011,DK,6.5,
PC,PB1041,POP,F,2011,DE,9.9,
PC,PB1041,POP,F,2011,EE,8.6,u
PC,PB1041,POP,F,2011,IE,7.9,
PC,PB1041,POP,F,2011,EL,9.8,
PC,PB1041,POP,F,2011,ES,21.7,
PC,PB1041,POP,F,2011,FR,8.6,
PC,PB1041,POP,F,2011,HR,3.2,u
PC,PB1041,POP,F,2011,IT,14.1,
PC,PB1041,POP,F,2011,CY,7.8,
PC,PB1041,POP,F,2011,LV,9.7,
PC,PB1041,POP,F,2011,LT,4.4,u
PC,PB1041,POP,F,2011,LU,4.3,u
PC,PB1041,POP,F,2011,HU,9.5,
PC,PB1041,POP,F,2011,MT,18.0,
PC,PB1041,POP,F,2011,NL,5.9,u
PC,PB1041,POP,F,2011,AT,6.8,
PC,PB1041,POP,F,2011,PL,3.2,
PC,PB1041,POP,F,2011,PT,17.6,
PC,PB1041,POP,F,2011,RO,16.4,
PC,PB1041,POP,F,2011,SI,1.8,u
PC,PB1041,POP,F,2011,SK,4.5,
PC,PB1041,POP,F,2011,FI,7.5,
PC,PB1041,POP,F,2011,SE,3.3,
PC,PB1041,POP,F,2011,IS,12.7,
PC,PB1041,POP,F,2011,CH,5.9,
PC,PB1041,POP,F,2011,UK,14.0,
PC,PB1041,POP,F,2011,TR,44.9,
PC,PB1041,POP,M,2011,BE,13.7,
PC,PB1041,POP,M,2011,BG,10.6,
PC,PB1041,POP,M,2011,CZ,5.1,
PC,PB1041,POP,M,2011,DK,10.0,
PC,PB1041,POP,M,2011,DE,11.0,
PC,PB1041,POP,M,2011,EE,12.1,
PC,PB1041,POP,M,2011,IE,12.3,
PC,PB1041,POP,M,2011,EL,15.4,
PC,PB1041,POP,M,2011,ES,28.6,
PC,PB1041,POP,M,2011,FR,11.6,
PC,PB1041,POP,M,2011,HR,3.6,u
PC,PB1041,POP,M,2011,IT,20.2,
PC,PB1041,POP,M,2011,CY,13.3,
PC,PB1041,POP,M,2011,LV,16.7,
PC,PB1041,POP,M,2011,LT,8.6,
PC,PB1041,POP,M,2011,LU,6.6,
PC,PB1041,POP,M,2011,HU,10.8,
PC,PB1041,POP,M,2011,MT,26.5,
PC,PB1041,POP,M,2011,NL,9.0,
PC,PB1041,POP,M,2011,AT,8.8,
PC,PB1041,POP,M,2011,PL,6.6,
PC,PB1041,POP,M,2011,PT,28.0,
PC,PB1041,POP,M,2011,RO,18.3,
PC,PB1041,POP,M,2011,SI,4.3,u
PC,PB1041,POP,M,2011,SK,5.2,
PC,PB1041,POP,M,2011,FI,8.5,
PC,PB1041,POP,M,2011,SE,5.7,
PC,PB1041,POP,M,2011,IS,23.5,
PC,PB1041,POP,M,2011,CH,4.5,
PC,PB1041,POP,M,2011,UK,16.1,
PC,PB1041,POP,M,2011,TR,36.4,
PC,PB1041,POP,T,2011,BE,10.4,
PC,PB1041,POP,T,2011,BG,11.0,
PC,PB1041,POP,T,2011,CZ,4.7,
PC,PB1041,POP,T,2011,DK,8.3,
PC,PB1041,POP,T,2011,DE,10.4,
PC,PB1041,POP,T,2011,EE,10.4,
PC,PB1041,POP,T,2011,IE,10.1,
PC,PB1041,POP,T,2011,EL,12.6,
PC,PB1041,POP,T,2011,ES,25.2,
PC,PB1041,POP,T,2011,FR,10.1,
PC,PB1041,POP,T,2011,HR,3.4,u
PC,PB1041,POP,T,2011,IT,17.2,
PC,PB1041,POP,T,2011,CY,10.2,
PC,PB1041,POP,T,2011,LV,13.2,
PC,PB1041,POP,T,2011,LT,6.5,
PC,PB1041,POP,T,2011,LU,5.5,
PC,PB1041,POP,T,2011,HU,10.1,
PC,PB1041,POP,T,2011,MT,22.5,
PC,PB1041,POP,T,2011,NL,7.5,
PC,PB1041,POP,T,2011,AT,7.8,
PC,PB1041,POP,T,2011,PL,4.9,
PC,PB1041,POP,T,2011,PT,22.9,
PC,PB1041,POP,T,2011,RO,17.4,
PC,PB1041,POP,T,2011,SI,3.1,u
PC,PB1041,POP,T,2011,SK,4.8,
PC,PB1041,POP,T,2011,FI,8.0,
PC,PB1041,POP,T,2011,SE,4.6,
PC,PB1041,POP,T,2011,IS,18.5,
PC,PB1041,POP,T,2011,CH,5.2,
PC,PB1041,POP,T,2011,UK,15.1,
PC,PB1041,POP,T,2011,TR,40.8,
PC,PB1070,EMP,F,2011,NL,11.4,u
PC,PB1070,EMP,F,2011,TR,50.5,
PC,PB1070,EMP,M,2011,BE,57.6,u
PC,PB1070,EMP,M,2011,CZ,35.1,u
PC,PB1070,EMP,M,2011,ES,60.9,u
PC,PB1070,EMP,M,2011,NL,26.2,u
PC,PB1070,EMP,M,2011,CH,17,u
PC,PB1070,EMP,M,2011,UK,21.0,
PC,PB1070,EMP,M,2011,TR,63.9,
PC,PB1070,EMP,T,2011,BE,48.4,u
PC,PB1070,EMP,T,2011,CZ,25.5,u
PC,PB1070,EMP,T,2011,ES,36.7,u
PC,PB1070,EMP,T,2011,NL,17.7,u
PC,PB1070,EMP,T,2011,IS,30.8,
PC,PB1070,EMP,T,2011,CH,9.2,u
PC,PB1070,EMP,T,2011,UK,16.0,
PC,PB1070,EMP,T,2011,TR,59.3,
PC,PB1070,NEMP,F,2011,CZ,33.6,u
PC,PB1070,NEMP,F,2011,IE,38.0,
PC,PB1070,NEMP,F,2011,ES,49.1,
PC,PB1070,NEMP,F,2011,IT,32.1,
PC,PB1070,NEMP,F,2011,HU,59.7,u
PC,PB1070,NEMP,F,2011,NL,26.8,u
PC,PB1070,NEMP,F,2011,PL,27.5,u
PC,PB1070,NEMP,F,2011,RO,68.7,u
PC,PB1070,NEMP,F,2011,FI,20.1,u
PC,PB1070,NEMP,F,2011,CH,36.3,u
PC,PB1070,NEMP,F,2011,UK,42.4,
PC,PB1070,NEMP,F,2011,TR,67.8,
PC,PB1070,NEMP,M,2011,BE,50.7,u
PC,PB1070,NEMP,M,2011,CZ,41.1,u
PC,PB1070,NEMP,M,2011,DK,33.9,u
PC,PB1070,NEMP,M,2011,IE,38.3,
PC,PB1070,NEMP,M,2011,ES,39.2,
PC,PB1070,NEMP,M,2011,IT,44.9,
PC,PB1070,NEMP,M,2011,HU,37.9,u
PC,PB1070,NEMP,M,2011,NL,42.4,u
PC,PB1070,NEMP,M,2011,PL,28.9,u
PC,PB1070,NEMP,M,2011,PT,50.9,
PC,PB1070,NEMP,M,2011,RO,72.5,
PC,PB1070,NEMP,M,2011,CH,24,u
PC,PB1070,NEMP,M,2011,UK,39.2,
PC,PB1070,NEMP,M,2011,TR,67.5,
PC,PB1070,NEMP,T,2011,BE,37.9,u
PC,PB1070,NEMP,T,2011,BG,81.3,u
PC,PB1070,NEMP,T,2011,CZ,37.4,
PC,PB1070,NEMP,T,2011,DK,24.2,u
PC,PB1070,NEMP,T,2011,IE,38.2,
PC,PB1070,NEMP,T,2011,EL,44.4,u
PC,PB1070,NEMP,T,2011,ES,43.5,
PC,PB1070,NEMP,T,2011,IT,39.2,
PC,PB1070,NEMP,T,2011,CY,25.7,u
PC,PB1070,NEMP,T,2011,HU,47.0,
PC,PB1070,NEMP,T,2011,NL,33.4,u
PC,PB1070,NEMP,T,2011,PL,28.3,
PC,PB1070,NEMP,T,2011,PT,36.1,
PC,PB1070,NEMP,T,2011,RO,70.9,
PC,PB1070,NEMP,T,2011,SK,25.7,u
PC,PB1070,NEMP,T,2011,FI,20.8,
PC,PB1070,NEMP,T,2011,SE,11.3,u
PC,PB1070,NEMP,T,2011,CH,30.6,u
PC,PB1070,NEMP,T,2011,UK,40.7,
PC,PB1070,NEMP,T,2011,TR,67.7,
PC,PB1070,POP,F,2011,BE,24.1,u
PC,PB1070,POP,F,2011,CZ,28.4,u
PC,PB1070,POP,F,2011,IE,31.9,
PC,PB1070,POP,F,2011,ES,40.3,
PC,PB1070,POP,F,2011,IT,28.8,
PC,PB1070,POP,F,2011,HU,51.7,u
PC,PB1070,POP,F,2011,NL,20.1,u
PC,PB1070,POP,F,2011,PL,24.4,u
PC,PB1070,POP,F,2011,RO,71,u
PC,PB1070,POP,F,2011,FI,13.7,u
PC,PB1070,POP,F,2011,SE,8.7,u
PC,PB1070,POP,F,2011,IS,31.9,
PC,PB1070,POP,F,2011,CH,11,u
PC,PB1070,POP,F,2011,UK,30.2,
PC,PB1070,POP,F,2011,TR,63.4,
PC,PB1070,POP,M,2011,BE,52.5,u
PC,PB1070,POP,M,2011,CZ,39.2,u
PC,PB1070,POP,M,2011,DK,27.3,u
PC,PB1070,POP,M,2011,IE,35.5,
PC,PB1070,POP,M,2011,ES,43.3,
PC,PB1070,POP,M,2011,IT,44.9,
PC,PB1070,POP,M,2011,CY,28.7,u
PC,PB1070,POP,M,2011,HU,38.1,u
PC,PB1070,POP,M,2011,NL,35.2,u
PC,PB1070,POP,M,2011,PL,27.2,u
PC,PB1070,POP,M,2011,PT,53.8,
PC,PB1070,POP,M,2011,RO,71.6,
PC,PB1070,POP,M,2011,SK,35,u
PC,PB1070,POP,M,2011,FI,20,u
PC,PB1070,POP,M,2011,CH,18.8,
PC,PB1070,POP,M,2011,UK,33.7,
PC,PB1070,POP,M,2011,TR,65.7,
PC,PB1070,POP,T,2011,BE,40.7,
PC,PB1070,POP,T,2011,BG,73.2,u
PC,PB1070,POP,T,2011,CZ,34.2,
PC,PB1070,POP,T,2011,DK,20.1,
PC,PB1070,POP,T,2011,DE,41.7,
PC,PB1070,POP,T,2011,IE,33.9,
PC,PB1070,POP,T,2011,EL,41.2,u
PC,PB1070,POP,T,2011,ES,42.0,
PC,PB1070,POP,T,2011,IT,37.9,
PC,PB1070,POP,T,2011,CY,27.4,u
PC,PB1070,POP,T,2011,LT,47.7,u
PC,PB1070,POP,T,2011,HU,44.1,
PC,PB1070,POP,T,2011,NL,26.5,u
PC,PB1070,POP,T,2011,PL,26.1,
PC,PB1070,POP,T,2011,PT,38.4,
PC,PB1070,POP,T,2011,RO,71.3,
PC,PB1070,POP,T,2011,SK,27.4,u
PC,PB1070,POP,T,2011,FI,16.4,
PC,PB1070,POP,T,2011,SE,9.9,
PC,PB1070,POP,T,2011,IS,33.3,
PC,PB1070,POP,T,2011,CH,14.5,
PC,PB1070,POP,T,2011,UK,31.9,
PC,PB1070,POP,T,2011,TR,64.5,
PC,PB1071,EMP,F,2011,BE,6.1,u
PC,PB1071,EMP,F,2011,BG,8.2,u
PC,PB1071,EMP,F,2011,CZ,3.3,u
PC,PB1071,EMP,F,2011,DK,5.2,
PC,PB1071,EMP,F,2011,DE,5.9,
PC,PB1071,EMP,F,2011,IE,5.0,
PC,PB1071,EMP,F,2011,EL,13.2,u
PC,PB1071,EMP,F,2011,ES,31.7,
PC,PB1071,EMP,F,2011,FR,8.8,u
PC,PB1071,EMP,F,2011,IT,20.0,
PC,PB1071,EMP,F,2011,CY,12.9,
PC,PB1071,EMP,F,2011,HU,9.3,
PC,PB1071,EMP,F,2011,MT,20.9,u
PC,PB1071,EMP,F,2011,NL,6,u
PC,PB1071,EMP,F,2011,AT,6.3,u
PC,PB1071,EMP,F,2011,PL,3.3,u
PC,PB1071,EMP,F,2011,PT,29.3,
PC,PB1071,EMP,F,2011,RO,24.9,
PC,PB1071,EMP,F,2011,FI,7.6,
PC,PB1071,EMP,F,2011,SE,3.1,u
PC,PB1071,EMP,F,2011,IS,12.7,
PC,PB1071,EMP,F,2011,CH,5.3,
PC,PB1071,EMP,F,2011,UK,9.3,
PC,PB1071,EMP,F,2011,TR,45.4,
PC,PB1071,EMP,M,2011,BE,20.5,
PC,PB1071,EMP,M,2011,BG,9,u
PC,PB1071,EMP,M,2011,CZ,5.6,
PC,PB1071,EMP,M,2011,DK,10.4,
PC,PB1071,EMP,M,2011,DE,8.4,
PC,PB1071,EMP,M,2011,EE,16.9,u
PC,PB1071,EMP,M,2011,IE,8.7,
PC,PB1071,EMP,M,2011,EL,32.1,
PC,PB1071,EMP,M,2011,ES,43.1,
PC,PB1071,EMP,M,2011,FR,13.8,
PC,PB1071,EMP,M,2011,IT,32.3,
PC,PB1071,EMP,M,2011,CY,21.4,
PC,PB1071,EMP,M,2011,LV,23.3,
PC,PB1071,EMP,M,2011,LT,11.9,u
PC,PB1071,EMP,M,2011,LU,16,u
PC,PB1071,EMP,M,2011,HU,17.5,
PC,PB1071,EMP,M,2011,MT,32.4,
PC,PB1071,EMP,M,2011,NL,10.5,
PC,PB1071,EMP,M,2011,AT,8.3,
PC,PB1071,EMP,M,2011,PL,8.1,
PC,PB1071,EMP,M,2011,PT,47.1,
PC,PB1071,EMP,M,2011,RO,31.9,
PC,PB1071,EMP,M,2011,SI,4.5,u
PC,PB1071,EMP,M,2011,SK,5.7,
