DATAFLOW,LAST UPDATE,freq,spdep,spscheme,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2006,5315.72,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2007,5417.95,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2008,5579.18,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2009,5886.28,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2010,6126.74,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2011,6396.20,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2012,6579.51,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2013,6687.79,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2014,6796.73,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2015,6808.62,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2016,6820.48,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2017,6820.52,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2018,6881.40,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2019,6979.30,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,AT,2020,7070.98,
ESTAT:SPR_EXP_FDI(1.0),14/10/22 23:00:00,A,SPBENEFNOREROUTE,TOTAL,MIO_EUR,BA,2013,352.47,
