1,2,3,4,5,6,file
Tavola: Numero scuole per caratteristiche edificio scolastico (Valori percentuali) - Provincia di Torino (Gerarchia Amministrativa) Anno 2010.,,,,,,g1UQ091M909OG300000000.csv
PRESENZA,Ordine scolastico,,,,,g1UQ091M909OG300000000.csv
,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,g1UQ091M909OG300000000.csv
Presenza,#,58.2,66.6,#,60.4,g1UQ091M909OG300000000.csv
Assenza,#,26.2,23,#,25.4,g1UQ091M909OG300000000.csv
Non risponde,#,15.6,10.3,#,14.2,g1UQ091M909OG300000000.csv
Totale,#,100,100,#,100,g1UQ091M909OG300000000.csv
Tavola: Numero scuole per caratteristiche edificio scolastico (Valori percentuali) - Provincia di Torino (Gerarchia Amministrativa) Anno 2011.,,,,,,g1UR091M909OG300000000.csv
PRESENZA,Ordine scolastico,,,,,g1UR091M909OG300000000.csv
,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,g1UR091M909OG300000000.csv
Presenza,#,61.6,66.5,#,62.7,g1UR091M909OG300000000.csv
Assenza,#,26.6,20,#,25,g1UR091M909OG300000000.csv
Non risponde,#,11.9,13.5,#,12.3,g1UR091M909OG300000000.csv
Totale,#,100,100,#,100,g1UR091M909OG300000000.csv
Tavola: Numero scuole per caratteristiche edificio scolastico (Valori percentuali) - Provincia di Torino (Gerarchia Amministrativa) Anno 2012.,,,,,,g1US091M909OG300000000.csv
PRESENZA,Ordine scolastico,,,,,g1US091M909OG300000000.csv
,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,g1US091M909OG300000000.csv
Presenza,#,61.5,65.2,#,62.6,g1US091M909OG300000000.csv
Assenza,#,28.8,24.4,#,27.5,g1US091M909OG300000000.csv
Non risponde,#,9.7,10.5,#,9.9,g1US091M909OG300000000.csv
Totale,#,100,100,#,100,g1US091M909OG300000000.csv
Tavola: Numero scuole per caratteristiche edificio scolastico (Valori percentuali) - Provincia di Torino (Gerarchia Amministrativa) Anno 2013.,,,,,,g1UT091M909OG300000000.csv
PRESENZA,Ordine scolastico,,,,,g1UT091M909OG300000000.csv
,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,g1UT091M909OG300000000.csv
Presenza,#,54.7,58.1,#,55.7,g1UT091M909OG300000000.csv
Assenza,#,33,28.9,#,31.8,g1UT091M909OG300000000.csv
Non risponde,#,12.3,13,#,12.5,g1UT091M909OG300000000.csv
Totale,#,100,100,#,100,g1UT091M909OG300000000.csv
Tavola: Numero scuole per caratteristiche edificio scolastico (Valori percentuali) - Provincia di Torino (Gerarchia Amministrativa) Anno 2014.,,,,,,g1UU091M909OG300000000.csv
PRESENZA,Ordine scolastico,,,,,g1UU091M909OG300000000.csv
