regione,Minori (0-17 anni),Anziani (65 anni e più),Persone con disabilità,Ospiti con problemi di salute mentale,Altra utenza,Non indicato,g1UP091FC09OG2000000
Trentino Alto Adige / Südtirol,295.2,4405.1,125.3,35.2,279.4,0,g1V1091FI09OG2000000
Veneto,145.5,3222.2,119.6,33.2,28.8,0,g1V1091FI09OG2000000
Friuli-Venezia Giulia,253,3758.2,128.4,25.9,32.4,0,g1V1091FI09OG2000000
Emilia-Romagna,387,2931.3,110.7,12.8,75.2,0,g1V1091FI09OG2000000
Toscana,277.5,1760.3,65.8,27.8,55.9,0.7,g1V1091FI09OG2000000
Umbria,178.8,1479.2,109.4,61.1,141.6,0,g1V1091FI09OG2000000
Marche,202,2097.5,72.6,8.5,118.3,0,g1V1091FI09OG2000000
Lazio,241.5,1240.1,79.7,21.3,51.2,0,g1V1091FI09OG2000000
Abruzzo,92.5,1509.7,105.5,36,13.5,0,g1V1091FI09OG2000000
Molise,553.7,1908.9,9.2,63.9,8.8,0,g1V1091FI09OG2000000
Campania,68.6,567.4,42.4,11.9,26.1,0,g1V1091FI09OG2000000
Puglia,222.3,1117.9,45,25,33.3,0,g1V1091FI09OG2000000
Basilicata,424.8,1648.4,91.2,52.9,33.3,0,g1V1091FI09OG2000000
Calabria,164.7,943.4,43.2,35.7,76.3,0,g1V1091FI09OG2000000
Sicilia,471.2,1317.8,54.3,60.3,85.2,1.2,g1V1091FI09OG2000000
Sardegna,286.7,1613,55.5,25.2,47.3,0,g1V1091FI09OG2000000
Piemonte,1544,43208,3667,543,1356,0,g1V2091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,29,1082,36,183,105,0,g1V2091FC09OG2000000
Liguria,722,12733,1775,1145,1178,0,g1V2091FC09OG2000000
Lombardia,2560,68317,5711,3805,5539,0,g1V2091FC09OG2000000
Trentino Alto Adige / Südtirol,586,10098,1000,364,2041,0,g1V2091FC09OG2000000
Veneto,1177,36899,3618,1669,1377,0,g1V2091FC09OG2000000
Friuli-Venezia Giulia,427,11993,900,313,556,0,g1V2091FC09OG2000000
Emilia-Romagna,3079,35351,3523,769,3838,0,g1V2091FC09OG2000000
Toscana,1425,16718,1453,1041,2240,0,g1V2091FC09OG2000000
Umbria,239,3517,527,536,988,0,g1V2091FC09OG2000000
Marche,508,9131,701,125,2091,0,g1V2091FC09OG2000000
Lazio,2114,15759,2669,1583,2708,0,g1V2091FC09OG2000000
Abruzzo,188,3906,742,439,230,0,g1V2091FC09OG2000000
Molise,244,1432,145,207,98,0,g1V2091FC09OG2000000
Campania,656,6283,1766,650,1372,0,g1V2091FC09OG2000000
Puglia,1436,9646,873,1114,1598,0,g1V2091FC09OG2000000
Basilicata,390,2689,372,308,283,0,g1V2091FC09OG2000000
Calabria,529,4414,537,706,1303,0,g1V2091FC09OG2000000
Sicilia,4138,13407,1807,2797,4238,0,g1V2091FC09OG2000000
Sardegna,624,6073,679,417,705,0,g1V2091FC09OG2000000
Piemonte,237.9,3899.9,142.6,12.5,31.3,0,g1V2091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,145.3,3615,47.5,145.6,83.6,0,g1V2091FI09OG2000000
Liguria,347.2,2908.1,200,74.7,76.8,0,g1V2091FI09OG2000000
Lombardia,155.9,3010.8,93.6,38,55.3,0,g1V2091FI09OG2000000
Trentino Alto Adige / Südtirol,300.7,4502.8,152.7,33.9,190,0,g1V2091FI09OG2000000
Veneto,150,3294.7,121.4,34.2,28.2,0,g1V2091FI09OG2000000
Friuli-Venezia Giulia,241.3,3777,125.7,25.9,45.9,0,g1V2091FI09OG2000000
Emilia-Romagna,438.9,3299.4,131.1,17.2,86.1,0,g1V2091FI09OG2000000
Toscana,257.1,1772.2,65.9,28.1,60.5,0,g1V2091FI09OG2000000
Umbria,181.8,1570.3,101.6,61.3,113.1,0,g1V2091FI09OG2000000
Marche,218.6,2415.4,77,8.2,137.5,0,g1V2091FI09OG2000000
Lazio,228.5,1250.9,74.4,27.4,46.9,0,g1V2091FI09OG2000000
Abruzzo,96,1258.7,93.4,33.8,17.7,0,g1V2091FI09OG2000000
Molise,577.2,1913.6,77.5,68.1,32.1,0,g1V2091FI09OG2000000
Campania,63.9,582.4,48.6,11.3,23.9,0,g1V2091FI09OG2000000
Puglia,223.1,1098.7,35.6,28,40.2,0,g1V2091FI09OG2000000
Basilicata,472.1,2091.9,107.1,55.1,50.6,0,g1V2091FI09OG2000000
Calabria,170.9,1067.8,45.2,36.9,68.1,0,g1V2091FI09OG2000000
Sicilia,498.5,1288.4,59.5,57,86.3,0,g1V2091FI09OG2000000
Sardegna,280.3,1574.2,67,25.7,43.5,0,g1V2091FI09OG2000000
