regione,Minori (0-17 anni),Anziani (65 anni e più),Persone con disabilità,Ospiti con problemi di salute mentale,Altra utenza,Non indicato,g1UP091FC09OG2000000
Marche,235.2,2379.3,59.5,51.2,135.3,0,g1UR091FI09OG2000000
Lazio,203.3,1295.6,60,17.5,45.8,0.1,g1UR091FI09OG2000000
Abruzzo,100.5,1680.9,71,56.6,34.2,0,g1UR091FI09OG2000000
Molise,150.7,2315.8,105.7,70.9,43.9,0,g1UR091FI09OG2000000
Campania,72,688.2,39.4,19.5,13.6,0,g1UR091FI09OG2000000
Puglia,146.5,1050.5,22.6,22.3,34.1,0,g1UR091FI09OG2000000
Basilicata,350,1275.2,97.8,67.3,38.5,0,g1UR091FI09OG2000000
Calabria,246.1,830.8,55.9,41.4,42,0,g1UR091FI09OG2000000
Sicilia,299,1182.6,60.1,40.5,43.9,0,g1UR091FI09OG2000000
Sardegna,134.1,1340.1,88.8,46.2,32.1,0.8,g1UR091FI09OG2000000
Piemonte,1145,40641,3618,432,1447,1686,g1US091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,34,1065,36,133,152,0,g1US091FC09OG2000000
Liguria,530,12531,1424,758,1191,0,g1US091FC09OG2000000
Lombardia,2364,62839,5474,3674,7082,0,g1US091FC09OG2000000
Trentino Alto Adige / Südtirol,435,8797,821,354,1961,0,g1US091FC09OG2000000
Veneto,847,31957,3011,1694,1554,0,g1US091FC09OG2000000
Friuli-Venezia Giulia,226,10395,829,263,558,0,g1US091FC09OG2000000
Emilia-Romagna,2822,33305,2684,1518,3553,0,g1US091FC09OG2000000
Toscana,683,15002,952,911,1469,0,g1US091FC09OG2000000
Umbria,125,2642,307,354,606,0,g1US091FC09OG2000000
Marche,510,7647,571,685,1266,0,g1US091FC09OG2000000
Lazio,1558,13383,2305,811,2543,4,g1US091FC09OG2000000
Abruzzo,143,4362,563,670,538,0,g1US091FC09OG2000000
Molise,43,1298,305,243,87,0,g1US091FC09OG2000000
Campania,508,5789,1647,904,632,0,g1US091FC09OG2000000
Puglia,978,7527,631,835,952,0,g1US091FC09OG2000000
Basilicata,304,1541,442,380,300,0,g1US091FC09OG2000000
Calabria,528,3049,561,810,744,0,g1US091FC09OG2000000
Sicilia,1890,10276,1901,2028,1942,0,g1US091FC09OG2000000
Sardegna,363,4344,1244,712,760,13,g1US091FC09OG2000000
Piemonte,168.5,3911.2,108.5,9.9,33.1,38.5,g1US091FI09OG2000000
Valle d'Aosta / Vallée d'Aoste,159.6,3851.4,35.9,104,118.9,0,g1US091FI09OG2000000
Liguria,242.3,2892.7,125.8,48.5,76.1,0,g1US091FI09OG2000000
Lombardia,142.2,3036.2,70.9,37.5,72.3,0,g1US091FI09OG2000000
Trentino Alto Adige / Südtirol,221.1,4381.6,97.8,34,188.6,0,g1US091FI09OG2000000
Veneto,102.3,3134.5,78,34.7,31.8,0,g1US091FI09OG2000000
Friuli-Venezia Giulia,122.4,3497.1,89.7,21.5,45.7,0,g1US091FI09OG2000000
Emilia-Romagna,403.5,3305.8,79.6,34.7,81.2,0,g1US091FI09OG2000000
Toscana,120.6,1680.3,34,24.7,39.8,0,g1US091FI09OG2000000
Umbria,90.5,1253.2,45.5,39.9,68.4,0,g1US091FI09OG2000000
Marche,206,2144.1,48.1,44.3,81.9,0,g1US091FI09OG2000000
Lazio,169.4,1163.2,52.3,14.6,45.8,0.1,g1US091FI09OG2000000
Abruzzo,69.5,1506.7,55.1,51,41,0,g1US091FI09OG2000000
Molise,90.1,1838.7,125.6,77.4,27.6,0,g1US091FI09OG2000000
Campania,45.3,591.8,34.4,15.7,10.9,0,g1US091FI09OG2000000
Puglia,136.9,955,19.3,20.6,23.5,0,g1US091FI09OG2000000
Basilicata,327.5,1284.2,97,65.9,52.1,0,g1US091FI09OG2000000
Calabria,157,796.2,35.6,41.4,38,0,g1US091FI09OG2000000
Sicilia,210,1062.9,47.1,40.6,38.8,0,g1US091FI09OG2000000
Sardegna,149.6,1284.5,95.5,43.4,46.4,0.8,g1US091FI09OG2000000
Piemonte,1259,42471,3647,898,1341,902,g1UT091FC09OG2000000
Valle d'Aosta / Vallée d'Aoste,27,1045,31,152,150,0,g1UT091FC09OG2000000
Liguria,659,5870,1855,1131,6401,0,g1UT091FC09OG2000000
Lombardia,2242,63187,5890,2651,9000,2,g1UT091FC09OG2000000
Trentino Alto Adige / Südtirol,414,4934,812,805,5498,0,g1UT091FC09OG2000000
Veneto,856,30168,2867,947,3995,0,g1UT091FC09OG2000000
Friuli-Venezia Giulia,182,2053,616,499,8073,0,g1UT091FC09OG2000000
Emilia-Romagna,2588,30393,2691,1328,3491,0,g1UT091FC09OG2000000
Toscana,749,8133,1348,835,9035,2,g1UT091FC09OG2000000
