Regione,Disabilità,Anziani,Totale,file
Italia,11784.67,4638.75,6115.58,g1UV091A209OG2000000.csv
Lazio,13362.98,9701.73,10558.91,g1UV091A209OG2000000.csv
Liguria,9247.210000000001,4836.05,6040.3099999999995,g1UV091A209OG2000000.csv
Lombardia,14737.6,6075.9800000000005,8672.36,g1UV091A209OG2000000.csv
Marche,9748.74,2226.4700000000003,3205.3599999999997,g1UV091A209OG2000000.csv
Molise,4464.43,3542.47,3661.9800000000005,g1UV091A209OG2000000.csv
Piemonte,8003.24,4349.84,5663.280000000001,g1UV091A209OG2000000.csv
Puglia,7490.63,6820.969999999999,6985.530000000001,g1UV091A209OG2000000.csv
Sardegna,9597.560000000001,8711.03,9086.03,g1UV091A209OG2000000.csv
Sicilia,17178.379999999997,10235.710000000001,14505.16,g1UV091A209OG2000000.csv
Toscana,9056.4,4609.0199999999995,5079.29,g1UV091A209OG2000000.csv
Trentino Alto Adige / Südtirol,32518.35,15975.75,17898.02,g1UV091A209OG2000000.csv
Umbria,6778.81,4388.85,4914.3,g1UV091A209OG2000000.csv
Valle d'Aosta / Vallée d'Aoste,,19394.19,19394.19,g1UV091A209OG2000000.csv
Veneto,7600.42,1160.84,1898.05,g1UV091A209OG2000000.csv
Abruzzo,5259.45,4512.11,4837.9400000000005,g1V0091A209OG2000000.csv
Basilicata,13105.36,6197.2,8025.83,g1V0091A209OG2000000.csv
Calabria,1323.95,6394.08,5881.68,g1V0091A209OG2000000.csv
Campania,8477.439999999999,9566.86,8974.36,g1V0091A209OG2000000.csv
Emilia-Romagna,7906.7699999999995,2826.4900000000002,3637.03,g1V0091A209OG2000000.csv
Friuli-Venezia Giulia,24243.06,6411.5,10545.689999999999,g1V0091A209OG2000000.csv
Italia,11692.7,4613.43,6161.04,g1V0091A209OG2000000.csv
Lazio,14796.64,10010.82,11273.5,g1V0091A209OG2000000.csv
Liguria,8464.76,5079.61,5889.71,g1V0091A209OG2000000.csv
Lombardia,13815.2,5938.89,8430.08,g1V0091A209OG2000000.csv
Marche,10710.57,2520.12,3573.65,g1V0091A209OG2000000.csv
Molise,6066.5,4489.64,5063.05,g1V0091A209OG2000000.csv
Piemonte,8105.7699999999995,4210.7300000000005,5573.0199999999995,g1V0091A209OG2000000.csv
Puglia,6604.74,6428.7,6478.13,g1V0091A209OG2000000.csv
Sardegna,11611.74,10538.7,10966.960000000001,g1V0091A209OG2000000.csv
Sicilia,19506.55,10869.2,16556.16,g1V0091A209OG2000000.csv
Toscana,7811.57,4254.54,4652.75,g1V0091A209OG2000000.csv
Trentino Alto Adige / Südtirol,35274.06,16757.21,18813.66,g1V0091A209OG2000000.csv
Umbria,5620.14,4758.219999999999,4988.49,g1V0091A209OG2000000.csv
Valle d'Aosta / Vallée d'Aoste,,20450.72,20450.72,g1V0091A209OG2000000.csv
Veneto,7095.110000000001,1106.45,1840.92,g1V0091A209OG2000000.csv
Abruzzo,6226.7699999999995,5191.8099999999995,5695.9,g1V1091A209OG2000000.csv
Basilicata,13942.420000000002,4843.12,6843.67,g1V1091A209OG2000000.csv
Calabria,1527.96,7975.3,6852.219999999999,g1V1091A209OG2000000.csv
Campania,9810.619999999999,18668.54,13722.09,g1V1091A209OG2000000.csv
Emilia-Romagna,8648.460000000001,2381.29,3293.8900000000003,g1V1091A209OG2000000.csv
Friuli-Venezia Giulia,28114.159999999996,6284.45,10800.78,g1V1091A209OG2000000.csv
Italia,11660.09,4656.2,6097.79,g1V1091A209OG2000000.csv
Lazio,12062.25,9251.05,9998.36,g1V1091A209OG2000000.csv
Liguria,8760.310000000001,4647.92,5602.09,g1V1091A209OG2000000.csv
Lombardia,14707.35,6520.2699999999995,9315.92,g1V1091A209OG2000000.csv
Marche,12021.960000000001,2492.5099999999998,3935.6400000000003,g1V1091A209OG2000000.csv
Molise,5659.86,3370.6699999999996,4099.05,g1V1091A209OG2000000.csv
Piemonte,6316.2300000000005,4174.08,4980.0199999999995,g1V1091A209OG2000000.csv
Puglia,6752.5199999999995,6620.37,6659.960000000001,g1V1091A209OG2000000.csv
Sardegna,11306.16,1337.1100000000001,2072.37,g1V1091A209OG2000000.csv
Sicilia,17559.96,14468.45,16598.06,g1V1091A209OG2000000.csv
Toscana,7298.19,4229.7,4575.14,g1V1091A209OG2000000.csv
Trentino Alto Adige / Südtirol,32147.79,24720.65,25615.47,g1V1091A209OG2000000.csv
Umbria,4577.9800000000005,4204.71,4304.25,g1V1091A209OG2000000.csv
Valle d'Aosta / Vallée d'Aoste,,21406.129999999997,21406.129999999997,g1V1091A209OG2000000.csv
Veneto,8070.139999999999,825.1700000000001,1716.4,g1V1091A209OG2000000.csv
Abruzzo,5014.15,5665.5199999999995,5325.4800000000005,g1V2091A209OG2000000.csv
Basilicata,15015.710000000001,2479.43,4819.54,g1V2091A209OG2000000.csv
Calabria,1327.75,7486.51,6574.1,g1V2091A209OG2000000.csv
Campania,10049.119999999999,18886.28,13902.460000000001,g1V2091A209OG2000000.csv
Emilia-Romagna,7645.37,2234.85,3069.37,g1V2091A209OG2000000.csv
Friuli-Venezia Giulia,26911.390000000003,6270.61,10650.25,g1V2091A209OG2000000.csv
Italia,12033.08,4619.9400000000005,6259.0599999999995,g1V2091A209OG2000000.csv
Lazio,11508.7,9081.05,9741.060000000001,g1V2091A209OG2000000.csv
Liguria,8369.789999999999,4742.51,5614.2699999999995,g1V2091A209OG2000000.csv
Lombardia,15816.02,6164.33,9376.42,g1V2091A209OG2000000.csv
Marche,10273.86,3017.06,4217.1,g1V2091A209OG2000000.csv
Molise,7580.67,5339.89,6236.2,g1V2091A209OG2000000.csv
Piemonte,7502.87,4221.62,5517.93,g1V2091A209OG2000000.csv
Puglia,6415.6,6578.19,6526.16,g1V2091A209OG2000000.csv
Sardegna,10881.45,10487.03,10636.1,g1V2091A209OG2000000.csv
Sicilia,20458.59,16474.61,19246.55,g1V2091A209OG2000000.csv
Toscana,7819.339999999999,4903.66,5241.719999999999,g1V2091A209OG2000000.csv
Trentino Alto Adige / Südtirol,36316.36,18039.329999999998,20118.510000000002,g1V2091A209OG2000000.csv
Umbria,5519.61,3821.85,4211.2699999999995,g1V2091A209OG2000000.csv
Valle d'Aosta / Vallée d'Aoste,,23588.920000000002,23588.920000000002,g1V2091A209OG2000000.csv
Veneto,8264.539999999999,709.2,1653.6599999999999,g1V2091A209OG2000000.csv
