anno,No,Sì,Non indicato,Totale,file,foglio,sesso,gravità delle limitazioni
2009,88.2,10.4,1.4,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2010,87.4,10.8,1.7,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2011,88.2,10.3,1.5,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2012,89.1,9.2,1.7,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2013,89,9.2,1.8,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2014,89.1,8.9,2,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2015,88.3,10.3,1.4,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2016,89,9.4,1.6,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2017,90.8,7.2,2,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2018,89.2,9.2,1.6,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2019,86.7,11.2,2.1,100,g1V30925509OG00000000000_st,pagina 1,maschi,limitazioni gravi
2009,83.6,15,1.4,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2010,83.9,14.7,1.4,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2011,84,14.5,1.5,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2012,84,14.6,1.4,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2013,84.5,14.2,1.3,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2014,85.5,13.2,1.3,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2015,86.6,12.6,0.8,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2016,85.8,13.3,0.9,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2017,85.5,13.5,1,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2018,85.4,13.5,1.2,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2019,84.8,13.7,1.5,100,g1V30925509OG00000000000_st,pagina 2,maschi,limitazioni non gravi
2009,84.2,14.7,1.1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2010,84.1,14.8,1.1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2011,84.1,14.7,1.2,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2012,84.4,14.6,1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2013,84,15,0.9,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2014,83.5,15.4,1.1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2015,83.7,15.3,1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2016,83.3,15.7,1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2017,82.8,16.2,1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2018,83,16,1,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2019,82.8,16,1.2,100,g1V30925509OG00000000000_st,pagina 3,maschi,senza limitazioni
2009,60.1,12.5,27.5,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2010,63.8,12.2,24.1,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
