anno,No,Sì,Non indicato,Totale,file,foglio,sesso,gravità delle limitazioni
2011,67.7,13.2,19.1,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2012,69.1,14.4,16.6,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2013,70.3,13.6,16.1,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2014,69.2,12.2,18.6,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2015,70.9,11.4,17.7,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2016,72.1,12,15.9,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2017,70.5,12.8,16.8,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2018,73.8,12.9,13.3,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2019,73.4,13.3,13.2,100,g1V30925509OG00000000000_st,pagina 4,maschi,non indicato
2009,90,8.9,1.1,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2010,90.5,8.2,1.4,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2011,90.2,8,1.7,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2012,90.7,7.8,1.5,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2013,91.3,7.2,1.4,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2014,90.8,7.5,1.7,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2015,90.6,7.7,1.7,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2016,90.3,7.9,1.9,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2017,91.1,7.2,1.7,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2018,92,6.5,1.5,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2019,91.2,7.1,1.7,100,g1V30925509OG00000000000_st,pagina 5,femmine,limitazioni gravi
2009,80.7,18.1,1.3,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2010,80.4,18.3,1.3,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2011,81.2,17.6,1.2,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2012,83.2,15.8,1,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2013,83.1,15.8,1.1,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2014,82.1,16.6,1.3,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2015,82.1,16.8,1.2,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2016,82.8,16.2,1,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2017,83.1,16,0.9,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2018,83.1,15.9,1,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2019,82.9,15.5,1.6,100,g1V30925509OG00000000000_st,pagina 6,femmine,limitazioni non gravi
2009,78.7,20.3,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2010,78.9,20.2,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2011,79,19.9,1.1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2012,79.2,19.8,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2013,79.7,19.4,0.9,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2014,79.8,19.2,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2015,79.6,19.4,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2016,79.5,19.5,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2017,79,19.9,1.1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2018,79,20,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2019,79.3,19.7,1,100,g1V30925509OG00000000000_st,pagina 7,femmine,senza limitazioni
2009,59.6,16.7,23.7,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2010,61.3,17.1,21.6,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2011,64.6,18.2,17.2,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2012,68.5,17.8,13.7,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2013,69,17.6,13.4,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2014,67.7,16.5,15.8,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2015,70.6,15.8,13.6,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2016,70.7,17.1,12.1,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2017,67.1,17.2,15.7,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2018,68.5,17.5,14.1,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2019,68.7,17.8,13.5,100,g1V30925509OG00000000000_st,pagina 8,femmine,non indicato
2009,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2010,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2011,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2012,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2013,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2014,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2015,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2016,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2017,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2018,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2019,#,#,#,#,g1V30925509OG00000000000_st,pagina 9,non indicato,limitazioni gravi
2009,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2010,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2011,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2012,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2013,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2014,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2015,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2016,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2017,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2018,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2019,#,#,#,#,g1V30925509OG00000000000_st,pagina 10,non indicato,limitazioni non gravi
2009,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2010,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2011,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2012,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2013,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2014,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2015,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2016,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2017,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2018,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2019,#,#,#,#,g1V30925509OG00000000000_st,pagina 11,non indicato,senza limitazioni
2009,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2010,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2011,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2012,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2013,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2014,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2015,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2016,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2017,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2018,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
2019,#,#,#,#,g1V30925509OG00000000000_st,pagina 12,non indicato,non indicato
